Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5101857240,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5101857241,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5101857242,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5101857243,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5101857244,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5101857245,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,
5101857246,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5101857318,NBA $0.25 Winner Take All [$50 to 1st],189318596,$0.25,,,,,,,,,,PF,Giannis Antetokounmpo (42464713),Giannis Antetokounmpo,42464713,PF/F/UTIL,11000,DAL@MIL 03/31/2026 08:00PM ET,MIL,50.60
5101857319,NBA $0.25 Winner Take All [$50 to 1st],189318596,$0.25,,,,,,,,,,PG,Cade Cunningham (42464716),Cade Cunningham,42464716,PG/G/UTIL,10700,TOR@DET 03/31/2026 08:00PM ET,DET,50.20
5101857320,NBA $0.25 Winner Take All [$50 to 1st],189318596,$0.25,,,,,,,,,,PG,Cooper Flagg (42464719),Cooper Flagg,42464719,PG/G/UTIL,9700,DAL@MIL 03/31/2026 08:00PM ET,DAL,39.08
5101857321,NBA $0.25 Winner Take All [$50 to 1st],189318596,$0.25,,,,,,,,,,PF,Paolo Banchero (42464722),Paolo Banchero,42464722,PF/F/UTIL,9500,PHX@ORL 03/31/2026 07:00PM ET,ORL,42.91
5101857322,NBA $0.25 Winner Take All [$50 to 1st],189318596,$0.25,,,,,,,,,,PG/SG,Devin Booker (42464725),Devin Booker,42464725,PG/SG/G/UTIL,9400,PHX@ORL 03/31/2026 07:00PM ET,PHX,40.21
5101857323,NBA $0.25 Winner Take All [$50 to 1st],189318596,$0.25,,,,,,,,,,PG,Jalen Brunson (42464729),Jalen Brunson,42464729,PG/G/UTIL,9300,NYK@HOU 03/31/2026 08:00PM ET,NYK,41.69
5101857324,NBA $0.25 Winner Take All [$50 to 1st],189318596,$0.25,,,,,,,,,,PF/C,Karl-Anthony Towns (42464732),Karl-Anthony Towns,42464732,PF/C/F/UTIL,9200,NYK@HOU 03/31/2026 08:00PM ET,NYK,41.70
5101857366,NBA $0.25 Winner Take All [$50 to 1st],189318597,$0.25,,,,,,,,,,C,Alperen Sengun (42464736),Alperen Sengun,42464736,C/UTIL,9200,NYK@HOU 03/31/2026 08:00PM ET,HOU,44.32
5101857367,NBA $0.25 Winner Take All [$50 to 1st],189318597,$0.25,,,,,,,,,,PG,Ryan Rollins (42464738),Ryan Rollins,42464738,PG/G/UTIL,9100,DAL@MIL 03/31/2026 08:00PM ET,MIL,34.96
5101857368,NBA $0.25 Winner Take All [$50 to 1st],189318597,$0.25,,,,,,,,,,PF,Scottie Barnes (42464741),Scottie Barnes,42464741,PF/F/UTIL,8900,TOR@DET 03/31/2026 08:00PM ET,TOR,41.67
5101857369,NBA $0.25 Winner Take All [$50 to 1st],189318597,$0.25,,,,,,,,,,SF,Kevin Durant (42464744),Kevin Durant,42464744,SF/F/UTIL,8900,NYK@HOU 03/31/2026 08:00PM ET,HOU,41.88
5101857370,NBA $0.25 Winner Take All [$50 to 1st],189318597,$0.25,,,,,,,,,,C,Jalen Duren (42464747),Jalen Duren,42464747,C/UTIL,8800,TOR@DET 03/31/2026 08:00PM ET,DET,38.00
5101857371,NBA $0.25 Winner Take All [$50 to 1st],189318597,$0.25,,,,,,,,,,PG,LaMelo Ball (42464749),LaMelo Ball,42464749,PG/G/UTIL,8500,CHA@BKN 03/31/2026 07:30PM ET,CHA,39.82
5101857372,NBA $0.25 Winner Take All [$50 to 1st],189318597,$0.25,,,,,,,,,,SF,Michael Porter Jr. (42464752),Michael Porter Jr.,42464752,SF/F/UTIL,8500,CHA@BKN 03/31/2026 07:30PM ET,BKN,41.07
,,,,,,,,,,,,,PG,Kevin Porter Jr. (42464755),Kevin Porter Jr.,42464755,PG/G/UTIL,8500,DAL@MIL 03/31/2026 08:00PM ET,MIL,40.04
,,,,,,,,,,,,,PG,Amen Thompson (42464758),Amen Thompson,42464758,PG/G/UTIL,8100,NYK@HOU 03/31/2026 08:00PM ET,HOU,39.08
,,,,,,,,,,,,,SG,Brandon Ingram (42464761),Brandon Ingram,42464761,SG/G/UTIL,7800,TOR@DET 03/31/2026 08:00PM ET,TOR,35.69
,,,,,,,,,,,,,SG/SF,Jalen Green (42464764),Jalen Green,42464764,SG/SF/F/G/UTIL,7700,PHX@ORL 03/31/2026 07:00PM ET,PHX,29.94
,,,,,,,,,,,,,SF,Brandon Miller (42464769),Brandon Miller,42464769,SF/F/UTIL,7600,CHA@BKN 03/31/2026 07:30PM ET,CHA,35.65
,,,,,,,,,,,,,SF,Franz Wagner (42464775),Franz Wagner,42464775,SF/F/UTIL,7500,PHX@ORL 03/31/2026 07:00PM ET,ORL,36.56
,,,,,,,,,,,,,SF,RJ Barrett (42464772),RJ Barrett,42464772,SF/F/UTIL,7500,TOR@DET 03/31/2026 08:00PM ET,TOR,32.75
,,,,,,,,,,,,,SG/SF,Desmond Bane (42464778),Desmond Bane,42464778,SG/SF/F/G/UTIL,7400,PHX@ORL 03/31/2026 07:00PM ET,ORL,34.71
,,,,,,,,,,,,,PF/C,Bobby Portis (42464783),Bobby Portis,42464783,PF/C/F/UTIL,7400,DAL@MIL 03/31/2026 08:00PM ET,MIL,26.34
,,,,,,,,,,,,,PF,Dillon Brooks (42464787),Dillon Brooks,42464787,PF/F/UTIL,7000,PHX@ORL 03/31/2026 07:00PM ET,PHX,30.78
,,,,,,,,,,,,,PG,Jalen Suggs (42464798),Jalen Suggs,42464798,PG/G/UTIL,6900,PHX@ORL 03/31/2026 07:00PM ET,ORL,31.24
,,,,,,,,,,,,,PG,Daniss Jenkins (42464790),Daniss Jenkins,42464790,PG/G/UTIL,6900,TOR@DET 03/31/2026 08:00PM ET,DET,18.79
,,,,,,,,,,,,,SG/SF,Josh Hart (42464793),Josh Hart,42464793,SG/SF/F/G/UTIL,6900,NYK@HOU 03/31/2026 08:00PM ET,NYK,32.30
,,,,,,,,,,,,,PG,Immanuel Quickley (42464806),Immanuel Quickley,42464806,PG/G/UTIL,6800,TOR@DET 03/31/2026 08:00PM ET,TOR,34.46
,,,,,,,,,,,,,SG/SF,Naji Marshall (42464801),Naji Marshall,42464801,SG/SF/F/G/UTIL,6800,DAL@MIL 03/31/2026 08:00PM ET,DAL,28.28
,,,,,,,,,,,,,SG,Kon Knueppel (42464809),Kon Knueppel,42464809,SG/G/UTIL,6700,CHA@BKN 03/31/2026 07:30PM ET,CHA,33.56
,,,,,,,,,,,,,SG/SF,Grayson Allen (42464812),Grayson Allen,42464812,SG/SF/F/G/UTIL,6700,PHX@ORL 03/31/2026 07:00PM ET,PHX,31.35
,,,,,,,,,,,,,PF,OG Anunoby (42464817),OG Anunoby,42464817,PF/F/UTIL,6500,NYK@HOU 03/31/2026 08:00PM ET,NYK,31.50
,,,,,,,,,,,,,PF,PJ Washington (42464820),PJ Washington,42464820,PF/F/UTIL,6500,DAL@MIL 03/31/2026 08:00PM ET,DAL,29.86
