Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5116282767,MLB $25K mini-MAX [150 Entry Max],189703744,$1,,,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5116282768,MLB $25K mini-MAX [150 Entry Max],189703744,$1,,,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5116271371,MLB $20K mini-MAX [150 Entry Max],189703746,$0.50,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5116271372,MLB $20K mini-MAX [150 Entry Max],189703746,$0.50,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5116271373,MLB $20K mini-MAX [150 Entry Max],189703746,$0.50,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5116271374,MLB $20K mini-MAX [150 Entry Max],189703746,$0.50,,,,,,,,,,,,
5116271375,MLB $20K mini-MAX [150 Entry Max],189703746,$0.50,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5116282624,MLB $2K Quarter Jukebox [Just $0.25!],189703747,$0.25,,,,,,,,,,,,SP,Tarik Skubal (42665351),Tarik Skubal,42665351,P,10300,DET@BOS 04/17/2026 07:15PM ET,DET,20.59
5116282625,MLB $2K Quarter Jukebox [Just $0.25!],189703747,$0.25,,,,,,,,,,,,SP,Hunter Brown (42665352),Hunter Brown,42665352,P,10200,STL@HOU 04/17/2026 08:10PM ET,HOU,26.7
5116282626,MLB $2K Quarter Jukebox [Just $0.25!],189703747,$0.25,,,,,,,,,,,,SP,Garrett Crochet (42665353),Garrett Crochet,42665353,P,9900,DET@BOS 04/17/2026 07:15PM ET,BOS,10.59
5116282627,MLB $2K Quarter Jukebox [Just $0.25!],189703747,$0.25,,,,,,,,,,,,SP,Max Fried (42665354),Max Fried,42665354,P,9800,KC@NYY 04/17/2026 07:05PM ET,NYY,17.92
5116282628,MLB $2K Quarter Jukebox [Just $0.25!],189703747,$0.25,,,,,,,,,,,,SP,Dylan Cease (42665356),Dylan Cease,42665356,P,9600,TOR@ARI 04/17/2026 09:40PM ET,TOR,21.58
5116282660,MLB $1.5K Strike Three [5 Entry Max],189703752,$1,,,,,,,,,,,,SP,Gerrit Cole (42665355),Gerrit Cole,42665355,P,9600,KC@NYY 04/17/2026 07:05PM ET,NYY,0
5116282661,MLB $1.5K Strike Three [5 Entry Max],189703752,$1,,,,,,,,,,,,SP,Kevin Gausman (42665359),Kevin Gausman,42665359,P,9500,TOR@ARI 04/17/2026 09:40PM ET,TOR,21.56
5116282150,MLB $2K Daily Dollar [Single Entry],189703759,$1,,,,,,,,,,,,SP,Logan Gilbert (42664892),Logan Gilbert,42664892,P,9500,TEX@SEA 04/17/2026 09:40PM ET,SEA,17.41
5116271243,MLB $300 Dime Time [Just $0.10!],189724737,$0.10,,,,,,,,,,,,SP,Bryan Woo (42665358),Bryan Woo,42665358,P,9500,TEX@SEA 04/17/2026 09:40PM ET,SEA,17.46
5116271244,MLB $300 Dime Time [Just $0.10!],189724737,$0.10,,,,,,,,,,,,SP,Carlos Rodon (42665357),Carlos Rodon,42665357,P,9500,KC@NYY 04/17/2026 07:05PM ET,NYY,0
5116271245,MLB $300 Dime Time [Just $0.10!],189724737,$0.10,,,,,,,,,,,,SP,Jacob Misiorowski (42665360),Jacob Misiorowski,42665360,P,9300,MIL@MIA 04/17/2026 07:10PM ET,MIL,22.09
5116271246,MLB $300 Dime Time [Just $0.10!],189724737,$0.10,,,,,,,,,,,,SP,Brandon Woodruff (42665361),Brandon Woodruff,42665361,P,9200,MIL@MIA 04/17/2026 07:10PM ET,MIL,15.37
5116271247,MLB $300 Dime Time [Just $0.10!],189724737,$0.10,,,,,,,,,,,,SP,Yoshinobu Yamamoto (42665362),Yoshinobu Yamamoto,42665362,P,9200,LAD@COL 04/17/2026 08:40PM ET,LAD,20.64
