Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5102627321,NBA $250 Dime Time [Just $0.10!],189363656,$0.10,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5102627322,NBA $250 Dime Time [Just $0.10!],189363656,$0.10,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5102627323,NBA $250 Dime Time [Just $0.10!],189363656,$0.10,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5102627324,NBA $250 Dime Time [Just $0.10!],189363656,$0.10,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5102627325,NBA $250 Dime Time [Just $0.10!],189363656,$0.10,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5102627326,NBA $250 Dime Time [Just $0.10!],189363656,$0.10,,,,,,,,,,
5102627327,NBA $250 Dime Time [Just $0.10!],189363656,$0.10,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5102627328,NBA $250 Dime Time [Just $0.10!],189363656,$0.10,,,,,,,,,,PF,Giannis Antetokounmpo (42481476),Giannis Antetokounmpo,42481476,PF/F/UTIL,11000,MIL@HOU 04/01/2026 08:00PM ET,MIL,50.60
5102627329,NBA $250 Dime Time [Just $0.10!],189363656,$0.10,,,,,,,,,,PF,Jalen Johnson (42481479),Jalen Johnson,42481479,PF/F/UTIL,10400,ATL@ORL 04/01/2026 07:00PM ET,ATL,50.70
5102627330,NBA $250 Dime Time [Just $0.10!],189363656,$0.10,,,,,,,,,,PG,Tyrese Maxey (42481482),Tyrese Maxey,42481482,PG/G/UTIL,10000,PHI@WAS 04/01/2026 07:00PM ET,PHI,49.08
5102627331,NBA $250 Dime Time [Just $0.10!],189363656,$0.10,,,,,,,,,,C,Joel Embiid (42481490),Joel Embiid,42481490,C/UTIL,9600,PHI@WAS 04/01/2026 07:00PM ET,PHI,45.11
5102627332,NBA $250 Dime Time [Just $0.10!],189363656,$0.10,,,,,,,,,,SG/SF,Jaylen Brown (42481485),Jaylen Brown,42481485,SG/SF/F/G/UTIL,9600,BOS@MIA 04/01/2026 07:30PM ET,BOS,46.65
5102627333,NBA $250 Dime Time [Just $0.10!],189363656,$0.10,,,,,,,,,,PG,Josh Giddey (42481492),Josh Giddey,42481492,PG/G/UTIL,9500,IND@CHI 04/01/2026 08:00PM ET,CHI,45.21
5102627334,NBA $250 Dime Time [Just $0.10!],189363656,$0.10,,,,,,,,,,PF,Paolo Banchero (42481495),Paolo Banchero,42481495,PF/F/UTIL,9400,ATL@ORL 04/01/2026 07:00PM ET,ORL,42.87
5102627335,NBA $250 Dime Time [Just $0.10!],189363656,$0.10,,,,,,,,,,C,Alperen Sengun (42481501),Alperen Sengun,42481501,C/UTIL,9200,MIL@HOU 04/01/2026 08:00PM ET,HOU,44.22
5102627336,NBA $250 Dime Time [Just $0.10!],189363656,$0.10,,,,,,,,,,PG,Jalen Brunson (42481498),Jalen Brunson,42481498,PG/G/UTIL,9200,NYK@MEM 04/01/2026 08:00PM ET,NYK,41.56
5102627337,NBA $250 Dime Time [Just $0.10!],189363656,$0.10,,,,,,,,,,PF,Scottie Barnes (42481503),Scottie Barnes,42481503,PF/F/UTIL,9100,SAC@TOR 04/01/2026 08:00PM ET,TOR,41.55
