Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5122673313,MLB $15K Base Hit [Single Entry],189894012,$12,,,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5122673808,MLB $1.5K Daily Dollar [Single Entry] ,189894016,$1,,,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5122683446,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5122683447,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5122683448,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5122683449,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,
5122683450,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5122683451,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,SP,Paul Skenes (42730321),Paul Skenes,42730321,P,10000,PIT@MIL 04/24/2026 07:40PM ET,PIT,15.66
5122683452,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,SP,Gavin Williams (42730322),Gavin Williams,42730322,P,9800,CLE@TOR 04/24/2026 07:07PM ET,CLE,25.35
5122683453,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,SP,Hunter Brown (42730923),Hunter Brown,42730923,P,9800,NYY@HOU 04/24/2026 08:10PM ET,HOU,26.7
5122683454,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,RP,Spencer Strider (42730924),Spencer Strider,42730924,P,9700,PHI@ATL 04/24/2026 07:15PM ET,ATL,0
5122683455,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,SP,Chris Sale (42730925),Chris Sale,42730925,P,9700,PHI@ATL 04/24/2026 07:15PM ET,ATL,20.41
5122683456,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,SP,Garrett Crochet (42730927),Garrett Crochet,42730927,P,9600,BOS@BAL 04/24/2026 07:05PM ET,BOS,10.84
5122683457,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,SP,Nolan McLean (42730926),Nolan McLean,42730926,P,9600,COL@NYM 04/24/2026 07:10PM ET,NYM,23.17
5122683458,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,SP,George Kirby (42730323),George Kirby,42730323,P,9500,SEA@STL 04/24/2026 08:15PM ET,SEA,19.98
5122683459,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,SP,Logan Gilbert (42730928),Logan Gilbert,42730928,P,9500,SEA@STL 04/24/2026 08:15PM ET,SEA,14.98
5122683460,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,SP,Bryan Woo (42730929),Bryan Woo,42730929,P,9500,SEA@STL 04/24/2026 08:15PM ET,SEA,18.8
5122683461,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,SP,Luis Castillo (42730930),Luis Castillo,42730930,P,9500,SEA@STL 04/24/2026 08:15PM ET,SEA,9.58
5122683462,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,SP,Zack Wheeler (42730932),Zack Wheeler,42730932,P,9300,PHI@ATL 04/24/2026 07:15PM ET,PHI,0
5122683463,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,SP,Cristopher Sanchez (42730933),Cristopher Sanchez,42730933,P,9300,PHI@ATL 04/24/2026 07:15PM ET,PHI,19.22
5122683464,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,SP,Jesus Luzardo (42730934),Jesus Luzardo,42730934,P,9300,PHI@ATL 04/24/2026 07:15PM ET,PHI,12.74
5122683465,MLB $300 Dime Time [Just $0.10!],189913466,$0.10,,,,,,,,,,,,SP,Brandon Woodruff (42730324),Brandon Woodruff,42730324,P,9300,PIT@MIL 04/24/2026 07:40PM ET,MIL,17.36
5122683496,MLB $300 Dime Time [Just $0.10!],189913504,$0.10,,,,,,,,,,,,SP,Jacob Misiorowski (42730931),Jacob Misiorowski,42730931,P,9300,PIT@MIL 04/24/2026 07:40PM ET,MIL,22.16
