Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5103368005,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5103368006,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5103368007,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5103368008,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5103368009,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5103368010,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,
5103368011,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5103368012,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,SP,Chris Sale (42492112),Chris Sale,42492112,P,9000,ATL@ARI 04/02/2026 09:40PM ET,ATL,23.1
5103368013,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,SP,Spencer Schwellenbach (42492236),Spencer Schwellenbach,42492236,P,9000,ATL@ARI 04/02/2026 09:40PM ET,ATL,0
5103368014,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,SP,Logan Webb (42492168),Logan Webb,42492168,P,8700,NYM@SF 04/02/2026 09:45PM ET,SF,11.98
5103368015,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,RP,Spencer Strider (42492219),Spencer Strider,42492219,P,8500,ATL@ARI 04/02/2026 09:40PM ET,ATL,0
5103368016,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,RP,AJ Smith-Shawver (42492270),AJ Smith-Shawver,42492270,P,8500,ATL@ARI 04/02/2026 09:40PM ET,ATL,0
5103368017,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,SP,Freddy Peralta (42492150),Freddy Peralta,42492150,P,8500,NYM@SF 04/02/2026 09:45PM ET,NYM,19.32
5103368018,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,SP,Nolan McLean (42492266),Nolan McLean,42492266,P,8500,NYM@SF 04/02/2026 09:45PM ET,NYM,19.05
5103368019,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,SP,Merrill Kelly (42492126),Merrill Kelly,42492126,P,8300,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
5103368020,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,SP,Corbin Burnes (42492181),Corbin Burnes,42492181,P,8300,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
5103368021,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,SP,Robbie Ray (42492123),Robbie Ray,42492123,P,8200,NYM@SF 04/02/2026 09:45PM ET,SF,13
