Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
5105853007,NBA $0.25 Contest,189430787,$0.25 ,Shai Gilgeous-Alexander (42526767),Luke Kennard (42526937),Alex Caruso (42527033),Kyle Filipowski (42526825),Jaxson Hayes (42526948),Ayo Dosunmu (42526829),Brice Sensabaugh (42526848),Cody Williams (42526879),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
5105853008,NBA $0.25 Contest,189430787,$0.25 ,Ajay Mitchell (42526920),Ayo Dosunmu (42526829),John Konchar (42526950),LeBron James (42526777),Jaxson Hayes (42526948),Brice Sensabaugh (42526848),Chet Holmgren (42526805),Cody Williams (42526879),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
5105853009,NBA $0.25 Contest,189430787,$0.25 ,Cooper Flagg (42526770),Luguentz Dort (42527030),Ace Bailey (42526841),Chet Holmgren (42526805),Jaxson Hayes (42526948),Luke Kennard (42526937),Kyle Filipowski (42526825),Cody Williams (42526879),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
5105853010,NBA $0.25 Contest,189430787,$0.25 ,Jeremiah Fears (42526907),Ayo Dosunmu (42526829),Tristan da Silva (42526941),LeBron James (42526777),Jaxson Hayes (42526948),Brice Sensabaugh (42526848),Paolo Banchero (42526780),Jamal Cain (42527043),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
5105853011,NBA $0.25 Contest,189430787,$0.25 ,Jalen Suggs (42526845),Desmond Bane (42526820),Ayo Dosunmu (42526829),Zion Williamson (42526799),Jaxson Hayes (42526948),Cody Williams (42526879),Kyle Filipowski (42526825),Jamal Cain (42527043),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
5105853012,NBA $0.25 Contest,189430787,$0.25 ,Jevon Carter (42527027),Luke Kennard (42526937),Saddiq Bey (42526837),LeBron James (42526777),Kyle Filipowski (42526825),Cody Williams (42526879),Paolo Banchero (42526780),Jamal Cain (42527043),,,,,,,,,,
5105853013,NBA $0.25 Contest,189430787,$0.25 ,Jalen Suggs (42526845),Desmond Bane (42526820),Saddiq Bey (42526837),Ace Bailey (42526841),Jaxson Hayes (42526948),Brice Sensabaugh (42526848),Tristan da Silva (42526941),Cody Williams (42526879),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5105837423,NBA $1.5K Quarter Jukebox [Just $0.25!],189435099,$0.25 ,Jeremiah Fears (42526907),Ayo Dosunmu (42526829),Tristan da Silva (42526941),LeBron James (42526777),Jaxson Hayes (42526948),Brice Sensabaugh (42526848),Paolo Banchero (42526780),Jamal Cain (42527043),,PG,Luka Doncic (42526764),Luka Doncic,42526764,PG/G/UTIL,12200,LAL@DAL 04/05/2026 07:30PM ET,LAL,60.22
5105837424,NBA $1.5K Quarter Jukebox [Just $0.25!],189435099,$0.25 ,Jalen Suggs (42526845),Desmond Bane (42526820),Ayo Dosunmu (42526829),Zion Williamson (42526799),Jaxson Hayes (42526948),Cody Williams (42526879),Kyle Filipowski (42526825),Jamal Cain (42527043),,PG,Shai Gilgeous-Alexander (42526767),Shai Gilgeous-Alexander,42526767,PG/G/UTIL,10500,UTA@OKC 04/05/2026 07:00PM ET,OKC,51.08
5105837425,NBA $1.5K Quarter Jukebox [Just $0.25!],189435099,$0.25 ,Jevon Carter (42527027),Luke Kennard (42526937),Saddiq Bey (42526837),LeBron James (42526777),Kyle Filipowski (42526825),Cody Williams (42526879),Paolo Banchero (42526780),Jamal Cain (42527043),,PG,Cooper Flagg (42526770),Cooper Flagg,42526770,PG/G/UTIL,9800,LAL@DAL 04/05/2026 07:30PM ET,DAL,39.68
5105837426,NBA $1.5K Quarter Jukebox [Just $0.25!],189435099,$0.25 ,Jalen Suggs (42526845),Desmond Bane (42526820),Saddiq Bey (42526837),Ace Bailey (42526841),Jaxson Hayes (42526948),Brice Sensabaugh (42526848),Tristan da Silva (42526941),Cody Williams (42526879),,PG/SG,Austin Reaves (42526773),Austin Reaves,42526773,PG/SG/G/UTIL,9200,LAL@DAL 04/05/2026 07:30PM ET,LAL,40.22
5105837427,NBA $1.5K Quarter Jukebox [Just $0.25!],189435099,$0.25 ,Jeremiah Fears (42526907),Ayo Dosunmu (42526829),Tristan da Silva (42526941),LeBron James (42526777),Jaxson Hayes (42526948),Brice Sensabaugh (42526848),Paolo Banchero (42526780),Jamal Cain (42527043),,PF,LeBron James (42526777),LeBron James,42526777,PF/F/UTIL,9100,LAL@DAL 04/05/2026 07:30PM ET,LAL,40.63
5105844507,NBA $1K Daily Dollar [Single Entry],189435106,$1 ,Jalen Suggs (42526845),Desmond Bane (42526820),Ayo Dosunmu (42526829),Zion Williamson (42526799),Jaxson Hayes (42526948),Cody Williams (42526879),Kyle Filipowski (42526825),Jamal Cain (42527043),,PF,Paolo Banchero (42526780),Paolo Banchero,42526780,PF/F/UTIL,9000,ORL@NOP 04/05/2026 07:00PM ET,ORL,42.36
5105838414,NBA $10K And-One,189439324,$1 ,Jevon Carter (42527027),Luke Kennard (42526937),Saddiq Bey (42526837),LeBron James (42526777),Kyle Filipowski (42526825),Cody Williams (42526879),Paolo Banchero (42526780),Jamal Cain (42527043),,SG,Anthony Edwards (42526783),Anthony Edwards,42526783,SG/G/UTIL,8800,CHA@MIN 04/05/2026 07:00PM ET,MIN,44.56
5105838415,NBA $10K And-One,189439324,$1 ,Luke Kennard (42526937),Ayo Dosunmu (42526829),Brice Sensabaugh (42526848),LeBron James (42526777),Jaxson Hayes (42526948),Cody Williams (42526879),Chet Holmgren (42526805),Jaylin Williams (42526958),,PF,Julius Randle (42526786),Julius Randle,42526786,PF/F/UTIL,8500,CHA@MIN 04/05/2026 07:00PM ET,MIN,39.56
5105838416,NBA $10K And-One,189439324,$1 ,Shai Gilgeous-Alexander (42526767),Ayo Dosunmu (42526829),John Konchar (42526950),Kyle Filipowski (42526825),Jaxson Hayes (42526948),Brice Sensabaugh (42526848),Alex Caruso (42527033),Cody Williams (42526879),,PG,LaMelo Ball (42526789),LaMelo Ball,42526789,PG/G/UTIL,8400,CHA@MIN 04/05/2026 07:00PM ET,CHA,39.81
5105837248,NBA $6K mini-MAX [150 Entry Max],189456713,$0.50 ,Ajay Mitchell (42526920),Brice Sensabaugh (42526848),Ace Bailey (42526841),LeBron James (42526777),Jaxson Hayes (42526948),Cody Williams (42526879),Kyle Filipowski (42526825),Jaylin Williams (42526958),,SF,Lauri Markkanen (42526792),Lauri Markkanen,42526792,SF/F/UTIL,8300,UTA@OKC 04/05/2026 07:00PM ET,UTA,42.32
5105837249,NBA $6K mini-MAX [150 Entry Max],189456713,$0.50 ,Luke Kennard (42526937),Bronny James (42526999),Jalen Williams (42526817),LeBron James (42526777),Jaxson Hayes (42526948),Ayo Dosunmu (42526829),Chet Holmgren (42526805),Cody Williams (42526879),,PG/SG,Trey Murphy III (42526795),Trey Murphy III,42526795,PG/SG/G/UTIL,7900,ORL@NOP 04/05/2026 07:00PM ET,NOP,38.87
5105837250,NBA $6K mini-MAX [150 Entry Max],189456713,$0.50 ,Shai Gilgeous-Alexander (42526767),Ayo Dosunmu (42526829),Saddiq Bey (42526837),John Konchar (42526950),Jaxson Hayes (42526948),Brice Sensabaugh (42526848),Cody Williams (42526879),Cason Wallace (42526966),,PF,Zion Williamson (42526799),Zion Williamson,42526799,PF/F/UTIL,7700,ORL@NOP 04/05/2026 07:00PM ET,NOP,35.18
5105837251,NBA $6K mini-MAX [150 Entry Max],189456713,$0.50 ,Ajay Mitchell (42526920),Jared McCain (42527048),Ace Bailey (42526841),LeBron James (42526777),Jaxson Hayes (42526948),Ayo Dosunmu (42526829),Kyle Filipowski (42526825),Brice Sensabaugh (42526848),,PG,Isaiah Collier (42526802),Isaiah Collier,42526802,PG/G/UTIL,7600,UTA@OKC 04/05/2026 07:00PM ET,UTA,27.74
5105837252,NBA $6K mini-MAX [150 Entry Max],189456713,$0.50 ,Jeremiah Fears (42526907),Ayo Dosunmu (42526829),Tristan da Silva (42526941),LeBron James (42526777),Jaxson Hayes (42526948),Brice Sensabaugh (42526848),Paolo Banchero (42526780),Jamal Cain (42527043),,PG,Dejounte Murray (42526811),Dejounte Murray,42526811,PG/G/UTIL,7500,ORL@NOP 04/05/2026 07:00PM ET,NOP,35.77
