Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
5106217867,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Brandon Woodruff (42538988),Janson Junk (42538994),Agustin Ramirez (42539026),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Connor Norby (42539089),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Bryan Reynolds (42539017),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
5106217868,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Brandon Woodruff (42538988),Janson Junk (42538994),Agustin Ramirez (42539026),Spencer Horwitz (42539048),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Ryan O'Hearn (42539022),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
5106217869,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Brandon Woodruff (42538988),Janson Junk (42538994),Ivan Herrera (42539037),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Bryan Reynolds (42539017),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
5106217870,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Brandon Woodruff (42538988),Janson Junk (42538994),Agustin Ramirez (42539026),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Bryan Reynolds (42539017),Heriberto Hernandez (42539103),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
5106217871,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Brandon Woodruff (42538988),Zack Littell (42538996),Agustin Ramirez (42539026),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Bryan Reynolds (42539017),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
5106217872,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Brandon Woodruff (42538988),Zack Littell (42538996),Agustin Ramirez (42539026),Spencer Horwitz (42539048),Brandon Lowe (42539012),Connor Norby (42539089),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Ryan O'Hearn (42539022),,,,,,,,,,
5106217873,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Brandon Woodruff (42538988),Janson Junk (42538994),Agustin Ramirez (42539026),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Connor Norby (42539089),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Bryan Reynolds (42539017),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5106217874,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Brandon Woodruff (42538988),Janson Junk (42538994),Agustin Ramirez (42539026),Spencer Horwitz (42539048),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Ryan O'Hearn (42539022),,SP,Garrett Crochet (42539229),Garrett Crochet,42539229,P,9500,MIL@BOS 04/06/2026 06:45PM ET,BOS,21.48
5106217875,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Brandon Woodruff (42538988),Janson Junk (42538994),Ivan Herrera (42539037),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Bryan Reynolds (42539017),,SP,Chase Burns (42539230),Chase Burns,42539230,P,8800,CIN@MIA 04/06/2026 06:40PM ET,CIN,26.38
5106217876,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Brandon Woodruff (42538988),Janson Junk (42538994),Agustin Ramirez (42539026),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Bryan Reynolds (42539017),Heriberto Hernandez (42539103),,SP,Brandon Woodruff (42538988),Brandon Woodruff,42538988,P,8700,MIL@BOS 04/06/2026 06:45PM ET,MIL,20.85
5106217877,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Brandon Woodruff (42538988),Zack Littell (42538996),Agustin Ramirez (42539026),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Bryan Reynolds (42539017),,SP,Logan Henderson (42539232),Logan Henderson,42539232,P,8700,MIL@BOS 04/06/2026 06:45PM ET,MIL,4.1
5106217878,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Brandon Woodruff (42538988),Zack Littell (42538996),Agustin Ramirez (42539026),Spencer Horwitz (42539048),Brandon Lowe (42539012),Connor Norby (42539089),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Ryan O'Hearn (42539022),,SP,Jacob Misiorowski (42539233),Jacob Misiorowski,42539233,P,8700,MIL@BOS 04/06/2026 06:45PM ET,MIL,25.78
5106217879,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Janson Junk (42538994),Zack Littell (42538996),Agustin Ramirez (42539026),Spencer Horwitz (42539048),Xavier Edwards (42539019),Connor Norby (42539089),Nick Gonzales (42539065),Jakob Marsee (42539013),Bryan Reynolds (42539017),Heriberto Hernandez (42539103),,SP,Cole Ragans (42539231),Cole Ragans,42539231,P,8700,KC@CLE 04/06/2026 06:10PM ET,KC,15.75
5106217880,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Janson Junk (42538994),Zack Littell (42538996),Agustin Ramirez (42539026),Spencer Horwitz (42539048),JJ Wetherholt (42539047),Connor Norby (42539089),Nick Gonzales (42539065),Jakob Marsee (42539013),Bryan Reynolds (42539017),Marcell Ozuna (42539084),,SP,Connelly Early (42539235),Connelly Early,42539235,P,8500,MIL@BOS 04/06/2026 06:45PM ET,BOS,13.3
5106217881,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Janson Junk (42538994),Zack Littell (42538996),Ivan Herrera (42539037),Spencer Horwitz (42539048),Xavier Edwards (42539019),Connor Norby (42539089),Nick Gonzales (42539065),Bryan Reynolds (42539017),Marcell Ozuna (42539084),Heriberto Hernandez (42539103),,SP,Ranger Suarez (42539236),Ranger Suarez,42539236,P,8500,MIL@BOS 04/06/2026 06:45PM ET,BOS,1.58
5106217882,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Janson Junk (42538994),Zack Littell (42538996),Ivan Herrera (42539037),Spencer Horwitz (42539048),Xavier Edwards (42539019),Nick Gonzales (42539065),Konnor Griffin (42539035),Christian Yelich (42539005),Bryan Reynolds (42539017),Heriberto Hernandez (42539103),,SP,Sonny Gray (42539237),Sonny Gray,42539237,P,8500,MIL@BOS 04/06/2026 06:45PM ET,BOS,12.95
5106217883,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Tanner Bibee (42538990),Zack Littell (42538996),Ivan Herrera (42539037),Spencer Horwitz (42539048),Xavier Edwards (42539019),Connor Norby (42539089),Konnor Griffin (42539035),Christian Yelich (42539005),Marcell Ozuna (42539084),Heriberto Hernandez (42539103),,RP,Bubba Chandler (42538989),Bubba Chandler,42538989,P,8500,SD@PIT 04/06/2026 06:40PM ET,PIT,18.15
5106217884,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Tanner Bibee (42538990),Zack Littell (42538996),William Contreras (42539011),Spencer Horwitz (42539048),JJ Wetherholt (42539047),Connor Norby (42539089),Konnor Griffin (42539035),Christian Yelich (42539005),Marcell Ozuna (42539084),Heriberto Hernandez (42539103),,SP,Paul Skenes (42539234),Paul Skenes,42539234,P,8500,SD@PIT 04/06/2026 06:40PM ET,PIT,4.78
5106217885,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Tanner Bibee (42538990),Zack Littell (42538996),William Contreras (42539011),Spencer Horwitz (42539048),Xavier Edwards (42539019),Connor Norby (42539089),Konnor Griffin (42539035),Marcell Ozuna (42539084),Heriberto Hernandez (42539103),Javier Sanoja (42539082),,SP,Chad Patrick (42539238),Chad Patrick,42539238,P,8200,MIL@BOS 04/06/2026 06:45PM ET,MIL,14.6
5106217886,MLB $100 Dime Time [Just $0.10!] (Turbo),189453100,$0.10 ,Bubba Chandler (42538989),Zack Littell (42538996),Ivan Herrera (42539037),Spencer Horwitz (42539048),Xavier Edwards (42539019),Connor Norby (42539089),Konnor Griffin (42539035),Marcell Ozuna (42539084),Heriberto Hernandez (42539103),Javier Sanoja (42539082),,RP,Kyle Harrison (42539239),Kyle Harrison,42539239,P,8200,MIL@BOS 04/06/2026 06:45PM ET,MIL,21.32
5106224708,MLB Satellite to NFL Best Ball $25 Millionaire (Turbo),189453104,$0.10 ,Brandon Woodruff (42538988),Janson Junk (42538994),Agustin Ramirez (42539026),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Connor Norby (42539089),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Bryan Reynolds (42539017),,SP,Tanner Bibee (42538990),Tanner Bibee,42538990,P,8000,KC@CLE 04/06/2026 06:10PM ET,CLE,13.52
5106224709,MLB Satellite to NFL Best Ball $25 Millionaire (Turbo),189453104,$0.10 ,Brandon Woodruff (42538988),Janson Junk (42538994),Agustin Ramirez (42539026),Spencer Horwitz (42539048),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Ryan O'Hearn (42539022),,SP,Slade Cecconi (42539242),Slade Cecconi,42539242,P,8000,KC@CLE 04/06/2026 06:10PM ET,CLE,12.42
5106224710,MLB Satellite to NFL Best Ball $25 Millionaire (Turbo),189453104,$0.10 ,Brandon Woodruff (42538988),Janson Junk (42538994),Ivan Herrera (42539037),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Jakob Marsee (42539013),Bryan Reynolds (42539017),,SP,Parker Messick (42539243),Parker Messick,42539243,P,8000,KC@CLE 04/06/2026 06:10PM ET,CLE,21.38
5106224711,MLB Satellite to NFL Best Ball $25 Millionaire (Turbo),189453104,$0.10 ,Brandon Woodruff (42538988),Janson Junk (42538994),Agustin Ramirez (42539026),Ryan O'Hearn (42539022),Brandon Lowe (42539012),Nick Gonzales (42539065),Otto Lopez (42539039),Oneil Cruz (42539003),Bryan Reynolds (42539017),Heriberto Hernandez (42539103),,RP,Joey Cantillo (42539244),Joey Cantillo,42539244,P,8000,KC@CLE 04/06/2026 06:10PM ET,CLE,14.22
