Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5107778427,MLB $2.5K Quarter Jukebox [Just $0.25!],189485033,$0.25,,,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5107778428,MLB $2.5K Quarter Jukebox [Just $0.25!],189485033,$0.25,,,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5107778429,MLB $2.5K Quarter Jukebox [Just $0.25!],189485033,$0.25,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5107778430,MLB $2.5K Quarter Jukebox [Just $0.25!],189485033,$0.25,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5107781625,MLB Satellite to $15 Relay Throw,189485640,$0.10,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5107781626,MLB Satellite to $15 Relay Throw,189485640,$0.10,,,,,,,,,,,,
5107778180,MLB $100 Dime Time [Just $0.10!],189501938,$0.10,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5107778181,MLB $100 Dime Time [Just $0.10!],189501938,$0.10,,,,,,,,,,,,SP,Tarik Skubal (42557238),Tarik Skubal,42557238,P,10500,DET@MIN 04/07/2026 07:40PM ET,DET,21.92
5107778182,MLB $100 Dime Time [Just $0.10!],189501938,$0.10,,,,,,,,,,,,SP,Garrett Crochet (42557239),Garrett Crochet,42557239,P,10000,MIL@BOS 04/07/2026 06:45PM ET,BOS,21.48
5107778183,MLB $100 Dime Time [Just $0.10!],189501938,$0.10,,,,,,,,,,,,SP,Cristopher Sanchez (42557240),Cristopher Sanchez,42557240,P,9700,PHI@SF 04/07/2026 09:45PM ET,PHI,27.45
5107778184,MLB $100 Dime Time [Just $0.10!],189501938,$0.10,,,,,,,,,,,,SP,Jesus Luzardo (42557802),Jesus Luzardo,42557802,P,9700,PHI@SF 04/07/2026 09:45PM ET,PHI,23.65
5107778185,MLB $100 Dime Time [Just $0.10!],189501938,$0.10,,,,,,,,,,,,SP,Zack Wheeler (42557803),Zack Wheeler,42557803,P,9700,PHI@SF 04/07/2026 09:45PM ET,PHI,0
5107778186,MLB $100 Dime Time [Just $0.10!],189501938,$0.10,,,,,,,,,,,,SP,Chris Sale (42557805),Chris Sale,42557805,P,9600,ATL@LAA 04/07/2026 09:38PM ET,ATL,17.27
5107778187,MLB $100 Dime Time [Just $0.10!],189501938,$0.10,,,,,,,,,,,,SP,Kevin Gausman (42557241),Kevin Gausman,42557241,P,9500,LAD@TOR 04/07/2026 07:07PM ET,TOR,32.6
5107778188,MLB $100 Dime Time [Just $0.10!],189501938,$0.10,,,,,,,,,,,,SP,Dylan Cease (42557804),Dylan Cease,42557804,P,9500,LAD@TOR 04/07/2026 07:07PM ET,TOR,21.98
5107778189,MLB $100 Dime Time [Just $0.10!],189501938,$0.10,,,,,,,,,,,,SP,Bryan Woo (42557806),Bryan Woo,42557806,P,9400,SEA@TEX 04/07/2026 08:05PM ET,SEA,25.22
5107778190,MLB $100 Dime Time [Just $0.10!],189501938,$0.10,,,,,,,,,,,,SP,Logan Gilbert (42557807),Logan Gilbert,42557807,P,9400,SEA@TEX 04/07/2026 08:05PM ET,SEA,13.63
5107778191,MLB $100 Dime Time [Just $0.10!],189501938,$0.10,,,,,,,,,,,,SP,Yoshinobu Yamamoto (42557242),Yoshinobu Yamamoto,42557242,P,9200,LAD@TOR 04/07/2026 07:07PM ET,LAD,16.2
5107778192,MLB $100 Dime Time [Just $0.10!],189501938,$0.10,,,,,,,,,,,,SP,Tyler Glasnow (42557809),Tyler Glasnow,42557809,P,9200,LAD@TOR 04/07/2026 07:07PM ET,LAD,23.2
5107778193,MLB $100 Dime Time [Just $0.10!],189501938,$0.10,,,,,,,,,,,,SP,Blake Snell (42557810),Blake Snell,42557810,P,9200,LAD@TOR 04/07/2026 07:07PM ET,LAD,0
5107778194,MLB $100 Dime Time [Just $0.10!],189501938,$0.10,,,,,,,,,,,,SP,Chase Burns (42557808),Chase Burns,42557808,P,9100,CIN@MIA 04/07/2026 06:40PM ET,CIN,26.38
