Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5108670689,MLB $100 Dime Time [Just $0.10!],189523378,$0.10,,,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5108670690,MLB $100 Dime Time [Just $0.10!],189523378,$0.10,,,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5108670691,MLB $100 Dime Time [Just $0.10!],189523378,$0.10,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5108670692,MLB $100 Dime Time [Just $0.10!],189523378,$0.10,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5108670693,MLB $100 Dime Time [Just $0.10!],189523378,$0.10,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5108670694,MLB $100 Dime Time [Just $0.10!],189523378,$0.10,,,,,,,,,,,,
5108670695,MLB $100 Dime Time [Just $0.10!],189523378,$0.10,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5108670696,MLB $100 Dime Time [Just $0.10!],189523378,$0.10,,,,,,,,,,,,SP,Bryan Woo (42565045),Bryan Woo,42565045,P,10000,SEA@TEX 04/08/2026 02:35PM ET,SEA,25.22
5108670697,MLB $100 Dime Time [Just $0.10!],189523378,$0.10,,,,,,,,,,,,SP,Garrett Crochet (42565493),Garrett Crochet,42565493,P,9800,MIL@BOS 04/08/2026 01:35PM ET,BOS,22.13
5108670698,MLB $100 Dime Time [Just $0.10!],189523378,$0.10,,,,,,,,,,,,SP,Shohei Ohtani (42565046),Shohei Ohtani,42565046,P,9700,LAD@TOR 04/08/2026 03:07PM ET,LAD,9.91
5108670699,MLB $100 Dime Time [Just $0.10!],189523378,$0.10,,,,,,,,,,,,SP,Tyler Glasnow (42565495),Tyler Glasnow,42565495,P,9700,LAD@TOR 04/08/2026 03:07PM ET,LAD,23.2
5108670700,MLB $100 Dime Time [Just $0.10!],189523378,$0.10,,,,,,,,,,,,SP,Yoshinobu Yamamoto (42565496),Yoshinobu Yamamoto,42565496,P,9700,LAD@TOR 04/08/2026 03:07PM ET,LAD,18.77
5108670701,MLB $100 Dime Time [Just $0.10!],189523378,$0.10,,,,,,,,,,,,SP,Blake Snell (42565497),Blake Snell,42565497,P,9700,LAD@TOR 04/08/2026 03:07PM ET,LAD,0
5108670702,MLB $100 Dime Time [Just $0.10!],189523378,$0.10,,,,,,,,,,,,SP,Chris Sale (42565494),Chris Sale,42565494,P,9700,ATL@LAA 04/08/2026 04:07PM ET,ATL,17.27
5108670703,MLB $100 Dime Time [Just $0.10!],189523378,$0.10,,,,,,,,,,,,SP,Logan Gilbert (42565500),Logan Gilbert,42565500,P,9500,SEA@TEX 04/08/2026 02:35PM ET,SEA,13.63
5108670704,MLB $100 Dime Time [Just $0.10!],189523378,$0.10,,,,,,,,,,,,SP,Jesus Luzardo (42565498),Jesus Luzardo,42565498,P,9500,PHI@SF 04/08/2026 03:45PM ET,PHI,23.65
5108670705,MLB $100 Dime Time [Just $0.10!],189523378,$0.10,,,,,,,,,,,,SP,Cristopher Sanchez (42565499),Cristopher Sanchez,42565499,P,9500,PHI@SF 04/08/2026 03:45PM ET,PHI,22.52
