Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5109968064,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5109968065,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5109968066,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5109968067,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5109968068,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5109968069,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,
5109968070,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5109968071,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,SP,Cole Ragans (42577949),Cole Ragans,42577949,P,9300,CWS@KC 04/09/2026 07:40PM ET,KC,9.73
5109968072,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,SP,Nolan McLean (42577821),Nolan McLean,42577821,P,8800,ARI@NYM 04/09/2026 07:10PM ET,NYM,19.62
5109968073,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,SP,Freddy Peralta (42577950),Freddy Peralta,42577950,P,8800,ARI@NYM 04/09/2026 07:10PM ET,NYM,16.32
5109968074,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,RP,Clay Holmes (42577951),Clay Holmes,42577951,P,8800,ARI@NYM 04/09/2026 07:10PM ET,NYM,21.65
5109968075,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,SP,Corbin Burnes (42577952),Corbin Burnes,42577952,P,8600,ARI@NYM 04/09/2026 07:10PM ET,ARI,0
5109968076,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,SP,Seth Lugo (42577822),Seth Lugo,42577822,P,8300,CWS@KC 04/09/2026 07:40PM ET,KC,19.45
5109968077,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,SP,Kris Bubic (42577953),Kris Bubic,42577953,P,8300,CWS@KC 04/09/2026 07:40PM ET,KC,17.78
5109968078,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,SP,Michael Wacha (42577954),Michael Wacha,42577954,P,8300,CWS@KC 04/09/2026 07:40PM ET,KC,22.32
5109968079,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,SP,Nick Pivetta (42577955),Nick Pivetta,42577955,P,8300,COL@SD 04/09/2026 09:40PM ET,SD,15.48
5109968080,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,SP,Joe Musgrove (42577956),Joe Musgrove,42577956,P,8300,COL@SD 04/09/2026 09:40PM ET,SD,0
5109968081,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,RP,Michael King (42577957),Michael King,42577957,P,8300,COL@SD 04/09/2026 09:40PM ET,SD,15.63
5109968082,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,SP,Kodai Senga (42577958),Kodai Senga,42577958,P,8000,ARI@NYM 04/09/2026 07:10PM ET,NYM,20.92
5109968083,MLB $300 Quarter Jukebox [Just $0.25!] (Night),189556621,$0.25,,,,,,,,,,,,SP,Tylor Megill (42577959),Tylor Megill,42577959,P,8000,ARI@NYM 04/09/2026 07:10PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Eduardo Rodriguez (42577823),Eduardo Rodriguez,42577823,P,7800,ARI@NYM 04/09/2026 07:10PM ET,ARI,18.2
,,,,,,,,,,,,,,,SP,Merrill Kelly (42577960),Merrill Kelly,42577960,P,7800,ARI@NYM 04/09/2026 07:10PM ET,ARI,0
,,,,,,,,,,,,,,,SP,Michael Soroka (42577961),Michael Soroka,42577961,P,7800,ARI@NYM 04/09/2026 07:10PM ET,ARI,23.35
,,,,,,,,,,,,,,,SP,Zac Gallen (42577962),Zac Gallen,42577962,P,7800,ARI@NYM 04/09/2026 07:10PM ET,ARI,11.25
,,,,,,,,,,,,,,,SP,Brandon Pfaadt (42577963),Brandon Pfaadt,42577963,P,7800,ARI@NYM 04/09/2026 07:10PM ET,ARI,4.5
,,,,,,,,,,,,,,,SP,Alec Marsh (42577964),Alec Marsh,42577964,P,7300,CWS@KC 04/09/2026 07:40PM ET,KC,0
,,,,,,,,,,,,,,,SP,Noah Cameron (42577965),Noah Cameron,42577965,P,7300,CWS@KC 04/09/2026 07:40PM ET,KC,18.4
,,,,,,,,,,,,,,,SP,Randy Vasquez (42577824),Randy Vasquez,42577824,P,7300,COL@SD 04/09/2026 09:40PM ET,SD,21.9
,,,,,,,,,,,,,,,SP,Walker Buehler (42577966),Walker Buehler,42577966,P,7300,COL@SD 04/09/2026 09:40PM ET,SD,3.3
,,,,,,,,,,,,,,,SP,David Peterson (42577967),David Peterson,42577967,P,7000,ARI@NYM 04/09/2026 07:10PM ET,NYM,8.27
,,,,,,,,,,,,,,,SP,Christian Scott (42577968),Christian Scott,42577968,P,7000,ARI@NYM 04/09/2026 07:10PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Tobias Myers (42577969),Tobias Myers,42577969,P,7000,ARI@NYM 04/09/2026 07:10PM ET,NYM,6.55
,,,,,,,,,,,,,,,SP,Jonah Tong (42577970),Jonah Tong,42577970,P,7000,ARI@NYM 04/09/2026 07:10PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Sean Manaea (42577971),Sean Manaea,42577971,P,7000,ARI@NYM 04/09/2026 07:10PM ET,NYM,5.55
,,,,,,,,,,,,,,,SP,Anthony Kay (42577825),Anthony Kay,42577825,P,6800,CWS@KC 04/09/2026 07:40PM ET,CWS,7.52
,,,,,,,,,,,,,,,SP,Davis Martin (42577972),Davis Martin,42577972,P,6800,CWS@KC 04/09/2026 07:40PM ET,CWS,21.18
,,,,,,,,,,,,,,,RP,Mason Black (42577973),Mason Black,42577973,P,6800,CWS@KC 04/09/2026 07:40PM ET,KC,0
,,,,,,,,,,,,,,,RP,Bailey Falter (42577974),Bailey Falter,42577974,P,6800,CWS@KC 04/09/2026 07:40PM ET,KC,-0.25
,,,,,,,,,,,,,,,RP,Daniel Lynch IV (42577975),Daniel Lynch IV,42577975,P,6800,CWS@KC 04/09/2026 07:40PM ET,KC,5.25
,,,,,,,,,,,,,,,RP,Stephen Kolek (42577976),Stephen Kolek,42577976,P,6800,CWS@KC 04/09/2026 07:40PM ET,KC,0
,,,,,,,,,,,,,,,RP,Mitch Spence (42577977),Mitch Spence,42577977,P,6800,CWS@KC 04/09/2026 07:40PM ET,KC,0
,,,,,,,,,,,,,,,RP,Ryan Bergert (42577978),Ryan Bergert,42577978,P,6800,CWS@KC 04/09/2026 07:40PM ET,KC,0
,,,,,,,,,,,,,,,RP,Luinder Avila (42577979),Luinder Avila,42577979,P,6800,CWS@KC 04/09/2026 07:40PM ET,KC,1.35
,,,,,,,,,,,,,,,SP,Sean Burke (42577980),Sean Burke,42577980,P,6800,CWS@KC 04/09/2026 07:40PM ET,CWS,13.85
,,,,,,,,,,,,,,,SP,Erick Fedde (42577981),Erick Fedde,42577981,P,6800,CWS@KC 04/09/2026 07:40PM ET,CWS,11.48
,,,,,,,,,,,,,,,SP,Drew Thorpe (42577982),Drew Thorpe,42577982,P,6300,CWS@KC 04/09/2026 07:40PM ET,CWS,0
,,,,,,,,,,,,,,,RP,Sean Newcomb (42577983),Sean Newcomb,42577983,P,6300,CWS@KC 04/09/2026 07:40PM ET,CWS,3.39
,,,,,,,,,,,,,,,SP,Jonathan Cannon (42577984),Jonathan Cannon,42577984,P,6300,CWS@KC 04/09/2026 07:40PM ET,CWS,0
,,,,,,,,,,,,,,,RP,Mike Vasil (42577985),Mike Vasil,42577985,P,6300,CWS@KC 04/09/2026 07:40PM ET,CWS,0
,,,,,,,,,,,,,,,RP,Shane Smith (42577986),Shane Smith,42577986,P,6300,CWS@KC 04/09/2026 07:40PM ET,CWS,2.52
,,,,,,,,,,,,,,,RP,Grant Taylor (42577995),Grant Taylor,42577995,P,6300,CWS@KC 04/09/2026 07:40PM ET,CWS,3.93
,,,,,,,,,,,,,,,RP,Jhony Brito (42577987),Jhony Brito,42577987,P,6300,COL@SD 04/09/2026 09:40PM ET,SD,0
,,,,,,,,,,,,,,,SP,Kyle Hart (42577988),Kyle Hart,42577988,P,6300,COL@SD 04/09/2026 09:40PM ET,SD,3.46
,,,,,,,,,,,,,,,SP,JP Sears (42577989),JP Sears,42577989,P,6300,COL@SD 04/09/2026 09:40PM ET,SD,0
,,,,,,,,,,,,,,,SP,Griffin Canning (42577992),Griffin Canning,42577992,P,6300,COL@SD 04/09/2026 09:40PM ET,SD,0
,,,,,,,,,,,,,,,SP,German Marquez (42577993),German Marquez,42577993,P,6300,COL@SD 04/09/2026 09:40PM ET,SD,7.2
,,,,,,,,,,,,,,,SP,Matt Waldron (42577994),Matt Waldron,42577994,P,6300,COL@SD 04/09/2026 09:40PM ET,SD,0
,,,,,,,,,,,,,,,SP,Ryne Nelson (42577990),Ryne Nelson,42577990,P,6300,ARI@NYM 04/09/2026 07:10PM ET,ARI,12.72
,,,,,,,,,,,,,,,SP,Yilber Diaz (42577991),Yilber Diaz,42577991,P,6300,ARI@NYM 04/09/2026 07:10PM ET,ARI,0
,,,,,,,,,,,,,,,OF,Corbin Carroll (42577827),Corbin Carroll,42577827,OF,6200,ARI@NYM 04/09/2026 07:10PM ET,ARI,11.17
,,,,,,,,,,,,,,,SS,Bobby Witt Jr. (42577828),Bobby Witt Jr.,42577828,SS,6000,CWS@KC 04/09/2026 07:40PM ET,KC,8.08
,,,,,,,,,,,,,,,SP,Chase Dollander (42577826),Chase Dollander,42577826,P,6000,COL@SD 04/09/2026 09:40PM ET,COL,13.78
,,,,,,,,,,,,,,,SP,Tomoyuki Sugano (42577996),Tomoyuki Sugano,42577996,P,6000,COL@SD 04/09/2026 09:40PM ET,COL,18.3
,,,,,,,,,,,,,,,SP,Ryan Feltner (42577997),Ryan Feltner,42577997,P,6000,COL@SD 04/09/2026 09:40PM ET,COL,9.08
,,,,,,,,,,,,,,,SP,Antonio Senzatela (42577998),Antonio Senzatela,42577998,P,6000,COL@SD 04/09/2026 09:40PM ET,COL,10.9
,,,,,,,,,,,,,,,SP,McCade Brown (42577999),McCade Brown,42577999,P,6000,COL@SD 04/09/2026 09:40PM ET,COL,0
,,,,,,,,,,,,,,,SP,Kyle Freeland (42578000),Kyle Freeland,42578000,P,6000,COL@SD 04/09/2026 09:40PM ET,COL,14.88
,,,,,,,,,,,,,,,SP,Tanner Gordon (42578001),Tanner Gordon,42578001,P,6000,COL@SD 04/09/2026 09:40PM ET,COL,0
,,,,,,,,,,,,,,,RP,Jose Quintana (42578002),Jose Quintana,42578002,P,6000,COL@SD 04/09/2026 09:40PM ET,COL,4.95
,,,,,,,,,,,,,,,SP,Michael Lorenzen (42578003),Michael Lorenzen,42578003,P,6000,COL@SD 04/09/2026 09:40PM ET,COL,2.68
,,,,,,,,,,,,,,,RP,Valente Bellozo (42578004),Valente Bellozo,42578004,P,6000,COL@SD 04/09/2026 09:40PM ET,COL,24.3
,,,,,,,,,,,,,,,OF,Juan Soto (42577917),Juan Soto,42577917,OF,5800,ARI@NYM 04/09/2026 07:10PM ET,NYM,8.25
,,,,,,,,,,,,,,,OF,Fernando Tatis Jr. (42577829),Fernando Tatis Jr.,42577829,OF,5500,COL@SD 04/09/2026 09:40PM ET,SD,6.67
,,,,,,,,,,,,,,,3B,Maikel Garcia (42577830),Maikel Garcia,42577830,3B,5200,CWS@KC 04/09/2026 07:40PM ET,KC,8.33
,,,,,,,,,,,,,,,SS,Francisco Lindor (42577831),Francisco Lindor,42577831,SS,5100,ARI@NYM 04/09/2026 07:10PM ET,NYM,6.5
,,,,,,,,,,,,,,,OF,Luis Robert Jr. (42577832),Luis Robert Jr.,42577832,OF,5000,ARI@NYM 04/09/2026 07:10PM ET,NYM,9
,,,,,,,,,,,,,,,2B,Ketel Marte (42577833),Ketel Marte,42577833,2B,4900,ARI@NYM 04/09/2026 07:10PM ET,ARI,5.58
,,,,,,,,,,,,,,,3B,Manny Machado (42577834),Manny Machado,42577834,3B,4800,COL@SD 04/09/2026 09:40PM ET,SD,6.73
,,,,,,,,,,,,,,,1B,Munetaka Murakami (42577835),Munetaka Murakami,42577835,1B,4700,CWS@KC 04/09/2026 07:40PM ET,CWS,8.17
,,,,,,,,,,,,,,,SS,Geraldo Perdomo (42577836),Geraldo Perdomo,42577836,SS,4600,ARI@NYM 04/09/2026 07:10PM ET,ARI,5.67
,,,,,,,,,,,,,,,OF,Jackson Merrill (42577837),Jackson Merrill,42577837,OF,4500,COL@SD 04/09/2026 09:40PM ET,SD,7.42
,,,,,,,,,,,,,,,1B,Vinnie Pasquantino (42577838),Vinnie Pasquantino,42577838,1B,4400,CWS@KC 04/09/2026 07:40PM ET,KC,4.92
,,,,,,,,,,,,,,,C,Hunter Goodman (42577839),Hunter Goodman,42577839,C,4300,COL@SD 04/09/2026 09:40PM ET,COL,7.5
,,,,,,,,,,,,,,,3B/SS,Colson Montgomery (42577840),Colson Montgomery,42577840,3B/SS,4200,CWS@KC 04/09/2026 07:40PM ET,CWS,6.42
,,,,,,,,,,,,,,,OF,Ramon Laureano (42577842),Ramon Laureano,42577842,OF,4100,COL@SD 04/09/2026 09:40PM ET,SD,8.36
,,,,,,,,,,,,,,,SP,Tanner McDougal (42578005),Tanner McDougal,42578005,P,4000,CWS@KC 04/09/2026 07:40PM ET,CWS,0
,,,,,,,,,,,,,,,SP,Duncan Davitt (42578006),Duncan Davitt,42578006,P,4000,CWS@KC 04/09/2026 07:40PM ET,CWS,0
,,,,,,,,,,,,,,,SP,Steven Zobac (42578008),Steven Zobac,42578008,P,4000,CWS@KC 04/09/2026 07:40PM ET,KC,0
,,,,,,,,,,,,,,,RP,Prelander Berroa (42578011),Prelander Berroa,42578011,P,4000,CWS@KC 04/09/2026 07:40PM ET,CWS,0
,,,,,,,,,,,,,,,SP,Ben Kudrna (42578013),Ben Kudrna,42578013,P,4000,CWS@KC 04/09/2026 07:40PM ET,KC,0
,,,,,,,,,,,,,,,SP,Ky Bush (42578016),Ky Bush,42578016,P,4000,CWS@KC 04/09/2026 07:40PM ET,CWS,0
,,,,,,,,,,,,,,,RP,Eric Cerantola (42578020),Eric Cerantola,42578020,P,4000,CWS@KC 04/09/2026 07:40PM ET,KC,0
,,,,,,,,,,,,,,,RP,David Sandlin (42578021),David Sandlin,42578021,P,4000,CWS@KC 04/09/2026 07:40PM ET,CWS,0
,,,,,,,,,,,,,,,RP,James McArthur (42578022),James McArthur,42578022,P,4000,CWS@KC 04/09/2026 07:40PM ET,KC,0
,,,,,,,,,,,,,,,RP,Eli Morgan (42578028),Eli Morgan,42578028,P,4000,CWS@KC 04/09/2026 07:40PM ET,KC,15.55
,,,,,,,,,,,,,,,SP,Doug Nikhazy (42578029),Doug Nikhazy,42578029,P,4000,CWS@KC 04/09/2026 07:40PM ET,CWS,0
,,,,,,,,,,,,,,,RP,Jordan Leasure (42578036),Jordan Leasure,42578036,P,4000,CWS@KC 04/09/2026 07:40PM ET,CWS,2.8
,,,,,,,,,,,,,,,RP,Carlos Estevez (42578042),Carlos Estevez,42578042,P,4000,CWS@KC 04/09/2026 07:40PM ET,KC,-14.85
,,,,,,,,,,,,,,,RP,Bryan Hudson (42578043),Bryan Hudson,42578043,P,4000,CWS@KC 04/09/2026 07:40PM ET,CWS,1.7
,,,,,,,,,,,,,,,RP,Chris Murphy (42578045),Chris Murphy,42578045,P,4000,CWS@KC 04/09/2026 07:40PM ET,CWS,1.18
,,,,,,,,,,,,,,,RP,Brandon Eisert (42578049),Brandon Eisert,42578049,P,4000,CWS@KC 04/09/2026 07:40PM ET,CWS,0
,,,,,,,,,,,,,,,RP,Steven Cruz (42578050),Steven Cruz,42578050,P,4000,CWS@KC 04/09/2026 07:40PM ET,KC,0.53
,,,,,,,,,,,,,,,RP,Matt Strahm (42578052),Matt Strahm,42578052,P,4000,CWS@KC 04/09/2026 07:40PM ET,KC,2.06
,,,,,,,,,,,,,,,RP,John Schreiber (42578056),John Schreiber,42578056,P,4000,CWS@KC 04/09/2026 07:40PM ET,KC,0.35
,,,,,,,,,,,,,,,RP,Seranthony Dominguez (42578057),Seranthony Dominguez,42578057,P,4000,CWS@KC 04/09/2026 07:40PM ET,CWS,2.66
,,,,,,,,,,,,,,,RP,Lucas Erceg (42578062),Lucas Erceg,42578062,P,4000,CWS@KC 04/09/2026 07:40PM ET,KC,1.66
,,,,,,,,,,,,,,,RP,Lucas Sims (42578065),Lucas Sims,42578065,P,4000,CWS@KC 04/09/2026 07:40PM ET,CWS,3.85
,,,,,,,,,,,,,,,RP,Alex Lange (42578074),Alex Lange,42578074,P,4000,CWS@KC 04/09/2026 07:40PM ET,KC,4.19
,,,,,,,,,,,,,,,RP,Jordan Hicks (42578079),Jordan Hicks,42578079,P,4000,CWS@KC 04/09/2026 07:40PM ET,CWS,0.59
,,,,,,,,,,,,,,,RP,Tyler Gilbert (42578083),Tyler Gilbert,42578083,P,4000,CWS@KC 04/09/2026 07:40PM ET,CWS,-3.55
,,,,,,,,,,,,,,,RP,Wikelman Gonzalez (42578090),Wikelman Gonzalez,42578090,P,4000,CWS@KC 04/09/2026 07:40PM ET,CWS,0
,,,,,,,,,,,,,,,RP,Nick Mears (42578096),Nick Mears,42578096,P,4000,CWS@KC 04/09/2026 07:40PM ET,KC,4.57
,,,,,,,,,,,,,,,SP,Miguel Mendez (42578007),Miguel Mendez,42578007,P,4000,COL@SD 04/09/2026 09:40PM ET,SD,0
,,,,,,,,,,,,,,,RP,Jeff Criswell (42578015),Jeff Criswell,42578015,P,4000,COL@SD 04/09/2026 09:40PM ET,COL,0
,,,,,,,,,,,,,,,RP,Garrett Hawkins (42578017),Garrett Hawkins,42578017,P,4000,COL@SD 04/09/2026 09:40PM ET,SD,0
,,,,,,,,,,,,,,,RP,Welinton Herrera (42578018),Welinton Herrera,42578018,P,4000,COL@SD 04/09/2026 09:40PM ET,COL,0
,,,,,,,,,,,,,,,RP,RJ Petit (42578019),RJ Petit,42578019,P,4000,COL@SD 04/09/2026 09:40PM ET,COL,0
,,,,,,,,,,,,,,,SP,Gabriel Hughes (42578025),Gabriel Hughes,42578025,P,4000,COL@SD 04/09/2026 09:40PM ET,COL,0
,,,,,,,,,,,,,,,SP,Pierson Ohl (42578030),Pierson Ohl,42578030,P,4000,COL@SD 04/09/2026 09:40PM ET,COL,0
,,,,,,,,,,,,,,,RP,Carson Palmquist (42578031),Carson Palmquist,42578031,P,4000,COL@SD 04/09/2026 09:40PM ET,COL,0
