Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5112414273,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5112414274,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5112414275,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5112414276,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5112414277,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5112414278,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,
5112414279,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5112414280,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,SP,Tarik Skubal (42614724),Tarik Skubal,42614724,P,10700,MIA@DET 04/12/2026 01:40PM ET,DET,18.12
5112414281,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,SP,Max Fried (42615227),Max Fried,42615227,P,9700,NYY@TB 04/12/2026 01:40PM ET,NYY,21.3
5112414282,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,SP,Chase Burns (42615225),Chase Burns,42615225,P,9700,LAA@CIN 04/12/2026 01:40PM ET,CIN,17.38
5112414283,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,SP,Zack Wheeler (42615226),Zack Wheeler,42615226,P,9700,ARI@PHI 04/12/2026 01:35PM ET,PHI,0
5112414284,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,SP,Brandon Woodruff (42614725),Brandon Woodruff,42614725,P,9700,WSH@MIL 04/12/2026 02:10PM ET,MIL,14.8
5112414285,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,SP,Jesus Luzardo (42615228),Jesus Luzardo,42615228,P,9600,ARI@PHI 04/12/2026 01:35PM ET,PHI,19.67
5112414286,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,SP,Nolan McLean (42615229),Nolan McLean,42615229,P,9600,ATH@NYM 04/12/2026 01:40PM ET,NYM,20.83
5112414287,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,SP,Sandy Alcantara (42614726),Sandy Alcantara,42614726,P,9500,MIA@DET 04/12/2026 01:40PM ET,MIA,30.25
5112414288,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,SP,Gerrit Cole (42615230),Gerrit Cole,42615230,P,9500,NYY@TB 04/12/2026 01:40PM ET,NYY,0
5112414289,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,SP,Kodai Senga (42615231),Kodai Senga,42615231,P,9400,ATH@NYM 04/12/2026 01:40PM ET,NYM,11.03
5112414290,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,SP,Cristopher Sanchez (42615232),Cristopher Sanchez,42615232,P,9300,ARI@PHI 04/12/2026 01:35PM ET,PHI,22.52
5112414291,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,SP,Garrett Crochet (42615233),Garrett Crochet,42615233,P,9300,BOS@STL 04/12/2026 02:15PM ET,BOS,22.13
5112414292,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,RP,Clay Holmes (42615234),Clay Holmes,42615234,P,9200,ATH@NYM 04/12/2026 01:40PM ET,NYM,18.17
5112406849,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Eury Perez (42615235),Eury Perez,42615235,P,9100,MIA@DET 04/12/2026 01:40PM ET,MIA,14.53
5112406850,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Logan Webb (42615237),Logan Webb,42615237,P,9100,SF@BAL 04/12/2026 01:35PM ET,SF,12.9
5112406851,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Jacob Misiorowski (42615236),Jacob Misiorowski,42615236,P,9100,WSH@MIL 04/12/2026 02:10PM ET,MIL,24.45
5112406852,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Freddy Peralta (42614727),Freddy Peralta,42614727,P,8900,ATH@NYM 04/12/2026 01:40PM ET,NYM,16.32
5112406853,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Dylan Cease (42615240),Dylan Cease,42615240,P,8800,MIN@TOR 04/12/2026 01:37PM ET,TOR,21.27
5112406854,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Kevin Gausman (42615242),Kevin Gausman,42615242,P,8800,MIN@TOR 04/12/2026 01:37PM ET,TOR,25.47
5112406855,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Corbin Burnes (42615238),Corbin Burnes,42615238,P,8800,ARI@PHI 04/12/2026 01:35PM ET,ARI,0
5112406856,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Logan Henderson (42615241),Logan Henderson,42615241,P,8800,WSH@MIL 04/12/2026 02:10PM ET,MIL,4.1
5112406857,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Paul Skenes (42615239),Paul Skenes,42615239,P,8800,PIT@CHC 04/12/2026 02:20PM ET,PIT,11.6
