Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,Instructions,,,,,,,,
5114090372,MLB $25K mini-MAX [150 Entry Max],189644296,$0.50,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Yandy Diaz (42633762),Ozzie Albies (42633823),Isaac Paredes (42633798),Carlos Correa (42633774),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
5114090373,MLB $25K mini-MAX [150 Entry Max],189644296,$0.50,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Matt Olson (42633776),Jose Altuve (42633755),Isaac Paredes (42633798),Trevor Story (42633824),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
5114090374,MLB $25K mini-MAX [150 Entry Max],189644296,$0.50,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Yandy Diaz (42633762),Jose Altuve (42633755),Isaac Paredes (42633798),Jose Caballero (42633950),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
5114090375,MLB $25K mini-MAX [150 Entry Max],189644296,$0.50,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Willson Contreras (42633784),Ozzie Albies (42633823),Isaac Paredes (42633798),Carlos Correa (42633774),Chase DeLauter (42633790),Masataka Yoshida (42633899),Eloy Jimenez (42634034),4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
5114090376,MLB $25K mini-MAX [150 Entry Max],189644296,$0.50,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Freddie Freeman (42633751),Ozzie Albies (42633823),Isaac Paredes (42633798),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Bryce Teodosio (42634029),5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
5114090377,MLB $25K mini-MAX [150 Entry Max],189644296,$0.50,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Willson Contreras (42633784),Jose Altuve (42633755),Isaac Paredes (42633798),Trevor Story (42633824),Chase DeLauter (42633790),Randal Grichuk (42634014),Eloy Jimenez (42634034),,,,,,,,,
5114090378,MLB $25K mini-MAX [150 Entry Max],189644296,$0.50,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Yandy Diaz (42633762),Ozzie Albies (42633823),Isaac Paredes (42633798),Carlos Correa (42633774),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5114090379,MLB $25K mini-MAX [150 Entry Max],189644296,$0.50,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Matt Olson (42633776),Jose Altuve (42633755),Isaac Paredes (42633798),Trevor Story (42633824),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),SP,Garrett Crochet (42634170),Garrett Crochet,42634170,P,10200,BOS@MIN 04/14/2026 07:40PM ET,BOS,10.59
5114090380,MLB $25K mini-MAX [150 Entry Max],189644296,$0.50,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Jonathan Aranda (42633795),Isaac Paredes (42633798),Yandy Diaz (42633762),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Eloy Jimenez (42634034),SP,Max Fried (42634171),Max Fried,42634171,P,10000,LAA@NYY 04/14/2026 07:05PM ET,NYY,21.3
5114090381,MLB $25K mini-MAX [150 Entry Max],189644296,$0.50,Bryan Woo (42633717),Yoshinobu Yamamoto (42633719),Drake Baldwin (42633770),Matt Olson (42633776),Isaac Paredes (42633798),Yandy Diaz (42633762),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Ryan Vilade (42634033),SP,Sandy Alcantara (42634172),Sandy Alcantara,42634172,P,9800,MIA@ATL 04/14/2026 07:15PM ET,MIA,22.76
5114090076,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Freddie Freeman (42633751),Ozzie Albies (42633823),Isaac Paredes (42633798),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Bryce Teodosio (42634029),SP,Chris Sale (42634173),Chris Sale,42634173,P,9700,MIA@ATL 04/14/2026 07:15PM ET,ATL,18.48
5114090077,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Yandy Diaz (42633762),Jose Altuve (42633755),Isaac Paredes (42633798),Trevor Story (42633824),Chase DeLauter (42633790),Randal Grichuk (42634014),Ryan Vilade (42634033),SP,Hunter Brown (42634174),Hunter Brown,42634174,P,9600,COL@HOU 04/14/2026 08:10PM ET,HOU,26.7
5114090078,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Yandy Diaz (42633762),Ozzie Albies (42633823),Isaac Paredes (42633798),Carlos Correa (42633774),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),SP,Kevin Gausman (42633716),Kevin Gausman,42633716,P,9500,TOR@MIL 04/14/2026 07:40PM ET,TOR,25.47
5114090079,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Matt Olson (42633776),Jose Altuve (42633755),Isaac Paredes (42633798),Trevor Story (42633824),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),SP,Dylan Cease (42634175),Dylan Cease,42634175,P,9500,TOR@MIL 04/14/2026 07:40PM ET,TOR,21.27
5114090080,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Jonathan Aranda (42633795),Isaac Paredes (42633798),Yandy Diaz (42633762),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Eloy Jimenez (42634034),SP,Bryan Woo (42633717),Bryan Woo,42633717,P,9300,SEA@SD 04/14/2026 09:40PM ET,SEA,19.83
5114090081,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Bryan Woo (42633717),Yoshinobu Yamamoto (42633719),Drake Baldwin (42633770),Matt Olson (42633776),Isaac Paredes (42633798),Yandy Diaz (42633762),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Ryan Vilade (42634033),SP,Luis Castillo (42634176),Luis Castillo,42634176,P,9300,SEA@SD 04/14/2026 09:40PM ET,SEA,7.62
5114090082,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Freddie Freeman (42633751),Ozzie Albies (42633823),Isaac Paredes (42633798),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Bryce Teodosio (42634029),SP,Logan Gilbert (42634177),Logan Gilbert,42634177,P,9300,SEA@SD 04/14/2026 09:40PM ET,SEA,17.41
5114090083,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Yandy Diaz (42633762),Jose Altuve (42633755),Isaac Paredes (42633798),Trevor Story (42633824),Chase DeLauter (42633790),Randal Grichuk (42634014),Ryan Vilade (42634033),SP,Jacob Misiorowski (42633718),Jacob Misiorowski,42633718,P,9000,TOR@MIL 04/14/2026 07:40PM ET,MIL,24.45
