Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
5104829431,MLB $100 Dime Time [Just $0.10!] (Turbo),189427111,$0.10 ,Jack Flaherty (42522481),Dustin May (42522483),William Contreras (42522493),Jake Bauers (42522526),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Christian Yelich (42522491),Starling Marte (42522536),Garrett Mitchell (42522548),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
5104829432,MLB $100 Dime Time [Just $0.10!] (Turbo),189427111,$0.10 ,Jack Flaherty (42522481),Dustin May (42522483),William Contreras (42522493),Alec Burleson (42522499),Brice Turang (42522492),David Hamilton (42522531),Colson Montgomery (42522504),Christian Yelich (42522491),Jake Bauers (42522526),Nick Loftin (42522554),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
5104829433,MLB $100 Dime Time [Just $0.10!] (Turbo),189427111,$0.10 ,Jack Flaherty (42522481),Dustin May (42522483),William Contreras (42522493),Alec Burleson (42522499),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Christian Yelich (42522491),Isaac Collins (42522542),Davis Schneider (42522539),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
5104829434,MLB $100 Dime Time [Just $0.10!] (Turbo),189427111,$0.10 ,Jack Flaherty (42522481),Dustin May (42522483),William Contreras (42522493),Jake Bauers (42522526),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Jordan Walker (42522567),Davis Schneider (42522539),Nick Loftin (42522554),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
5104829435,MLB $100 Dime Time [Just $0.10!] (Turbo),189427111,$0.10 ,Jack Flaherty (42522481),Chad Patrick (42522482),William Contreras (42522493),Alec Burleson (42522499),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Christian Yelich (42522491),Garrett Mitchell (42522548),Nick Loftin (42522554),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
5104829436,MLB $100 Dime Time [Just $0.10!] (Turbo),189427111,$0.10 ,Jack Flaherty (42522481),Chad Patrick (42522482),William Contreras (42522493),Jake Bauers (42522526),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Christian Yelich (42522491),Isaac Collins (42522542),Jordan Walker (42522567),,,,,,,,,,
5104829437,MLB $100 Dime Time [Just $0.10!] (Turbo),189427111,$0.10 ,Jack Flaherty (42522481),Dustin May (42522483),William Contreras (42522493),Jake Bauers (42522526),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Christian Yelich (42522491),Starling Marte (42522536),Garrett Mitchell (42522548),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5104829438,MLB $100 Dime Time [Just $0.10!] (Turbo),189427111,$0.10 ,Jack Flaherty (42522481),Dustin May (42522483),William Contreras (42522493),Alec Burleson (42522499),Brice Turang (42522492),David Hamilton (42522531),Colson Montgomery (42522504),Christian Yelich (42522491),Jake Bauers (42522526),Nick Loftin (42522554),,SP,Tarik Skubal (42522614),Tarik Skubal,42522614,P,10400,STL@DET 04/04/2026 01:10PM ET,DET,21.92
5104829439,MLB $100 Dime Time [Just $0.10!] (Turbo),189427111,$0.10 ,Jack Flaherty (42522481),Dustin May (42522483),William Contreras (42522493),Alec Burleson (42522499),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Christian Yelich (42522491),Isaac Collins (42522542),Davis Schneider (42522539),,SP,Kevin Gausman (42522615),Kevin Gausman,42522615,P,9900,TOR@CWS 04/04/2026 02:10PM ET,TOR,32.6
5104829440,MLB $100 Dime Time [Just $0.10!] (Turbo),189427111,$0.10 ,Jack Flaherty (42522481),Dustin May (42522483),William Contreras (42522493),Jake Bauers (42522526),Brice Turang (42522492),David Hamilton (42522531),Kevin McGonigle (42522500),Jordan Walker (42522567),Davis Schneider (42522539),Nick Loftin (42522554),,SP,Dylan Cease (42522616),Dylan Cease,42522616,P,9900,TOR@CWS 04/04/2026 02:10PM ET,TOR,21.98
