Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
5129226871,MLB $22K mini-MAX [150 Entry Max],190072921,$1,Zack Wheeler (42944644),Grant Holmes (42944656),Will Smith (42944768),Willson Contreras (42944748),Ozzie Albies (42944696),Max Muncy (42944726),Jose Caballero (42944805),Aaron Judge (42944666),Wilyer Abreu (42944734),Jerar Encarnacion (42944975),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
5129226872,MLB $22K mini-MAX [150 Entry Max],190072921,$1,Zack Wheeler (42944644),Grant Holmes (42944656),Will Smith (42944768),Willson Contreras (42944748),Ozzie Albies (42944696),Yoan Moncada (42944820),Mauricio Dubon (42944775),Aaron Judge (42944666),Roman Anthony (42944698),Yohendrick Pinango (42944968),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
5129226873,MLB $22K mini-MAX [150 Entry Max],190072921,$1,Will Warren (42944647),Cole Ragans (42944650),Drake Baldwin (42944676),Freddie Freeman (42944690),Jazz Chisholm Jr. (42944742),Austin Riley (42944703),Jose Caballero (42944805),Andy Pages (42944710),Yohendrick Pinango (42944968),Petey Halpin (42945113),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
5129226769,MLB $20K mini-MAX [150 Entry Max],190072923,$0.50,Will Warren (42944647),Cole Ragans (42944650),Cal Raleigh (42944688),Ben Rice (42944679),Marcelo Mayer (42944903),Austin Riley (42944703),Jose Caballero (42944805),Ronald Acuna Jr. (42944674),Josh Lowe (42944861),Yohendrick Pinango (42944968),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
5129226770,MLB $20K mini-MAX [150 Entry Max],190072923,$0.50,Will Warren (42944647),Cole Ragans (42944650),Cal Raleigh (42944688),Ben Rice (42944679),Jazz Chisholm Jr. (42944742),Austin Riley (42944703),Trevor Story (42944807),Roman Anthony (42944698),Josh Lowe (42944861),Petey Halpin (42945113),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
5129226771,MLB $20K mini-MAX [150 Entry Max],190072923,$0.50,Zack Wheeler (42944644),Grant Holmes (42944656),Will Smith (42944768),Willson Contreras (42944748),Ozzie Albies (42944696),Yoan Moncada (42944820),Mauricio Dubon (42944775),Aaron Judge (42944666),Roman Anthony (42944698),Yohendrick Pinango (42944968),,,,,,,,,,
5129226772,MLB $20K mini-MAX [150 Entry Max],190072923,$0.50,Zack Wheeler (42944644),Grant Holmes (42944656),Will Smith (42944768),Willson Contreras (42944748),Ozzie Albies (42944696),Austin Riley (42944703),Trevor Story (42944807),Aaron Judge (42944666),Julio Rodriguez (42944744),Petey Halpin (42945113),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5129226773,MLB $20K mini-MAX [150 Entry Max],190072923,$0.50,Zack Wheeler (42944644),Grant Holmes (42944656),Will Smith (42944768),Willson Contreras (42944748),Ozzie Albies (42944696),Max Muncy (42944726),Jose Caballero (42944805),Aaron Judge (42944666),Wilyer Abreu (42944734),Jerar Encarnacion (42944975),,SP,Hunter Brown (42945150),Hunter Brown,42945150,P,10000,HOU@BOS 05/01/2026 07:10PM ET,HOU,26.7
5129226774,MLB $20K mini-MAX [150 Entry Max],190072923,$0.50,Zack Wheeler (42944644),Grant Holmes (42944656),Will Smith (42944768),Willson Contreras (42944748),Ozzie Albies (42944696),Max Muncy (42944726),Jose Caballero (42944805),Aaron Judge (42944666),Wilyer Abreu (42944734),Jerar Encarnacion (42944975),,SP,Dylan Cease (42945152),Dylan Cease,42945152,P,9700,TOR@MIN 05/01/2026 08:10PM ET,TOR,20.92
5129226775,MLB $20K mini-MAX [150 Entry Max],190072923,$0.50,Will Warren (42944647),Cole Ragans (42944650),Cal Raleigh (42944688),Willson Contreras (42944748),Jazz Chisholm Jr. (42944742),Austin Riley (42944703),Mauricio Dubon (42944775),Andy Pages (42944710),Teoscar Hernandez (42944729),Yohendrick Pinango (42944968),,SP,Kevin Gausman (42945153),Kevin Gausman,42945153,P,9700,TOR@MIN 05/01/2026 08:10PM ET,TOR,17.93
