Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5131081784,MLB $5K Hot Corner [5 Entry Max],190145556,$3,,,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5131081785,MLB $5K Hot Corner [5 Entry Max],190145556,$3,,,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5131081786,MLB $5K Hot Corner [5 Entry Max],190145556,$3,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5131081787,MLB $5K Hot Corner [5 Entry Max],190145556,$3,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5131081788,MLB $5K Hot Corner [5 Entry Max],190145556,$3,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5131074151,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,
5131074152,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5131074153,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,SP,Max Fried (42962147),Max Fried,42962147,P,10100,BAL@NYY 05/03/2026 01:35PM ET,NYY,21.5
5131074154,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,SP,Paul Skenes (42962522),Paul Skenes,42962522,P,10000,CIN@PIT 05/03/2026 01:35PM ET,PIT,18.27
5131074155,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,SP,Cam Schlittler (42962523),Cam Schlittler,42962523,P,9800,BAL@NYY 05/03/2026 01:35PM ET,NYY,25.02
5131074156,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,SP,Cristopher Sanchez (42962524),Cristopher Sanchez,42962524,P,9700,PHI@MIA 05/03/2026 01:40PM ET,PHI,19.45
5131074157,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,SP,Tyler Glasnow (42962525),Tyler Glasnow,42962525,P,9700,LAD@STL 05/03/2026 02:15PM ET,LAD,25.3
5131074158,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,SP,Jacob Misiorowski (42962526),Jacob Misiorowski,42962526,P,9600,MIL@WSH 05/03/2026 01:35PM ET,MIL,23.1
5131074159,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,SP,Chase Burns (42962148),Chase Burns,42962148,P,9600,CIN@PIT 05/03/2026 01:35PM ET,CIN,20.62
5131074160,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,SP,Garrett Crochet (42962527),Garrett Crochet,42962527,P,9500,HOU@BOS 05/03/2026 01:35PM ET,BOS,13.78
5131074161,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,SP,Hunter Brown (42962529),Hunter Brown,42962529,P,9500,HOU@BOS 05/03/2026 01:35PM ET,HOU,26.7
5131074162,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,RP,Landen Roupp (42962528),Landen Roupp,42962528,P,9500,SF@TB 05/03/2026 01:40PM ET,SF,20.12
5131074163,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,SP,Zack Wheeler (42962530),Zack Wheeler,42962530,P,9400,PHI@MIA 05/03/2026 01:40PM ET,PHI,22.08
5131074164,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,SP,Will Warren (42962531),Will Warren,42962531,P,9400,BAL@NYY 05/03/2026 01:35PM ET,NYY,21.16
5131074165,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,SP,Robbie Ray (42962533),Robbie Ray,42962533,P,9300,SF@TB 05/03/2026 01:40PM ET,SF,18.01
5131074166,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,SP,Gerrit Cole (42962532),Gerrit Cole,42962532,P,9300,BAL@NYY 05/03/2026 01:35PM ET,NYY,0
5131074167,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,SP,Jesus Luzardo (42962149),Jesus Luzardo,42962149,P,9200,PHI@MIA 05/03/2026 01:40PM ET,PHI,16.38
5131074168,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,SP,Carlos Rodon (42962534),Carlos Rodon,42962534,P,9100,BAL@NYY 05/03/2026 01:35PM ET,NYY,0
5131074169,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,SP,Corbin Burnes (42962535),Corbin Burnes,42962535,P,8800,ARI@CHC 05/03/2026 02:20PM ET,ARI,0
5131074170,MLB $300 Dime Time [Just $0.10!],190168925,$0.10,,,,,,,,,,,,SP,Shota Imanaga (42962536),Shota Imanaga,42962536,P,8800,ARI@CHC 05/03/2026 02:20PM ET,CHC,20.86
5131081411,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,SP,Yoshinobu Yamamoto (42962537),Yoshinobu Yamamoto,42962537,P,8700,LAD@STL 05/03/2026 02:15PM ET,LAD,18.22
5131081412,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,SP,Blake Snell (42962538),Blake Snell,42962538,P,8700,LAD@STL 05/03/2026 02:15PM ET,LAD,0
5131081413,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,RP,Ranger Suarez (42962150),Ranger Suarez,42962150,P,8600,HOU@BOS 05/03/2026 01:35PM ET,BOS,16.82
5131081414,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,SP,Shane McClanahan (42962539),Shane McClanahan,42962539,P,8600,SF@TB 05/03/2026 01:40PM ET,TB,16.14
5131081415,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,SP,Logan Henderson (42962541),Logan Henderson,42962541,P,8500,MIL@WSH 05/03/2026 01:35PM ET,MIL,4.1
5131081416,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,RP,Joe Boyle (42962540),Joe Boyle,42962540,P,8500,SF@TB 05/03/2026 01:40PM ET,TB,13.02
5131081417,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,SP,Drew Rasmussen (42962542),Drew Rasmussen,42962542,P,8500,SF@TB 05/03/2026 01:40PM ET,TB,18
5131081418,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,RP,Nick Martinez (42962543),Nick Martinez,42962543,P,8500,SF@TB 05/03/2026 01:40PM ET,TB,17.18
5131081419,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,RP,Kyle Harrison (42962545),Kyle Harrison,42962545,P,8400,MIL@WSH 05/03/2026 01:35PM ET,MIL,18.96
5131081420,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,SP,Logan Webb (42962547),Logan Webb,42962547,P,8400,SF@TB 05/03/2026 01:40PM ET,SF,14.54
5131081421,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,SP,Justin Wrobleski (42962151),Justin Wrobleski,42962151,P,8400,LAD@STL 05/03/2026 02:15PM ET,LAD,17.1
5131081422,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,SP,Emmet Sheehan (42962546),Emmet Sheehan,42962546,P,8400,LAD@STL 05/03/2026 02:15PM ET,LAD,14.76
5131081423,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,SP,Clarke Schmidt (42962544),Clarke Schmidt,42962544,P,8400,BAL@NYY 05/03/2026 01:35PM ET,NYY,0
5131081424,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,SP,Brandon Woodruff (42962548),Brandon Woodruff,42962548,P,8300,MIL@WSH 05/03/2026 01:35PM ET,MIL,13.72
5131081425,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,SP,Payton Tolle (42962549),Payton Tolle,42962549,P,8300,HOU@BOS 05/03/2026 01:35PM ET,BOS,19.7
5131081426,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,SP,Elmer Rodriguez (42962550),Elmer Rodriguez,42962550,P,8300,BAL@NYY 05/03/2026 01:35PM ET,NYY,5.6
5131081427,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,SP,Trevor Rogers (42962551),Trevor Rogers,42962551,P,8300,BAL@NYY 05/03/2026 01:35PM ET,BAL,11.88
5131081428,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,SP,Connelly Early (42962552),Connelly Early,42962552,P,8200,HOU@BOS 05/03/2026 01:35PM ET,BOS,12.89
5131081429,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,SP,Steven Matz (42962152),Steven Matz,42962152,P,8200,SF@TB 05/03/2026 01:40PM ET,TB,14.82
5131081430,MLB $300 Dime Time [Just $0.10!],190169246,$0.10,,,,,,,,,,,,SP,Michael Soroka (42962553),Michael Soroka,42962553,P,8200,ARI@CHC 05/03/2026 02:20PM ET,ARI,16.13
5131073821,MLB $200 Strike Three [3 Entry Max],190169380,$1,,,,,,,,,,,,SP,Eury Perez (42962554),Eury Perez,42962554,P,8100,PHI@MIA 05/03/2026 01:40PM ET,MIA,14.36
5131073822,MLB $200 Strike Three [3 Entry Max],190169380,$1,,,,,,,,,,,,SP,Ryan Pepiot (42962556),Ryan Pepiot,42962556,P,8000,SF@TB 05/03/2026 01:40PM ET,TB,0
5131073823,MLB $200 Strike Three [3 Entry Max],190169380,$1,,,,,,,,,,,,SP,Hunter Greene (42962557),Hunter Greene,42962557,P,8000,CIN@PIT 05/03/2026 01:35PM ET,CIN,0
,,,,,,,,,,,,,,,SP,Kyle Bradish (42962555),Kyle Bradish,42962555,P,8000,BAL@NYY 05/03/2026 01:35PM ET,BAL,10.1
,,,,,,,,,,,,,,,SP,Max Meyer (42962558),Max Meyer,42962558,P,7900,PHI@MIA 05/03/2026 01:40PM ET,MIA,17.81
,,,,,,,,,,,,,,,SP,Sandy Alcantara (42962560),Sandy Alcantara,42962560,P,7900,PHI@MIA 05/03/2026 01:40PM ET,MIA,16.76
,,,,,,,,,,,,,,,SP,Justin Steele (42962559),Justin Steele,42962559,P,7900,ARI@CHC 05/03/2026 02:20PM ET,CHC,0
,,,,,,,,,,,,,,,SP,Zach Eflin (42962561),Zach Eflin,42962561,P,7900,BAL@NYY 05/03/2026 01:35PM ET,BAL,16.65
,,,,,,,,,,,,,,,RP,Eduardo Rodriguez (42962562),Eduardo Rodriguez,42962562,P,7800,ARI@CHC 05/03/2026 02:20PM ET,ARI,12.65
,,,,,,,,,,,,,,,RP,Ryan Weathers (42962563),Ryan Weathers,42962563,P,7800,BAL@NYY 05/03/2026 01:35PM ET,NYY,18.77
,,,,,,,,,,,,,,,SP,Aaron Nola (42962570),Aaron Nola,42962570,P,7700,PHI@MIA 05/03/2026 01:40PM ET,PHI,12.18
,,,,,,,,,,,,,,,SP,Andrew Painter (42962572),Andrew Painter,42962572,P,7700,PHI@MIA 05/03/2026 01:40PM ET,PHI,10.51
,,,,,,,,,,,,,,,RP,Bubba Chandler (42962566),Bubba Chandler,42962566,P,7700,CIN@PIT 05/03/2026 01:35PM ET,PIT,10.81
,,,,,,,,,,,,,,,SP,Matthew Boyd (42962153),Matthew Boyd,42962153,P,7700,ARI@CHC 05/03/2026 02:20PM ET,CHC,13.22
,,,,,,,,,,,,,,,SP,Javier Assad (42962564),Javier Assad,42962564,P,7700,ARI@CHC 05/03/2026 02:20PM ET,CHC,4.79
,,,,,,,,,,,,,,,SP,Jordan Wicks (42962565),Jordan Wicks,42962565,P,7700,ARI@CHC 05/03/2026 02:20PM ET,CHC,0
,,,,,,,,,,,,,,,SP,Edward Cabrera (42962567),Edward Cabrera,42962567,P,7700,ARI@CHC 05/03/2026 02:20PM ET,CHC,16.62
,,,,,,,,,,,,,,,SP,Cade Horton (42962568),Cade Horton,42962568,P,7700,ARI@CHC 05/03/2026 02:20PM ET,CHC,10.45
,,,,,,,,,,,,,,,SP,Jameson Taillon (42962569),Jameson Taillon,42962569,P,7700,ARI@CHC 05/03/2026 02:20PM ET,CHC,14.9
,,,,,,,,,,,,,,,SP,Zac Gallen (42962573),Zac Gallen,42962573,P,7700,ARI@CHC 05/03/2026 02:20PM ET,ARI,7.91
,,,,,,,,,,,,,,,RP,Ryan Yarbrough (42962571),Ryan Yarbrough,42962571,P,7700,BAL@NYY 05/03/2026 01:35PM ET,NYY,3.19
,,,,,,,,,,,,,,,SP,Sonny Gray (42962574),Sonny Gray,42962574,P,7600,HOU@BOS 05/03/2026 01:35PM ET,BOS,9.03
,,,,,,,,,,,,,,,SP,Peter Lambert (42962576),Peter Lambert,42962576,P,7600,HOU@BOS 05/03/2026 01:35PM ET,HOU,17.3
,,,,,,,,,,,,,,,SP,Mitch Keller (42962577),Mitch Keller,42962577,P,7600,CIN@PIT 05/03/2026 01:35PM ET,PIT,16.26
,,,,,,,,,,,,,,,SP,Luis Gil (42962575),Luis Gil,42962575,P,7600,BAL@NYY 05/03/2026 01:35PM ET,NYY,5.52
,,,,,,,,,,,,,,,SP,Spencer Arrighetti (42962579),Spencer Arrighetti,42962579,P,7500,HOU@BOS 05/03/2026 01:35PM ET,HOU,21.84
,,,,,,,,,,,,,,,SP,Jake Bennett (42962580),Jake Bennett,42962580,P,7500,HOU@BOS 05/03/2026 01:35PM ET,BOS,15.05
,,,,,,,,,,,,,,,RP,Braxton Ashcraft (42962154),Braxton Ashcraft,42962154,P,7500,CIN@PIT 05/03/2026 01:35PM ET,PIT,17.75
,,,,,,,,,,,,,,,RP,Ben Brown (42962578),Ben Brown,42962578,P,7500,ARI@CHC 05/03/2026 02:20PM ET,CHC,7.37
,,,,,,,,,,,,,,,SP,Chad Patrick (42962155),Chad Patrick,42962155,P,7400,MIL@WSH 05/03/2026 01:35PM ET,MIL,11
