Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5112662473,NBA $1K Elbow Shot [Single Entry] ,189570840,$2,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5112662443,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5112662444,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5112662445,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5112662446,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5112662447,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,
5112662448,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5112662449,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,PF,Giannis Antetokounmpo (42606114),Giannis Antetokounmpo,42606114,PF/F/UTIL,11000,MIL@PHI 04/12/2026 06:00PM ET,MIL,50.60
5112662450,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,PF,Jalen Johnson (42606117),Jalen Johnson,42606117,PF/F/UTIL,10500,ATL@MIA 04/12/2026 06:00PM ET,ATL,50.06
5112662451,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,PG,Cade Cunningham (42606120),Cade Cunningham,42606120,PG/G/UTIL,10200,DET@IND 04/12/2026 06:00PM ET,DET,49.70
5112662452,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,PF,Jayson Tatum (42606123),Jayson Tatum,42606123,PF/F/UTIL,10000,ORL@BOS 04/12/2026 06:00PM ET,BOS,46.72
5112662453,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,C,Joel Embiid (42606126),Joel Embiid,42606126,C/UTIL,9900,MIL@PHI 04/12/2026 06:00PM ET,PHI,45.69
5112662454,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,SG/SF,Jaylen Brown (42606128),Jaylen Brown,42606128,SG/SF/F/G/UTIL,9800,ORL@BOS 04/12/2026 06:00PM ET,BOS,46.47
5112662455,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,PG,Tyrese Maxey (42606133),Tyrese Maxey,42606133,PG/G/UTIL,9700,MIL@PHI 04/12/2026 06:00PM ET,PHI,48.26
5112662456,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,PG,Jalen Brunson (42606136),Jalen Brunson,42606136,PG/G/UTIL,9500,CHA@NYK 04/12/2026 06:00PM ET,NYK,41.68
5112662457,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,PF/C,Karl-Anthony Towns (42606139),Karl-Anthony Towns,42606139,PF/C/F/UTIL,9400,CHA@NYK 04/12/2026 06:00PM ET,NYK,41.96
5112662458,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,SG,Donovan Mitchell (42606143),Donovan Mitchell,42606143,SG/G/UTIL,9300,WAS@CLE 04/12/2026 06:00PM ET,CLE,44.79
