Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
5118505243,NBA $0.25 Winner Take All [$50 to 1st] (Night),189751904,$0.25 ,De'Aaron Fox (42685211),Stephon Castle (42685347),Carter Bryant (42685360),Tobias Harris (42685160),Victor Wembanyama (42685325),Deni Avdija (42685295),Jamal Cain (42685214),Paul Reed (42685221),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
5118505244,NBA $0.25 Winner Take All [$50 to 1st] (Night),189751904,$0.25 ,Cade Cunningham (42685273),Stephon Castle (42685347),Carter Bryant (42685360),Paolo Banchero (42685308),Victor Wembanyama (42685325),Kevin Huerter (42685204),Jamal Cain (42685214),Kris Murray (42685268),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
5118505245,NBA $0.25 Winner Take All [$50 to 1st] (Night),189751904,$0.25 ,De'Aaron Fox (42685211),Stephon Castle (42685347),Devin Vassell (42685223),Ronald Holland II (42685350),Jalen Duren (42685317),Jrue Holiday (42685145),Carter Bryant (42685360),Deni Avdija (42685295),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
5118505246,NBA $0.25 Winner Take All [$50 to 1st] (Night),189751904,$0.25 ,Jalen Suggs (42685286),Toumani Camara (42685248),Franz Wagner (42685259),Julian Champagnie (42685251),Victor Wembanyama (42685325),Deni Avdija (42685295),Matisse Thybulle (42685190),Kevin Huerter (42685204),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
5118505247,NBA $0.25 Winner Take All [$50 to 1st] (Night),189751904,$0.25 ,Jrue Holiday (42685145),Stephon Castle (42685347),Carter Bryant (42685360),Paolo Banchero (42685308),Victor Wembanyama (42685325),Dylan Harper (42685353),Tobias Harris (42685160),Kris Murray (42685268),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
5118505248,NBA $0.25 Winner Take All [$50 to 1st] (Night),189751904,$0.25 ,De'Aaron Fox (42685211),Stephon Castle (42685347),Deni Avdija (42685295),Jerami Grant (42685174),Jalen Duren (42685317),Toumani Camara (42685248),Keldon Johnson (42685228),Paul Reed (42685221),,,,,,,,,,
5118505249,NBA $0.25 Winner Take All [$50 to 1st] (Night),189751904,$0.25 ,De'Aaron Fox (42685211),Stephon Castle (42685347),Carter Bryant (42685360),Tobias Harris (42685160),Victor Wembanyama (42685325),Daniss Jenkins (42685262),Deni Avdija (42685295),Jamal Cain (42685214),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5118505227,NBA $0.25 Winner Take All [$50 to 1st] (Night),189751905,$0.25 ,Cade Cunningham (42685273),Stephon Castle (42685347),Carter Bryant (42685360),Paolo Banchero (42685308),Victor Wembanyama (42685325),Kevin Huerter (42685204),Jamal Cain (42685214),Kris Murray (42685268),,C,Victor Wembanyama (42685325),Victor Wembanyama,42685325,C/UTIL,11000,POR@SAS 04/19/2026 09:00PM ET,SAS,51.9
5118505228,NBA $0.25 Winner Take All [$50 to 1st] (Night),189751905,$0.25 ,Jrue Holiday (42685145),Stephon Castle (42685347),Devin Vassell (42685223),Ronald Holland II (42685350),Victor Wembanyama (42685325),Deni Avdija (42685295),Jamal Cain (42685214),Paul Reed (42685221),,PG,Cade Cunningham (42685273),Cade Cunningham,42685273,PG/G/UTIL,9400,ORL@DET 04/19/2026 06:30PM ET,DET,49.5
5118505229,NBA $0.25 Winner Take All [$50 to 1st] (Night),189751905,$0.25 ,De'Aaron Fox (42685211),Toumani Camara (42685248),Franz Wagner (42685259),Matisse Thybulle (42685190),Victor Wembanyama (42685325),Scoot Henderson (42685319),Carter Bryant (42685360),Deni Avdija (42685295),,PG/SF,Deni Avdija (42685295),Deni Avdija,42685295,PG/SF/F/G/UTIL,8900,POR@SAS 04/19/2026 09:00PM ET,POR,44.49
