Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5123333762,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5123333763,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5123333764,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5123333765,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5123333766,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5123333767,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,
5123333768,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5123333769,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,C,Nikola Jokic (42742215),Nikola Jokic,42742215,C/UTIL,12600,DEN@MIN 04/25/2026 08:30PM ET,DEN,64.90
5123333770,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,PG,Cade Cunningham (42742217),Cade Cunningham,42742217,PG/G/UTIL,10200,DET@ORL 04/25/2026 01:00PM ET,DET,49.59
5123333771,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,PG,Shai Gilgeous-Alexander (42742220),Shai Gilgeous-Alexander,42742220,PG/G/UTIL,9900,OKC@PHX 04/25/2026 03:30PM ET,OKC,50.64
5123333772,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,PF,Jalen Johnson (42742223),Jalen Johnson,42742223,PF/F/UTIL,9100,NYK@ATL 04/25/2026 06:00PM ET,ATL,49.73
5123333773,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,PG,Jamal Murray (42742226),Jamal Murray,42742226,PG/G/UTIL,9000,DEN@MIN 04/25/2026 08:30PM ET,DEN,44.06
5123333774,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,SG,Anthony Edwards (42742229),Anthony Edwards,42742229,SG/G/UTIL,8700,DEN@MIN 04/25/2026 08:30PM ET,MIN,44.27
5123333775,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,PF/C,Karl-Anthony Towns (42742232),Karl-Anthony Towns,42742232,PF/C/F/UTIL,8600,NYK@ATL 04/25/2026 06:00PM ET,NYK,42.12
5123333776,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,PF,Paolo Banchero (42742239),Paolo Banchero,42742239,PF/F/UTIL,8500,DET@ORL 04/25/2026 01:00PM ET,ORL,42.52
5123333777,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,PG,Jalen Brunson (42742236),Jalen Brunson,42742236,PG/G/UTIL,8500,NYK@ATL 04/25/2026 06:00PM ET,NYK,41.72
5123333778,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,PG/SG,Devin Booker (42742242),Devin Booker,42742242,PG/SG/G/UTIL,8400,OKC@PHX 04/25/2026 03:30PM ET,PHX,40.41
5123333779,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,C,Jalen Duren (42742246),Jalen Duren,42742246,C/UTIL,8000,DET@ORL 04/25/2026 01:00PM ET,DET,37.72
5123333780,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,PF,Chet Holmgren (42742248),Chet Holmgren,42742248,PF/F/UTIL,7900,OKC@PHX 04/25/2026 03:30PM ET,OKC,35.30
