Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5124121540,NBA $1 Winner Take All [$100 to 1st],189937305,$1,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5124121541,NBA $1 Winner Take All [$100 to 1st],189937305,$1,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5124121542,NBA $1 Winner Take All [$100 to 1st],189937305,$1,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5124111278,NBA $250 Dime Time [Just $0.10!],189937306,$0.10,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5124111279,NBA $250 Dime Time [Just $0.10!],189937306,$0.10,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5124111280,NBA $250 Dime Time [Just $0.10!],189937306,$0.10,,,,,,,,,,
5124111281,NBA $250 Dime Time [Just $0.10!],189937306,$0.10,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5124111282,NBA $250 Dime Time [Just $0.10!],189937306,$0.10,,,,,,,,,,C,Victor Wembanyama (42753665),Victor Wembanyama,42753665,C/UTIL,11500,SAS@POR 04/26/2026 03:30PM ET,SAS,51.26
5124111283,NBA $250 Dime Time [Just $0.10!],189937306,$0.10,,,,,,,,,,PG,Luka Doncic (42753667),Luka Doncic,42753667,PG/G/UTIL,11100,LAL@HOU 04/26/2026 09:30PM ET,LAL,60.22
5124111284,NBA $250 Dime Time [Just $0.10!],189937306,$0.10,,,,,,,,,,PF,Jayson Tatum (42753670),Jayson Tatum,42753670,PF/F/UTIL,9800,BOS@PHI 04/26/2026 07:00PM ET,BOS,47.42
5124111285,NBA $250 Dime Time [Just $0.10!],189937306,$0.10,,,,,,,,,,PF,LeBron James (42753673),LeBron James,42753673,PF/F/UTIL,9700,LAL@HOU 04/26/2026 09:30PM ET,LAL,42.28
5124111286,NBA $250 Dime Time [Just $0.10!],189937306,$0.10,,,,,,,,,,SG/SF,Jaylen Brown (42753676),Jaylen Brown,42753676,SG/SF/F/G/UTIL,9200,BOS@PHI 04/26/2026 07:00PM ET,BOS,46.48
5124111287,NBA $250 Dime Time [Just $0.10!],189937306,$0.10,,,,,,,,,,PG,Tyrese Maxey (42753681),Tyrese Maxey,42753681,PG/G/UTIL,9100,BOS@PHI 04/26/2026 07:00PM ET,PHI,47.89
5124111288,NBA $250 Dime Time [Just $0.10!],189937306,$0.10,,,,,,,,,,SF/PF,Deni Avdija (42753684),Deni Avdija,42753684,SF/PF/F/UTIL,8900,SAS@POR 04/26/2026 03:30PM ET,POR,44.28
5124111289,NBA $250 Dime Time [Just $0.10!],189937306,$0.10,,,,,,,,,,C,Alperen Sengun (42753688),Alperen Sengun,42753688,C/UTIL,8600,LAL@HOU 04/26/2026 09:30PM ET,HOU,44.23
5124111290,NBA $250 Dime Time [Just $0.10!],189937306,$0.10,,,,,,,,,,SG,Donovan Mitchell (42753690),Donovan Mitchell,42753690,SG/G/UTIL,8500,CLE@TOR 04/26/2026 01:00PM ET,CLE,44.60
5124111291,NBA $250 Dime Time [Just $0.10!],189937306,$0.10,,,,,,,,,,C,Joel Embiid (42753693),Joel Embiid,42753693,C/UTIL,8400,BOS@PHI 04/26/2026 07:00PM ET,PHI,45.69
