Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5126319606,NBA $17.5K And-One,189990663,$1,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5126319607,NBA $17.5K And-One,189990663,$1,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5126319608,NBA $17.5K And-One,189990663,$1,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5126319609,NBA $17.5K And-One,189990663,$1,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5126319610,NBA $17.5K And-One,189990663,$1,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5126330606,NBA $250 Dime Time [Just $0.10!],190011611,$0.10,,,,,,,,,,
5126330607,NBA $250 Dime Time [Just $0.10!],190011611,$0.10,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5126330608,NBA $250 Dime Time [Just $0.10!],190011611,$0.10,,,,,,,,,,C,Victor Wembanyama (42773450),Victor Wembanyama,42773450,C/UTIL,11000,POR@SAS 04/28/2026 09:30PM ET,SAS,51.51
5126330609,NBA $250 Dime Time [Just $0.10!],190011611,$0.10,,,,,,,,,,PF,Jayson Tatum (42773452),Jayson Tatum,42773452,PF/F/UTIL,9500,PHI@BOS 04/28/2026 07:00PM ET,BOS,47.89
5126330610,NBA $250 Dime Time [Just $0.10!],190011611,$0.10,,,,,,,,,,PG,Tyrese Maxey (42773455),Tyrese Maxey,42773455,PG/G/UTIL,9000,PHI@BOS 04/28/2026 07:00PM ET,PHI,47.75
5126330611,NBA $250 Dime Time [Just $0.10!],190011611,$0.10,,,,,,,,,,SG/SF,Jaylen Brown (42773458),Jaylen Brown,42773458,SG/SF/F/G/UTIL,8900,PHI@BOS 04/28/2026 07:00PM ET,BOS,46.32
5126330612,NBA $250 Dime Time [Just $0.10!],190011611,$0.10,,,,,,,,,,PF,Jalen Johnson (42773463),Jalen Johnson,42773463,PF/F/UTIL,8800,ATL@NYK 04/28/2026 08:00PM ET,ATL,49.41
5126330613,NBA $250 Dime Time [Just $0.10!],190011611,$0.10,,,,,,,,,,SF/PF,Deni Avdija (42773466),Deni Avdija,42773466,SF/PF/F/UTIL,8600,POR@SAS 04/28/2026 09:30PM ET,POR,44.22
5126330614,NBA $250 Dime Time [Just $0.10!],190011611,$0.10,,,,,,,,,,PF/C,Karl-Anthony Towns (42773470),Karl-Anthony Towns,42773470,PF/C/F/UTIL,8500,ATL@NYK 04/28/2026 08:00PM ET,NYK,42.29
5126330615,NBA $250 Dime Time [Just $0.10!],190011611,$0.10,,,,,,,,,,C,Joel Embiid (42773474),Joel Embiid,42773474,C/UTIL,8300,PHI@BOS 04/28/2026 07:00PM ET,PHI,45.85
5126330616,NBA $250 Dime Time [Just $0.10!],190011611,$0.10,,,,,,,,,,PG,Jalen Brunson (42773476),Jalen Brunson,42773476,PG/G/UTIL,8000,ATL@NYK 04/28/2026 08:00PM ET,NYK,41.5
5126330617,NBA $250 Dime Time [Just $0.10!],190011611,$0.10,,,,,,,,,,SG,Stephon Castle (42773479),Stephon Castle,42773479,SG/G/UTIL,7500,POR@SAS 04/28/2026 09:30PM ET,SAS,37.03
5126330618,NBA $250 Dime Time [Just $0.10!],190011611,$0.10,,,,,,,,,,PG,De'Aaron Fox (42773482),De'Aaron Fox,42773482,PG/G/UTIL,7200,POR@SAS 04/28/2026 09:30PM ET,SAS,34.73
