Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5127294241,NBA $10K High Five [Single Entry],190010011,$5,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5127295733,NBA $17.5K And-One,190023110,$1,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5127295734,NBA $17.5K And-One,190023110,$1,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5127295735,NBA $17.5K And-One,190023110,$1,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5127295736,NBA $17.5K And-One,190023110,$1,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5127295737,NBA $17.5K And-One,190023110,$1,,,,,,,,,,
5127295738,NBA $17.5K And-One,190023110,$1,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5127295739,NBA $17.5K And-One,190023110,$1,,,,,,,,,,PG,Luka Doncic (42932700),Luka Doncic,42932700,PG/G/UTIL,11100,HOU@LAL 04/29/2026 10:00PM ET,LAL,60.22
5127295740,NBA $17.5K And-One,190023110,$1,,,,,,,,,,PG,Cade Cunningham (42932703),Cade Cunningham,42932703,PG/G/UTIL,10300,ORL@DET 04/29/2026 07:00PM ET,DET,49.46
5127295741,NBA $17.5K And-One,190023110,$1,,,,,,,,,,PF,LeBron James (42932706),LeBron James,42932706,PF/F/UTIL,9500,HOU@LAL 04/29/2026 10:00PM ET,LAL,42.01
5127295742,NBA $17.5K And-One,190023110,$1,,,,,,,,,,PF,Paolo Banchero (42932709),Paolo Banchero,42932709,PF/F/UTIL,8900,ORL@DET 04/29/2026 07:00PM ET,ORL,42.73
5127294376,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,C,Alperen Sengun (42932712),Alperen Sengun,42932712,C/UTIL,8800,HOU@LAL 04/29/2026 10:00PM ET,HOU,44.08
5127294377,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,PF,Scottie Barnes (42932714),Scottie Barnes,42932714,PF/F/UTIL,8600,TOR@CLE 04/29/2026 07:30PM ET,TOR,41.39
5127294378,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,SG,Donovan Mitchell (42932717),Donovan Mitchell,42932717,SG/G/UTIL,8500,TOR@CLE 04/29/2026 07:30PM ET,CLE,44.46
5127294379,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,SF,Kevin Durant (42932720),Kevin Durant,42932720,SF/F/UTIL,8300,HOU@LAL 04/29/2026 10:00PM ET,HOU,42.30
5127294380,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,PG,Amen Thompson (42932723),Amen Thompson,42932723,PG/G/UTIL,8200,HOU@LAL 04/29/2026 10:00PM ET,HOU,39.74
5127294381,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,PG,James Harden (42932726),James Harden,42932726,PG/G/UTIL,8100,TOR@CLE 04/29/2026 07:30PM ET,CLE,44.60
