Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5109991307,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5109991308,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5109991309,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5109991310,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5109991311,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5109991312,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,
5109991313,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5109991314,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,PF,Jayson Tatum (42584437),Jayson Tatum,42584437,PF/F/UTIL,10000,BOS@NYK 04/09/2026 07:30PM ET,BOS,46.12
5109991315,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,C,Joel Embiid (42584440),Joel Embiid,42584440,C/UTIL,9800,PHI@HOU 04/09/2026 08:00PM ET,PHI,45.69
5109991316,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,SG/SF,Jaylen Brown (42584442),Jaylen Brown,42584442,SG/SF/F/G/UTIL,9700,BOS@NYK 04/09/2026 07:30PM ET,BOS,46.73
5109991317,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,PG,Josh Giddey (42584447),Josh Giddey,42584447,PG/G/UTIL,9600,CHI@WAS 04/09/2026 07:00PM ET,CHI,44.78
5109991318,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,PG,Tyrese Maxey (42584450),Tyrese Maxey,42584450,PG/G/UTIL,9500,PHI@HOU 04/09/2026 08:00PM ET,PHI,48.36
5109991319,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,PG,Jalen Brunson (42584453),Jalen Brunson,42584453,PG/G/UTIL,9200,BOS@NYK 04/09/2026 07:30PM ET,NYK,41.69
5109991320,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,PF/C,Karl-Anthony Towns (42584456),Karl-Anthony Towns,42584456,PF/C/F/UTIL,9100,BOS@NYK 04/09/2026 07:30PM ET,NYK,41.93
5109991321,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,PF,Scottie Barnes (42584460),Scottie Barnes,42584460,PF/F/UTIL,8900,MIA@TOR 04/09/2026 07:00PM ET,TOR,41.29
5109991322,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,SF,Kevin Durant (42584463),Kevin Durant,42584463,SF/F/UTIL,8800,PHI@HOU 04/09/2026 08:00PM ET,HOU,42.15
5109991323,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,C,Bam Adebayo (42584466),Bam Adebayo,42584466,C/UTIL,8700,MIA@TOR 04/09/2026 07:00PM ET,MIA,41.36
5109991324,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,C,Alperen Sengun (42584468),Alperen Sengun,42584468,C/UTIL,8600,PHI@HOU 04/09/2026 08:00PM ET,HOU,44.01
5109991325,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,PF/C,Pascal Siakam (42584470),Pascal Siakam,42584470,PF/C/F/UTIL,8400,IND@BKN 04/09/2026 07:30PM ET,IND,39.95
5109991326,NBA $250 Dime Time [Just $0.10!],189556262,$0.10,,,,,,,,,,SF/PF,Paul George (42584474),Paul George,42584474,SF/PF/F/UTIL,8300,PHI@HOU 04/09/2026 08:00PM ET,PHI,35.16
5109991338,NBA $300 Quarter Jukebox [Just $0.25!] ,189556410,$0.25,,,,,,,,,,SG,Brandon Ingram (42584478),Brandon Ingram,42584478,SG/G/UTIL,7900,MIA@TOR 04/09/2026 07:00PM ET,TOR,35.44
5109991339,NBA $300 Quarter Jukebox [Just $0.25!] ,189556410,$0.25,,,,,,,,,,PG,Amen Thompson (42584481),Amen Thompson,42584481,PG/G/UTIL,7800,PHI@HOU 04/09/2026 08:00PM ET,HOU,39.24
5109991340,NBA $300 Quarter Jukebox [Just $0.25!] ,189556410,$0.25,,,,,,,,,,PG/SG,Tyler Herro (42584484),Tyler Herro,42584484,PG/SG/G/UTIL,7700,MIA@TOR 04/09/2026 07:00PM ET,MIA,35.52
5109991341,NBA $300 Quarter Jukebox [Just $0.25!] ,189556410,$0.25,,,,,,,,,,SF/PF,Matas Buzelis (42584488),Matas Buzelis,42584488,SF/PF/F/UTIL,7600,CHI@WAS 04/09/2026 07:00PM ET,CHI,31.16
5109991342,NBA $300 Quarter Jukebox [Just $0.25!] ,189556410,$0.25,,,,,,,,,,SF,RJ Barrett (42584492),RJ Barrett,42584492,SF/F/UTIL,7500,MIA@TOR 04/09/2026 07:00PM ET,TOR,32.82
5109991343,NBA $300 Quarter Jukebox [Just $0.25!] ,189556410,$0.25,,,,,,,,,,PG/SG,VJ Edgecombe (42584495),VJ Edgecombe,42584495,PG/SG/G/UTIL,7300,PHI@HOU 04/09/2026 08:00PM ET,PHI,33.16
5109991344,NBA $300 Quarter Jukebox [Just $0.25!] ,189556410,$0.25,,,,,,,,,,PG,Derrick White (42584499),Derrick White,42584499,PG/G/UTIL,7200,BOS@NYK 04/09/2026 07:30PM ET,BOS,35.81
5109991345,NBA $300 Quarter Jukebox [Just $0.25!] ,189556410,$0.25,,,,,,,,,,PG/SG,Tre Jones (42584502),Tre Jones,42584502,PG/SG/G/UTIL,7100,CHI@WAS 04/09/2026 07:00PM ET,CHI,28.32
5109991346,NBA $300 Quarter Jukebox [Just $0.25!] ,189556410,$0.25,,,,,,,,,,C,Alexandre Sarr (42584506),Alexandre Sarr,42584506,C/UTIL,7000,CHI@WAS 04/09/2026 07:00PM ET,WAS,35.24
5109991347,NBA $300 Quarter Jukebox [Just $0.25!] ,189556410,$0.25,,,,,,,,,,PG,Immanuel Quickley (42584508),Immanuel Quickley,42584508,PG/G/UTIL,6900,MIA@TOR 04/09/2026 07:00PM ET,TOR,34.22
5109991348,NBA $300 Quarter Jukebox [Just $0.25!] ,189556410,$0.25,,,,,,,,,,PG,Andrew Nembhard (42584511),Andrew Nembhard,42584511,PG/G/UTIL,6800,IND@BKN 04/09/2026 07:30PM ET,IND,34.10
5109991349,NBA $300 Quarter Jukebox [Just $0.25!] ,189556410,$0.25,,,,,,,,,,PG/SG,Payton Pritchard (42584514),Payton Pritchard,42584514,PG/SG/G/UTIL,6700,BOS@NYK 04/09/2026 07:30PM ET,BOS,31.96
5109991350,NBA $300 Quarter Jukebox [Just $0.25!] ,189556410,$0.25,,,,,,,,,,SG/SF,Collin Sexton (42584521),Collin Sexton,42584521,SG/SF/F/G/UTIL,6600,CHI@WAS 04/09/2026 07:00PM ET,CHI,25.34
5109991351,NBA $300 Quarter Jukebox [Just $0.25!] ,189556410,$0.25,,,,,,,,,,PF,OG Anunoby (42584518),OG Anunoby,42584518,PF/F/UTIL,6600,BOS@NYK 04/09/2026 07:30PM ET,NYK,32.03
5109991352,NBA $300 Quarter Jukebox [Just $0.25!] ,189556410,$0.25,,,,,,,,,,SF/PF,Will Riley (42584526),Will Riley,42584526,SF/PF/F/UTIL,6500,CHI@WAS 04/09/2026 07:00PM ET,WAS,17.91
