Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5129206748,NBA $8.5K mini-MAX [150 Entry Max],190081971,$2,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5129206749,NBA $8.5K mini-MAX [150 Entry Max],190081971,$2,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5129206750,NBA $8.5K mini-MAX [150 Entry Max],190081971,$2,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5129201020,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5129201021,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5129201022,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,
5129201023,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5129201024,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,PG,Luka Doncic (42948942),Luka Doncic,42948942,PG/G/UTIL,11100,LAL@HOU 05/01/2026 09:30PM ET,LAL,60.22
5129201025,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,PG,Cade Cunningham (42948945),Cade Cunningham,42948945,PG/G/UTIL,10600,DET@ORL 05/01/2026 07:00PM ET,DET,49.60
5129201026,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,PF,LeBron James (42948948),LeBron James,42948948,PF/F/UTIL,9600,LAL@HOU 05/01/2026 09:30PM ET,LAL,42.01
5129201027,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,PF,Paolo Banchero (42948951),Paolo Banchero,42948951,PF/F/UTIL,9300,DET@ORL 05/01/2026 07:00PM ET,ORL,43.08
5129201028,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,C,Alperen Sengun (42948954),Alperen Sengun,42948954,C/UTIL,9000,LAL@HOU 05/01/2026 09:30PM ET,HOU,44.04
5129201029,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,PF,Scottie Barnes (42948956),Scottie Barnes,42948956,PF/F/UTIL,8800,CLE@TOR 05/01/2026 07:30PM ET,TOR,41.50
5129201030,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,SG,Donovan Mitchell (42948959),Donovan Mitchell,42948959,SG/G/UTIL,8500,CLE@TOR 05/01/2026 07:30PM ET,CLE,44.33
5129201031,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,PG,James Harden (42948962),James Harden,42948962,PG/G/UTIL,8400,CLE@TOR 05/01/2026 07:30PM ET,CLE,44.63
5129201032,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,PG,Amen Thompson (42948965),Amen Thompson,42948965,PG/G/UTIL,8300,LAL@HOU 05/01/2026 09:30PM ET,HOU,39.71
5129201033,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,SF,Kevin Durant (42948968),Kevin Durant,42948968,SF/F/UTIL,8200,LAL@HOU 05/01/2026 09:30PM ET,HOU,42.30
5129201034,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,PF/C,Evan Mobley (42948971),Evan Mobley,42948971,PF/C/F/UTIL,7700,CLE@TOR 05/01/2026 07:30PM ET,CLE,39.68
5129201035,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,PG/SG,Austin Reaves (42948975),Austin Reaves,42948975,PG/SG/G/UTIL,7600,LAL@HOU 05/01/2026 09:30PM ET,LAL,40.17
5129201036,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,SF,RJ Barrett (42948979),RJ Barrett,42948979,SF/F/UTIL,7300,CLE@TOR 05/01/2026 07:30PM ET,TOR,33.64
5129201037,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,SG,Desmond Bane (42948982),Desmond Bane,42948982,SG/G/UTIL,7100,DET@ORL 05/01/2026 07:00PM ET,ORL,34.40
5129201038,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,C,Jalen Duren (42948985),Jalen Duren,42948985,C/UTIL,6900,DET@ORL 05/01/2026 07:00PM ET,DET,37.38
5129201039,NBA $250 Dime Time [Just $0.10!],190113244,$0.10,,,,,,,,,,PG,Jalen Suggs (42948987),Jalen Suggs,42948987,PG/G/UTIL,6800,DET@ORL 05/01/2026 07:00PM ET,ORL,31.22
5129201184,NBA $300 Quarter Jukebox [Just $0.25!] ,190114789,$0.25,,,,,,,,,,SF,Franz Wagner (42948994),Franz Wagner,42948994,SF/F/UTIL,6700,DET@ORL 05/01/2026 07:00PM ET,ORL,34.18
5129201185,NBA $300 Quarter Jukebox [Just $0.25!] ,190114789,$0.25,,,,,,,,,,PF/C,Jabari Smith Jr. (42948990),Jabari Smith Jr.,42948990,PF/C/F/UTIL,6700,LAL@HOU 05/01/2026 09:30PM ET,HOU,31.52
5129201186,NBA $300 Quarter Jukebox [Just $0.25!] ,190114789,$0.25,,,,,,,,,,PF,Tobias Harris (42948997),Tobias Harris,42948997,PF/F/UTIL,6600,DET@ORL 05/01/2026 07:00PM ET,DET,27.06
5129201187,NBA $300 Quarter Jukebox [Just $0.25!] ,190114789,$0.25,,,,,,,,,,SG,Brandon Ingram (42949000),Brandon Ingram,42949000,SG/G/UTIL,6500,CLE@TOR 05/01/2026 07:30PM ET,TOR,34.94
5129201188,NBA $300 Quarter Jukebox [Just $0.25!] ,190114789,$0.25,,,,,,,,,,SF,Ausar Thompson (42949003),Ausar Thompson,42949003,SF/F/UTIL,6200,DET@ORL 05/01/2026 07:00PM ET,DET,27.34
,,,,,,,,,,,,,PG/SG,Reed Sheppard (42949006),Reed Sheppard,42949006,PG/SG/G/UTIL,6100,LAL@HOU 05/01/2026 09:30PM ET,HOU,27.25
,,,,,,,,,,,,,SG/SF,Marcus Smart (42949010),Marcus Smart,42949010,SG/SF/F/G/UTIL,6000,LAL@HOU 05/01/2026 09:30PM ET,LAL,22.12
,,,,,,,,,,,,,C,Wendell Carter Jr. (42949015),Wendell Carter Jr.,42949015,C/UTIL,5900,DET@ORL 05/01/2026 07:00PM ET,ORL,27.18
,,,,,,,,,,,,,SG/SF,Tari Eason (42949017),Tari Eason,42949017,SG/SF/F/G/UTIL,5800,LAL@HOU 05/01/2026 09:30PM ET,HOU,24.69
,,,,,,,,,,,,,PF/C,Collin Murray-Boyles (42949022),Collin Murray-Boyles,42949022,PF/C/F/UTIL,5700,CLE@TOR 05/01/2026 07:30PM ET,TOR,21.72
,,,,,,,,,,,,,C,Jarrett Allen (42949026),Jarrett Allen,42949026,C/UTIL,5500,CLE@TOR 05/01/2026 07:30PM ET,CLE,31.52
,,,,,,,,,,,,,PG,Immanuel Quickley (42949028),Immanuel Quickley,42949028,PG/G/UTIL,5400,CLE@TOR 05/01/2026 07:30PM ET,TOR,33.84
,,,,,,,,,,,,,C,Deandre Ayton (42949031),Deandre Ayton,42949031,C/UTIL,5300,LAL@HOU 05/01/2026 09:30PM ET,LAL,26.78
,,,,,,,,,,,,,PG/SG,Luke Kennard (42949033),Luke Kennard,42949033,PG/SG/G/UTIL,5200,LAL@HOU 05/01/2026 09:30PM ET,LAL,17.26
,,,,,,,,,,,,,SF/PF,Rui Hachimura (42949037),Rui Hachimura,42949037,SF/PF/F/UTIL,4900,LAL@HOU 05/01/2026 09:30PM ET,LAL,19.62
,,,,,,,,,,,,,PG/SG,Anthony Black (42949041),Anthony Black,42949041,PG/SG/G/UTIL,4700,DET@ORL 05/01/2026 07:00PM ET,ORL,28.50
,,,,,,,,,,,,,PG,Jamal Shead (42949045),Jamal Shead,42949045,PG/G/UTIL,4500,CLE@TOR 05/01/2026 07:30PM ET,TOR,19.17
,,,,,,,,,,,,,SG/SF,Max Strus (42949048),Max Strus,42949048,SG/SF/F/G/UTIL,4400,CLE@TOR 05/01/2026 07:30PM ET,CLE,21.76
,,,,,,,,,,,,,PG/SG,Ja'Kobe Walter (42949053),Ja'Kobe Walter,42949053,PG/SG/G/UTIL,4200,CLE@TOR 05/01/2026 07:30PM ET,TOR,15.63
,,,,,,,,,,,,,SG,Duncan Robinson (42949057),Duncan Robinson,42949057,SG/G/UTIL,4100,DET@ORL 05/01/2026 07:00PM ET,DET,21.22
,,,,,,,,,,,,,C,Jakob Poeltl (42949060),Jakob Poeltl,42949060,C/UTIL,4000,CLE@TOR 05/01/2026 07:30PM ET,TOR,24.79
,,,,,,,,,,,,,SG/SF,Jamal Cain (42949062),Jamal Cain,42949062,SG/SF/F/G/UTIL,4000,DET@ORL 05/01/2026 07:00PM ET,ORL,9.70
,,,,,,,,,,,,,PF/C,Isaiah Stewart (42949067),Isaiah Stewart,42949067,PF/C/F/UTIL,3800,DET@ORL 05/01/2026 07:00PM ET,DET,21.14
,,,,,,,,,,,,,C,Sandro Mamukelashvili (42949071),Sandro Mamukelashvili,42949071,C/UTIL,3600,CLE@TOR 05/01/2026 07:30PM ET,TOR,22.83
,,,,,,,,,,,,,SF,Dean Wade (42949073),Dean Wade,42949073,SF/F/UTIL,3600,CLE@TOR 05/01/2026 07:30PM ET,CLE,15.90
,,,,,,,,,,,,,SG,Sam Merrill (42949085),Sam Merrill,42949085,SG/G/UTIL,3500,CLE@TOR 05/01/2026 07:30PM ET,CLE,21.40
,,,,,,,,,,,,,SF/PF,Tristan da Silva (42949081),Tristan da Silva,42949081,SF/PF/F/UTIL,3500,DET@ORL 05/01/2026 07:00PM ET,ORL,18.70
,,,,,,,,,,,,,SG/SF,Jake LaRavia (42949076),Jake LaRavia,42949076,SG/SF/F/G/UTIL,3500,LAL@HOU 05/01/2026 09:30PM ET,LAL,18.69
,,,,,,,,,,,,,SG/SF,Caris LeVert (42949095),Caris LeVert,42949095,SG/SF/F/G/UTIL,3400,DET@ORL 05/01/2026 07:00PM ET,DET,16.05
,,,,,,,,,,,,,SG/SF,Josh Okogie (42949088),Josh Okogie,42949088,SG/SF/F/G/UTIL,3400,LAL@HOU 05/01/2026 09:30PM ET,HOU,11.26
,,,,,,,,,,,,,C,Jaxson Hayes (42949093),Jaxson Hayes,42949093,C/UTIL,3400,LAL@HOU 05/01/2026 09:30PM ET,LAL,15.92
,,,,,,,,,,,,,SF/PF,Jaylon Tyson (42949104),Jaylon Tyson,42949104,SF/PF/F/UTIL,3300,CLE@TOR 05/01/2026 07:30PM ET,CLE,24.95
,,,,,,,,,,,,,SF/PF,Jamison Battle (42949108),Jamison Battle,42949108,SF/PF/F/UTIL,3300,CLE@TOR 05/01/2026 07:30PM ET,TOR,6.18
,,,,,,,,,,,,,SF/PF,Javonte Green (42949100),Javonte Green,42949100,SF/PF/F/UTIL,3300,DET@ORL 05/01/2026 07:00PM ET,DET,14.78
,,,,,,,,,,,,,PG/SG,Aaron Holiday (42949112),Aaron Holiday,42949112,PG/SG/G/UTIL,3300,LAL@HOU 05/01/2026 09:30PM ET,HOU,9.29
,,,,,,,,,,,,,SG/SF,Gradey Dick (42949116),Gradey Dick,42949116,SG/SF/F/G/UTIL,3200,CLE@TOR 05/01/2026 07:30PM ET,TOR,10.62
,,,,,,,,,,,,,PG,Daniss Jenkins (42949121),Daniss Jenkins,42949121,PG/G/UTIL,3200,DET@ORL 05/01/2026 07:00PM ET,DET,19.38
,,,,,,,,,,,,,C,Goga Bitadze (42949124),Goga Bitadze,42949124,C/UTIL,3200,DET@ORL 05/01/2026 07:00PM ET,ORL,16.44
,,,,,,,,,,,,,PF,Dorian Finney-Smith (42949126),Dorian Finney-Smith,42949126,PF/F/UTIL,3200,LAL@HOU 05/01/2026 09:30PM ET,HOU,9.09
,,,,,,,,,,,,,PG,Dennis Schroder (42949129),Dennis Schroder,42949129,PG/G/UTIL,3100,CLE@TOR 05/01/2026 07:30PM ET,CLE,22.39
,,,,,,,,,,,,,PF,Jarred Vanderbilt (42949132),Jarred Vanderbilt,42949132,PF/F/UTIL,3100,LAL@HOU 05/01/2026 09:30PM ET,LAL,13.82
,,,,,,,,,,,,,SF/PF,Keon Ellis (42949140),Keon Ellis,42949140,SF/PF/F/UTIL,3000,CLE@TOR 05/01/2026 07:30PM ET,CLE,13.99
,,,,,,,,,,,,,PF,Nae'Qwan Tomlin (42949151),Nae'Qwan Tomlin,42949151,PF/F/UTIL,3000,CLE@TOR 05/01/2026 07:30PM ET,CLE,12.72
,,,,,,,,,,,,,PG,Craig Porter Jr. (42949154),Craig Porter Jr.,42949154,PG/G/UTIL,3000,CLE@TOR 05/01/2026 07:30PM ET,CLE,15.89
,,,,,,,,,,,,,C,Thomas Bryant (42949157),Thomas Bryant,42949157,C/UTIL,3000,CLE@TOR 05/01/2026 07:30PM ET,CLE,12.64
