Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
5125224140,NBA $17.5K And-One,189960868,$1,Jamal Murray (42763648),Desmond Bane (42763678),Julian Strawther (42763876),Paolo Banchero (42763654),Branden Carlson (42763912),Daniss Jenkins (42763806),Chet Holmgren (42763661),Devin Booker (42763657),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
5125224141,NBA $17.5K And-One,189960868,$1,Shai Gilgeous-Alexander (42763642),Jordan Goodwin (42763725),Cameron Johnson (42763734),Chet Holmgren (42763661),Nikola Jokic (42763640),Daniss Jenkins (42763806),Tristan da Silva (42763841),Kevin Huerter (42763793),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
5125224142,NBA $17.5K And-One,189960868,$1,Jamal Murray (42763648),Devin Booker (42763657),Ausar Thompson (42763695),Ronald Holland II (42763857),Nikola Jokic (42763640),Bones Hyland (42763761),Kyle Anderson (42763811),Branden Carlson (42763912),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
5125218343,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Jamal Murray (42763648),Duncan Robinson (42763758),Grayson Allen (42763738),Tobias Harris (42763689),Nikola Jokic (42763640),Jalen Suggs (42763675),Kevin Huerter (42763793),Nikola Topic (42763945),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
5125218344,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Shai Gilgeous-Alexander (42763642),Christian Braun (42763718),Julian Strawther (42763876),Julius Randle (42763664),Jalen Duren (42763667),Cade Cunningham (42763645),Kenrich Williams (42763881),Daniss Jenkins (42763806),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
5125218345,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Cade Cunningham (42763645),Devin Booker (42763657),Terrence Shannon Jr. (42763836),Cameron Johnson (42763734),Nikola Jokic (42763640),Ajay Mitchell (42763711),Caris LeVert (42763845),Branden Carlson (42763912),,,,,,,,,,
5125218346,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Jamal Murray (42763648),Luguentz Dort (42763769),Julian Strawther (42763876),Paolo Banchero (42763654),Isaiah Hartenstein (42763709),Daniss Jenkins (42763806),Chet Holmgren (42763661),Devin Booker (42763657),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5125218347,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Shai Gilgeous-Alexander (42763642),Isaiah Joe (42763790),Cameron Johnson (42763734),Chet Holmgren (42763661),Nikola Jokic (42763640),Daniss Jenkins (42763806),Tristan da Silva (42763841),Jordan Goodwin (42763725),,C,Nikola Jokic (42763640),Nikola Jokic,42763640,C/UTIL,12500,MIN@DEN 04/27/2026 10:30PM ET,DEN,64.88
5125218348,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Jamal Murray (42763648),Desmond Bane (42763678),Aaron Wiggins (42763827),Paolo Banchero (42763654),Nikola Jokic (42763640),Jared McCain (42763815),Kyle Anderson (42763811),Branden Carlson (42763912),,PG,Shai Gilgeous-Alexander (42763642),Shai Gilgeous-Alexander,42763642,PG/G/UTIL,10200,OKC@PHX 04/27/2026 09:30PM ET,OKC,50.77
5125218349,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Jamal Murray (42763648),Duncan Robinson (42763758),Cason Wallace (42763746),Chet Holmgren (42763661),Nikola Jokic (42763640),Bones Hyland (42763761),Royce O'Neale (42763751),Kevin Huerter (42763793),,PG,Cade Cunningham (42763645),Cade Cunningham,42763645,PG/G/UTIL,10000,DET@ORL 04/27/2026 08:00PM ET,DET,49.5
5125218350,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Shai Gilgeous-Alexander (42763642),Devin Booker (42763657),Ausar Thompson (42763695),Ronald Holland II (42763857),Jalen Duren (42763667),Jamal Murray (42763648),Julian Strawther (42763876),Nikola Topic (42763945),,PG,Jamal Murray (42763648),Jamal Murray,42763648,PG/G/UTIL,9000,MIN@DEN 04/27/2026 10:30PM ET,DEN,44.09
5125218351,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Cade Cunningham (42763645),Devin Booker (42763657),Grayson Allen (42763738),Cameron Johnson (42763734),Nikola Jokic (42763640),Daniss Jenkins (42763806),Kevin Huerter (42763793),Branden Carlson (42763912),,SG,Anthony Edwards (42763651),Anthony Edwards,42763651,SG/G/UTIL,8700,MIN@DEN 04/27/2026 10:30PM ET,MIN,43.75
5125218352,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Cade Cunningham (42763645),Desmond Bane (42763678),Javonte Green (42763783),Julius Randle (42763664),Nikola Jokic (42763640),Terrence Shannon Jr. (42763836),Julian Strawther (42763876),Branden Carlson (42763912),,PF,Paolo Banchero (42763654),Paolo Banchero,42763654,PF/F/UTIL,8500,DET@ORL 04/27/2026 08:00PM ET,ORL,42.8
5125218353,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Shai Gilgeous-Alexander (42763642),Luguentz Dort (42763769),Tristan da Silva (42763841),Chet Holmgren (42763661),Nikola Jokic (42763640),Daniss Jenkins (42763806),Jordan Goodwin (42763725),Tim Hardaway Jr. (42763772),,PG/SG,Devin Booker (42763657),Devin Booker,42763657,PG/SG/G/UTIL,8300,OKC@PHX 04/27/2026 09:30PM ET,PHX,40.28
5125218354,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Jamal Murray (42763648),Desmond Bane (42763678),Tristan da Silva (42763841),Paolo Banchero (42763654),Nikola Jokic (42763640),Daniss Jenkins (42763806),Kyle Anderson (42763811),Branden Carlson (42763912),,PF,Chet Holmgren (42763661),Chet Holmgren,42763661,PF/F/UTIL,7800,OKC@PHX 04/27/2026 09:30PM ET,OKC,35.19
5125218355,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Shai Gilgeous-Alexander (42763642),Christian Braun (42763718),Jaden McDaniels (42763686),Chet Holmgren (42763661),Kenrich Williams (42763881),Jamal Murray (42763648),Cameron Johnson (42763734),Duncan Robinson (42763758),,PF,Julius Randle (42763664),Julius Randle,42763664,PF/F/UTIL,7700,MIN@DEN 04/27/2026 10:30PM ET,MIN,39.08
5125218356,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Jamal Murray (42763648),Devin Booker (42763657),Ausar Thompson (42763695),Ronald Holland II (42763857),Nikola Jokic (42763640),Nikola Topic (42763945),Kevin Huerter (42763793),Bones Hyland (42763761),,C,Jalen Duren (42763667),Jalen Duren,42763667,C/UTIL,7500,DET@ORL 04/27/2026 08:00PM ET,DET,37.62
5125218357,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Cade Cunningham (42763645),Devin Booker (42763657),Grayson Allen (42763738),Paolo Banchero (42763654),Jalen Duren (42763667),Daniss Jenkins (42763806),Cason Wallace (42763746),Jared McCain (42763815),,SF,Jalen Williams (42763669),Jalen Williams,42763669,SF/F/UTIL,7400,OKC@PHX 04/27/2026 09:30PM ET,OKC,33.57
5125218358,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Cade Cunningham (42763645),Isaiah Joe (42763790),Ausar Thompson (42763695),Chet Holmgren (42763661),Branden Carlson (42763912),Jamal Murray (42763648),Julius Randle (42763664),Julian Strawther (42763876),,SG,Jalen Green (42763672),Jalen Green,42763672,SG/G/UTIL,7300,OKC@PHX 04/27/2026 09:30PM ET,PHX,30.96
5125218359,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Shai Gilgeous-Alexander (42763642),Luguentz Dort (42763769),Jordan Goodwin (42763725),Paolo Banchero (42763654),Jalen Duren (42763667),Devin Booker (42763657),Kevin Huerter (42763793),Terrence Shannon Jr. (42763836),,PG,Jalen Suggs (42763675),Jalen Suggs,42763675,PG/G/UTIL,7000,DET@ORL 04/27/2026 08:00PM ET,ORL,31.55
5125218360,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Jamal Murray (42763648),Desmond Bane (42763678),Julian Strawther (42763876),Paolo Banchero (42763654),Branden Carlson (42763912),Daniss Jenkins (42763806),Chet Holmgren (42763661),Devin Booker (42763657),,SG,Desmond Bane (42763678),Desmond Bane,42763678,SG/G/UTIL,6900,DET@ORL 04/27/2026 08:00PM ET,ORL,34.44
5125218361,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Shai Gilgeous-Alexander (42763642),Jordan Goodwin (42763725),Cameron Johnson (42763734),Chet Holmgren (42763661),Nikola Jokic (42763640),Daniss Jenkins (42763806),Tristan da Silva (42763841),Kevin Huerter (42763793),,SF,Franz Wagner (42763681),Franz Wagner,42763681,SF/F/UTIL,6700,DET@ORL 04/27/2026 08:00PM ET,ORL,34.07
5125218362,NBA $2K Quarter Jukebox [Just $0.25!],189967928,$0.25,Jamal Murray (42763648),Devin Booker (42763657),Ausar Thompson (42763695),Ronald Holland II (42763857),Nikola Jokic (42763640),Bones Hyland (42763761),Kyle Anderson (42763811),Branden Carlson (42763912),,C,Rudy Gobert (42763684),Rudy Gobert,42763684,C/UTIL,6500,MIN@DEN 04/27/2026 10:30PM ET,MIN,32.39
5125224112,NBA $20K mini-MAX [150 Max Entry],189967930,$0.50,Jamal Murray (42763648),Duncan Robinson (42763758),Grayson Allen (42763738),Tobias Harris (42763689),Nikola Jokic (42763640),Jalen Suggs (42763675),Kevin Huerter (42763793),Nikola Topic (42763945),,SF,Jaden McDaniels (42763686),Jaden McDaniels,42763686,SF/F/UTIL,6300,MIN@DEN 04/27/2026 10:30PM ET,MIN,28.36
5125224113,NBA $20K mini-MAX [150 Max Entry],189967930,$0.50,Shai Gilgeous-Alexander (42763642),Christian Braun (42763718),Julian Strawther (42763876),Julius Randle (42763664),Jalen Duren (42763667),Cade Cunningham (42763645),Kenrich Williams (42763881),Daniss Jenkins (42763806),,PF,Tobias Harris (42763689),Tobias Harris,42763689,PF/F/UTIL,6200,DET@ORL 04/27/2026 08:00PM ET,DET,26.83
5125224114,NBA $20K mini-MAX [150 Max Entry],189967930,$0.50,Cade Cunningham (42763645),Devin Booker (42763657),Terrence Shannon Jr. (42763836),Cameron Johnson (42763734),Nikola Jokic (42763640),Ajay Mitchell (42763711),Caris LeVert (42763845),Branden Carlson (42763912),,PF,Dillon Brooks (42763692),Dillon Brooks,42763692,PF/F/UTIL,6100,OKC@PHX 04/27/2026 09:30PM ET,PHX,30.4
5125224115,NBA $20K mini-MAX [150 Max Entry],189967930,$0.50,Jamal Murray (42763648),Luguentz Dort (42763769),Julian Strawther (42763876),Paolo Banchero (42763654),Isaiah Hartenstein (42763709),Daniss Jenkins (42763806),Chet Holmgren (42763661),Devin Booker (42763657),,SF,Ausar Thompson (42763695),Ausar Thompson,42763695,SF/F/UTIL,5900,DET@ORL 04/27/2026 08:00PM ET,DET,27.16
