Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
5111524911,MLB $625 Quarter Jukebox [Just $0.25!] (Afternoon),189576632,$0.25,Kodai Senga (42604583),Michael Wacha (42604595),Salvador Perez (42604571),Nathaniel Lowe (42604662),Michael Massey (42604700),Eugenio Suarez (42604578),Elly De La Cruz (42604768),Mike Trout (42604574),TJ Friedl (42604673),Spencer Steer (42604665),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
5111524912,MLB $625 Quarter Jukebox [Just $0.25!] (Afternoon),189576632,$0.25,Kodai Senga (42604583),Michael Wacha (42604595),Carter Jensen (42604784),Sal Stewart (42604805),Michael Massey (42604700),Eugenio Suarez (42604578),Elly De La Cruz (42604768),Jo Adell (42604683),TJ Friedl (42604673),Spencer Steer (42604665),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
5111524913,MLB $625 Quarter Jukebox [Just $0.25!] (Afternoon),189576632,$0.25,Kodai Senga (42604583),Michael Wacha (42604595),Salvador Perez (42604571),Sal Stewart (42604805),Jonathan India (42604643),Eugenio Suarez (42604578),Elly De La Cruz (42604768),TJ Friedl (42604673),Spencer Steer (42604665),Bryce Teodosio (42604755),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
5111524914,MLB $625 Quarter Jukebox [Just $0.25!] (Afternoon),189576632,$0.25,Kodai Senga (42604583),Michael Wacha (42604595),Salvador Perez (42604571),Vinnie Pasquantino (42604697),Michael Massey (42604700),Maikel Garcia (42604677),Bobby Witt Jr. (42604732),TJ Friedl (42604673),Spencer Steer (42604665),Andrew Benintendi (42604619),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
5111524915,MLB $625 Quarter Jukebox [Just $0.25!] (Afternoon),189576632,$0.25,Kodai Senga (42604583),Brandon Williamson (42604722),Carter Jensen (42604784),Nathaniel Lowe (42604662),Jonathan India (42604643),Eugenio Suarez (42604578),Elly De La Cruz (42604768),Mike Trout (42604574),TJ Friedl (42604673),Spencer Steer (42604665),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
5111524916,MLB $625 Quarter Jukebox [Just $0.25!] (Afternoon),189576632,$0.25,Kodai Senga (42604583),Brandon Williamson (42604722),Salvador Perez (42604571),Sal Stewart (42604805),Jonathan India (42604643),Eugenio Suarez (42604578),Francisco Lindor (42604586),Mike Trout (42604574),TJ Friedl (42604673),Spencer Steer (42604665),,,,,,,,,,
5111524917,MLB $625 Quarter Jukebox [Just $0.25!] (Afternoon),189576632,$0.25,Kodai Senga (42604583),Michael Wacha (42604595),Salvador Perez (42604571),Nathaniel Lowe (42604662),Michael Massey (42604700),Eugenio Suarez (42604578),Elly De La Cruz (42604768),Mike Trout (42604574),TJ Friedl (42604673),Spencer Steer (42604665),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5111524918,MLB $625 Quarter Jukebox [Just $0.25!] (Afternoon),189576632,$0.25,Kodai Senga (42604583),Michael Wacha (42604595),Carter Jensen (42604784),Sal Stewart (42604805),Michael Massey (42604700),Eugenio Suarez (42604578),Elly De La Cruz (42604768),Jo Adell (42604683),TJ Friedl (42604673),Spencer Steer (42604665),,SP,Chase Burns (42604778),Chase Burns,42604778,P,9700,LAA@CIN 04/11/2026 04:10PM ET,CIN,17.38
5111524919,MLB $625 Quarter Jukebox [Just $0.25!] (Afternoon),189576632,$0.25,Kodai Senga (42604583),Michael Wacha (42604595),Salvador Perez (42604571),Sal Stewart (42604805),Jonathan India (42604643),Eugenio Suarez (42604578),Elly De La Cruz (42604768),TJ Friedl (42604673),Spencer Steer (42604665),Bryce Teodosio (42604755),,SP,Nolan McLean (42604771),Nolan McLean,42604771,P,9300,ATH@NYM 04/11/2026 04:10PM ET,NYM,20.83
5111524920,MLB $625 Quarter Jukebox [Just $0.25!] (Afternoon),189576632,$0.25,Kodai Senga (42604583),Michael Wacha (42604595),Salvador Perez (42604571),Vinnie Pasquantino (42604697),Michael Massey (42604700),Maikel Garcia (42604677),Bobby Witt Jr. (42604732),TJ Friedl (42604673),Spencer Steer (42604665),Andrew Benintendi (42604619),,SP,Kodai Senga (42604583),Kodai Senga,42604583,P,9200,ATH@NYM 04/11/2026 04:10PM ET,NYM,20.92
