Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
5114072567,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,Tyler Herro (42638650),Jalen Green (42638656),Deni Avdija (42638633),Rasheer Fleming (42638777),Bam Adebayo (42638642),Kon Knueppel (42638665),Jordan Goodwin (42638734),Oso Ighodaro (42638708),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
5114072568,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,LaMelo Ball (42638644),Kon Knueppel (42638665),Brandon Miller (42638647),Andrew Wiggins (42638705),Bam Adebayo (42638642),Tyler Herro (42638650),Rasheer Fleming (42638777),Jordan Goodwin (42638734),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
5114072569,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,LaMelo Ball (42638644),Jalen Green (42638656),Deni Avdija (42638633),Andrew Wiggins (42638705),Moussa Diabate (42638696),Tyler Herro (42638650),Ryan Dunn (42638720),Oso Ighodaro (42638708),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
5114072570,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,Jrue Holiday (42638659),Devin Booker (42638638),Brandon Miller (42638647),Jerami Grant (42638685),Bam Adebayo (42638642),Davion Mitchell (42638729),Jordan Goodwin (42638734),Mark Williams (42638703),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
5114072571,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,LaMelo Ball (42638644),Devin Booker (42638638),Matisse Thybulle (42638739),Jerami Grant (42638685),Bam Adebayo (42638642),Tyler Herro (42638650),Rasheer Fleming (42638777),Pelle Larsson (42638715),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
5114072572,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,LaMelo Ball (42638644),Jalen Green (42638656),Deni Avdija (42638633),Andrew Wiggins (42638705),Bam Adebayo (42638642),Coby White (42638723),Ryan Dunn (42638720),Jordan Goodwin (42638734),,,,,,,,,,
5114072573,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,Davion Mitchell (42638729),Devin Booker (42638638),Deni Avdija (42638633),Andrew Wiggins (42638705),Donovan Clingan (42638654),Tyler Herro (42638650),Royce O'Neale (42638710),Oso Ighodaro (42638708),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5114072574,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,Tyler Herro (42638650),Kon Knueppel (42638665),Brandon Miller (42638647),Ryan Dunn (42638720),Bam Adebayo (42638642),Deni Avdija (42638633),Rasheer Fleming (42638777),Jordan Goodwin (42638734),,PG/SF,Deni Avdija (42638633),Deni Avdija,42638633,PG/SF/F/G/UTIL,9000,POR@PHX 04/14/2026 10:00PM ET,POR,44.08
5114072575,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,Scoot Henderson (42638688),Jalen Green (42638656),Deni Avdija (42638633),Andrew Wiggins (42638705),Donovan Clingan (42638654),Tyler Herro (42638650),Norman Powell (42638691),Oso Ighodaro (42638708),,PG/SG,Devin Booker (42638638),Devin Booker,42638638,PG/SG/G/UTIL,8900,POR@PHX 04/14/2026 10:00PM ET,PHX,40.73
5114072576,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,Jrue Holiday (42638659),Kon Knueppel (42638665),Brandon Miller (42638647),Jerami Grant (42638685),Bam Adebayo (42638642),Toumani Camara (42638674),Andrew Wiggins (42638705),Moussa Diabate (42638696),,C,Bam Adebayo (42638642),Bam Adebayo,42638642,C/UTIL,8700,MIA@CHA 04/14/2026 07:30PM ET,MIA,41.88
5114072577,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,LaMelo Ball (42638644),Jalen Green (42638656),Pelle Larsson (42638715),Jerami Grant (42638685),Bam Adebayo (42638642),Tyler Herro (42638650),Jordan Goodwin (42638734),Moussa Diabate (42638696),,PG,LaMelo Ball (42638644),LaMelo Ball,42638644,PG/G/UTIL,8500,MIA@CHA 04/14/2026 07:30PM ET,CHA,40.43
5114072578,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,LaMelo Ball (42638644),Jalen Green (42638656),Brandon Miller (42638647),Matisse Thybulle (42638739),Bam Adebayo (42638642),Tyler Herro (42638650),Rasheer Fleming (42638777),Jordan Goodwin (42638734),,SF,Brandon Miller (42638647),Brandon Miller,42638647,SF/F/UTIL,7500,MIA@CHA 04/14/2026 07:30PM ET,CHA,35.08
5114072579,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,Davion Mitchell (42638729),Devin Booker (42638638),Deni Avdija (42638633),Andrew Wiggins (42638705),Donovan Clingan (42638654),Tyler Herro (42638650),Ryan Dunn (42638720),Oso Ighodaro (42638708),,PG/SG,Tyler Herro (42638650),Tyler Herro,42638650,PG/SG/G/UTIL,7400,MIA@CHA 04/14/2026 07:30PM ET,MIA,35.11
5114072580,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,Devin Booker (42638638),Kon Knueppel (42638665),Rasheer Fleming (42638777),Miles Bridges (42638682),Bam Adebayo (42638642),Deni Avdija (42638633),Jaime Jaquez Jr. (42638698),Jordan Goodwin (42638734),,C,Donovan Clingan (42638654),Donovan Clingan,42638654,C/UTIL,7200,POR@PHX 04/14/2026 10:00PM ET,POR,34.94
5114072581,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,Scoot Henderson (42638688),Jalen Green (42638656),Deni Avdija (42638633),Royce O'Neale (42638710),Bam Adebayo (42638642),Tyler Herro (42638650),Ryan Dunn (42638720),Robert Williams (42638732),,SG,Jalen Green (42638656),Jalen Green,42638656,SG/G/UTIL,7100,POR@PHX 04/14/2026 10:00PM ET,PHX,29.16
5114072582,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,Jrue Holiday (42638659),Kon Knueppel (42638665),Brandon Miller (42638647),Jerami Grant (42638685),Bam Adebayo (42638642),Toumani Camara (42638674),Andrew Wiggins (42638705),Oso Ighodaro (42638708),,PG,Jrue Holiday (42638659),Jrue Holiday,42638659,PG/G/UTIL,6900,POR@PHX 04/14/2026 10:00PM ET,POR,33.65
5114072583,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,LaMelo Ball (42638644),Jalen Green (42638656),Brandon Miller (42638647),Andrew Wiggins (42638705),Donovan Clingan (42638654),Jrue Holiday (42638659),Pelle Larsson (42638715),Jordan Goodwin (42638734),,PF,Dillon Brooks (42638662),Dillon Brooks,42638662,PF/F/UTIL,6600,POR@PHX 04/14/2026 10:00PM ET,PHX,30
5114072584,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,LaMelo Ball (42638644),Jalen Green (42638656),Rasheer Fleming (42638777),Jerami Grant (42638685),Moussa Diabate (42638696),Tyler Herro (42638650),Andrew Wiggins (42638705),Deni Avdija (42638633),,SG,Kon Knueppel (42638665),Kon Knueppel,42638665,SG/G/UTIL,6300,MIA@CHA 04/14/2026 07:30PM ET,CHA,32.93
5114072585,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,LaMelo Ball (42638644),Devin Booker (42638638),Brandon Miller (42638647),Andrew Wiggins (42638705),Donovan Clingan (42638654),Davion Mitchell (42638729),Ryan Dunn (42638720),Oso Ighodaro (42638708),,PG,Collin Gillespie (42638668),Collin Gillespie,42638668,PG/G/UTIL,6000,POR@PHX 04/14/2026 10:00PM ET,PHX,28.32
5114072586,NBA $3K Quarter Jukebox [Just $0.25!],189632014,$0.25,LaMelo Ball (42638644),Devin Booker (42638638),Rasheer Fleming (42638777),Andrew Wiggins (42638705),Donovan Clingan (42638654),Deni Avdija (42638633),Jaime Jaquez Jr. (42638698),Jordan Goodwin (42638734),,SG,Shaedon Sharpe (42638671),Shaedon Sharpe,42638671,SG/G/UTIL,5800,POR@PHX 04/14/2026 10:00PM ET,POR,32.82
5114072390,NBA $250 Dime Time [Just $0.10!],189657339,$0.10,Tyler Herro (42638650),Jalen Green (42638656),Deni Avdija (42638633),Rasheer Fleming (42638777),Bam Adebayo (42638642),Kon Knueppel (42638665),Jordan Goodwin (42638734),Oso Ighodaro (42638708),,SG,Toumani Camara (42638674),Toumani Camara,42638674,SG/G/UTIL,5700,POR@PHX 04/14/2026 10:00PM ET,POR,27.17
5114072391,NBA $250 Dime Time [Just $0.10!],189657339,$0.10,LaMelo Ball (42638644),Kon Knueppel (42638665),Brandon Miller (42638647),Andrew Wiggins (42638705),Bam Adebayo (42638642),Tyler Herro (42638650),Rasheer Fleming (42638777),Jordan Goodwin (42638734),,SG/SF,Grayson Allen (42638677),Grayson Allen,42638677,SG/SF/F/G/UTIL,5600,POR@PHX 04/14/2026 10:00PM ET,PHX,29.98
5114072392,NBA $250 Dime Time [Just $0.10!],189657339,$0.10,LaMelo Ball (42638644),Jalen Green (42638656),Deni Avdija (42638633),Andrew Wiggins (42638705),Moussa Diabate (42638696),Tyler Herro (42638650),Ryan Dunn (42638720),Oso Ighodaro (42638708),,PF,Miles Bridges (42638682),Miles Bridges,42638682,PF/F/UTIL,5500,MIA@CHA 04/14/2026 07:30PM ET,CHA,31.66
