Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF
5103900338,MLB $2K Quarter Jukebox [Just $0.25!],189386187,$0.25 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Sal Stewart (42502469),Kody Clemens (42502537),Kevin McGonigle (42502459),Corey Seager (42502436),Giancarlo Stanton (42502452),Shohei Ohtani (42502403),Thomas Saggese (42502702)
5103900339,MLB $2K Quarter Jukebox [Just $0.25!],189386187,$0.25 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Shohei Ohtani (42502403),Kody Clemens (42502537),Sal Stewart (42502469),Corey Seager (42502436),George Springer (42502413),Joc Pederson (42502669),Dane Myers (42502679)
5103900340,MLB $2K Quarter Jukebox [Just $0.25!],189386187,$0.25 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Shohei Ohtani (42502403),Kody Clemens (42502537),Yandy Diaz (42502428),Kevin McGonigle (42502459),Fernando Tatis Jr. (42502414),Joc Pederson (42502669),Dane Myers (42502679)
5103900341,MLB $2K Quarter Jukebox [Just $0.25!],189386187,$0.25 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Sal Stewart (42502469),Kody Clemens (42502537),Kevin McGonigle (42502459),Luisangel Acuna (42502677),Aaron Judge (42502405),Dane Myers (42502679),Shohei Ohtani (42502403)
5103900342,MLB $2K Quarter Jukebox [Just $0.25!],189386187,$0.25 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Sal Stewart (42502469),Kody Clemens (42502537),Kevin McGonigle (42502459),Corey Seager (42502436),Aaron Judge (42502405),Andy Pages (42502474),Joc Pederson (42502669)
5103900343,MLB $2K Quarter Jukebox [Just $0.25!],189386187,$0.25 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Shohei Ohtani (42502403),Kody Clemens (42502537),Sal Stewart (42502469),Trevor Story (42502463),Aaron Judge (42502405),Joc Pederson (42502669),Thomas Saggese (42502702)
5103900344,MLB $2K Quarter Jukebox [Just $0.25!],189386187,$0.25 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Sal Stewart (42502469),Kody Clemens (42502537),Kevin McGonigle (42502459),Corey Seager (42502436),Giancarlo Stanton (42502452),Shohei Ohtani (42502403),Thomas Saggese (42502702)
5103900345,MLB $2K Quarter Jukebox [Just $0.25!],189386187,$0.25 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Shohei Ohtani (42502403),Kody Clemens (42502537),Sal Stewart (42502469),Corey Seager (42502436),George Springer (42502413),Joc Pederson (42502669),Dane Myers (42502679)
5103900346,MLB $2K Quarter Jukebox [Just $0.25!],189386187,$0.25 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Shohei Ohtani (42502403),Kody Clemens (42502537),Yandy Diaz (42502428),Kevin McGonigle (42502459),Fernando Tatis Jr. (42502414),Joc Pederson (42502669),Dane Myers (42502679)
5103900347,MLB $2K Quarter Jukebox [Just $0.25!],189386187,$0.25 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Sal Stewart (42502469),Kody Clemens (42502537),Kevin McGonigle (42502459),Luisangel Acuna (42502677),Aaron Judge (42502405),Dane Myers (42502679),Shohei Ohtani (42502403)
5103900414,MLB $500 Strike Three [5 Entry Max],189398962,$1 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Sal Stewart (42502469),Kody Clemens (42502537),Kevin McGonigle (42502459),Corey Seager (42502436),Aaron Judge (42502405),Andy Pages (42502474),Joc Pederson (42502669)
5103900415,MLB $500 Strike Three [5 Entry Max],189398962,$1 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Shohei Ohtani (42502403),Kody Clemens (42502537),Sal Stewart (42502469),Trevor Story (42502463),Aaron Judge (42502405),Joc Pederson (42502669),Thomas Saggese (42502702)
5103900416,MLB $500 Strike Three [5 Entry Max],189398962,$1 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Sal Stewart (42502469),Kody Clemens (42502537),Kevin McGonigle (42502459),Corey Seager (42502436),Giancarlo Stanton (42502452),Shohei Ohtani (42502403),Thomas Saggese (42502702)
5103909069,MLB $300 Dime Time [Just $0.10!],189399907,$0.10 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Shohei Ohtani (42502403),Kody Clemens (42502537),Sal Stewart (42502469),Corey Seager (42502436),George Springer (42502413),Joc Pederson (42502669),Dane Myers (42502679)
5103909070,MLB $300 Dime Time [Just $0.10!],189399907,$0.10 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Shohei Ohtani (42502403),Kody Clemens (42502537),Yandy Diaz (42502428),Kevin McGonigle (42502459),Fernando Tatis Jr. (42502414),Joc Pederson (42502669),Dane Myers (42502679)
5103909071,MLB $300 Dime Time [Just $0.10!],189399907,$0.10 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Sal Stewart (42502469),Kody Clemens (42502537),Kevin McGonigle (42502459),Luisangel Acuna (42502677),Aaron Judge (42502405),Dane Myers (42502679),Shohei Ohtani (42502403)
5103909072,MLB $300 Dime Time [Just $0.10!],189399907,$0.10 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Sal Stewart (42502469),Kody Clemens (42502537),Kevin McGonigle (42502459),Corey Seager (42502436),Aaron Judge (42502405),Andy Pages (42502474),Joc Pederson (42502669)
5103909073,MLB $300 Dime Time [Just $0.10!],189399907,$0.10 ,Dylan Cease (42502383),Cade Horton (42502391),Liam Hicks (42502545),Shohei Ohtani (42502403),Kody Clemens (42502537),Sal Stewart (42502469),Trevor Story (42502463),Aaron Judge (42502405),Joc Pederson (42502669),Thomas Saggese (42502702)
5103909074,MLB $300 Dime Time [Just $0.10!],189399907,$0.10 ,Framber Valdez (42502384),MacKenzie Gore (42502385),Will Smith (42502448),Shohei Ohtani (42502403),Luis Garcia Jr. (42502577),Sal Stewart (42502469),Kevin McGonigle (42502459),George Springer (42502413),Dylan Beavers (42502659),Joc Pederson (42502669)
5103909075,MLB $300 Dime Time [Just $0.10!],189399907,$0.10 ,Framber Valdez (42502384),MacKenzie Gore (42502385),Will Smith (42502448),Yandy Diaz (42502428),Xavier Edwards (42502468),Sal Stewart (42502469),Kevin McGonigle (42502459),Joc Pederson (42502669),Shohei Ohtani (42502403),Thomas Saggese (42502702)
5103909076,MLB $300 Dime Time [Just $0.10!],189399907,$0.10 ,Framber Valdez (42502384),MacKenzie Gore (42502385),Agustin Ramirez (42502455),Sal Stewart (42502469),Xavier Edwards (42502468),Kevin McGonigle (42502459),Corey Seager (42502436),Dylan Beavers (42502659),Joc Pederson (42502669),Shohei Ohtani (42502403)
5103909077,MLB $300 Dime Time [Just $0.10!],189399907,$0.10 ,Framber Valdez (42502384),MacKenzie Gore (42502385),Will Smith (42502448),Ben Rice (42502433),Xavier Edwards (42502468),Yandy Diaz (42502428),Corey Seager (42502436),George Springer (42502413),Joc Pederson (42502669),Dane Myers (42502679)
5103909078,MLB $300 Dime Time [Just $0.10!],189399907,$0.10 ,Framber Valdez (42502384),MacKenzie Gore (42502385),Agustin Ramirez (42502455),Jonathan Aranda (42502443),Xavier Edwards (42502468),Kevin McGonigle (42502459),Corey Seager (42502436),Aaron Judge (42502405),Joc Pederson (42502669),Dane Myers (42502679)
5103909079,MLB $300 Dime Time [Just $0.10!],189399907,$0.10 ,Framber Valdez (42502384),MacKenzie Gore (42502385),Will Smith (42502448),Ben Rice (42502433),Brandon Lowe (42502442),Yandy Diaz (42502428),Kevin McGonigle (42502459),Fernando Tatis Jr. (42502414),Joc Pederson (42502669),Dane Myers (42502679)
5103909080,MLB $300 Dime Time [Just $0.10!],189399907,$0.10 ,Framber Valdez (42502384),MacKenzie Gore (42502385),Will Smith (42502448),Ben Rice (42502433),Luis Garcia Jr. (42502577),Yandy Diaz (42502428),Corey Seager (42502436),Aaron Judge (42502405),Dylan Beavers (42502659),Dane Myers (42502679)
5103909081,MLB $300 Dime Time [Just $0.10!],189399907,$0.10 ,Framber Valdez (42502384),MacKenzie Gore (42502385),Agustin Ramirez (42502455),Ben Rice (42502433),Xavier Edwards (42502468),Yandy Diaz (42502428),Corey Seager (42502436),Fernando Tatis Jr. (42502414),Dylan Beavers (42502659),Dane Myers (42502679)
5103909082,MLB $300 Dime Time [Just $0.10!],189399907,$0.10 ,Framber Valdez (42502384),MacKenzie Gore (42502385),Will Smith (42502448),Ben Rice (42502433),Brandon Lowe (42502442),Kevin McGonigle (42502459),Corey Seager (42502436),George Springer (42502413),Dylan Beavers (42502659),Dane Myers (42502679)
5103909083,MLB $300 Dime Time [Just $0.10!],189399907,$0.10 ,Framber Valdez (42502384),MacKenzie Gore (42502385),Will Smith (42502448),Jonathan Aranda (42502443),Luis Garcia Jr. (42502577),Yandy Diaz (42502428),Corey Seager (42502436),George Springer (42502413),Trent Grisham (42502504),Dane Myers (42502679)
5103909084,MLB $300 Dime Time [Just $0.10!],189399907,$0.10 ,Framber Valdez (42502384),MacKenzie Gore (42502385),Will Smith (42502448),Josh Bell (42502518),Xavier Edwards (42502468),Yandy Diaz (42502428),Corey Seager (42502436),Fernando Tatis Jr. (42502414),Trent Grisham (42502504),Dane Myers (42502679)
5103909085,MLB $300 Dime Time [Just $0.10!],189399907,$0.10 ,Framber Valdez (42502384),MacKenzie Gore (42502385),Agustin Ramirez (42502455),Ben Rice (42502433),Luis Garcia Jr. (42502577),Yandy Diaz (42502428),Corey Seager (42502436),Fernando Tatis Jr. (42502414),Ramon Laureano (42502479),Thomas Saggese (42502702)
