Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Tarik Skubal (42557238),Nathan Eovaldi (42557249),Moises Ballesteros (42557494),Ben Rice (42557297),Jose Altuve (42557272),Isaac Paredes (42557643),CJ Abrams (42557309),Giancarlo Stanton (42557351),Joey Wiemer (42557414),Otto Kemp (42557628),49800,160.35,56.54
2,Cristopher Sanchez (42557240),Nathan Eovaldi (42557249),Moises Ballesteros (42557494),Ben Rice (42557297),Jose Altuve (42557272),Isaac Paredes (42557643),CJ Abrams (42557309),Cody Bellinger (42557328),Daylen Lile (42557358),Otto Kemp (42557628),49800,162.86,57.65
3,Tarik Skubal (42557238),Cristopher Sanchez (42557240),Yainer Diaz (42557346),Ben Rice (42557297),Jazz Chisholm Jr. (42557341),Isaac Paredes (42557643),CJ Abrams (42557309),Daylen Lile (42557358),Jared Oliva (42557639),Otto Kemp (42557628),49900,156.33,45.04
4,Tarik Skubal (42557238),Cristopher Sanchez (42557240),Austin Wells (42557506),Ben Rice (42557297),Brice Matthews (42557376),Isaac Paredes (42557643),CJ Abrams (42557309),Daylen Lile (42557358),Joey Wiemer (42557414),Thomas Saggese (42557605),49800,157.70,40.73
5,Tarik Skubal (42557238),Cristopher Sanchez (42557240),Austin Wells (42557506),Christian Walker (42557289),Jazz Chisholm Jr. (42557341),Isaac Paredes (42557643),CJ Abrams (42557309),James Wood (42557288),Eli White (42557598),Otto Kemp (42557628),50000,153.36,47.59
6,Tarik Skubal (42557238),Cristopher Sanchez (42557240),Moises Ballesteros (42557494),Ben Rice (42557297),Jazz Chisholm Jr. (42557341),Isaac Paredes (42557643),Jeremy Pena (42557279),Daylen Lile (42557358),Eli White (42557598),Otto Kemp (42557628),49800,151.36,49.88
7,Tarik Skubal (42557238),Nathan Eovaldi (42557249),Moises Ballesteros (42557494),Ben Rice (42557297),Jose Altuve (42557272),Isaac Paredes (42557643),CJ Abrams (42557309),Giancarlo Stanton (42557351),Joey Wiemer (42557414),Otto Kemp (42557628),49800,160.35,56.54
8,Cristopher Sanchez (42557240),Nathan Eovaldi (42557249),Moises Ballesteros (42557494),Ben Rice (42557297),Jose Altuve (42557272),Isaac Paredes (42557643),CJ Abrams (42557309),Cody Bellinger (42557328),Daylen Lile (42557358),Otto Kemp (42557628),49800,162.86,57.65
9,Tarik Skubal (42557238),Cristopher Sanchez (42557240),Yainer Diaz (42557346),Ben Rice (42557297),Jazz Chisholm Jr. (42557341),Isaac Paredes (42557643),CJ Abrams (42557309),Daylen Lile (42557358),Jared Oliva (42557639),Otto Kemp (42557628),49900,156.33,45.04
10,Tarik Skubal (42557238),Cristopher Sanchez (42557240),Austin Wells (42557506),Ben Rice (42557297),Brice Matthews (42557376),Isaac Paredes (42557643),CJ Abrams (42557309),Daylen Lile (42557358),Joey Wiemer (42557414),Thomas Saggese (42557605),49800,157.70,40.73
11,Tarik Skubal (42557238),Cristopher Sanchez (42557240),Austin Wells (42557506),Christian Walker (42557289),Jazz Chisholm Jr. (42557341),Isaac Paredes (42557643),CJ Abrams (42557309),James Wood (42557288),Eli White (42557598),Otto Kemp (42557628),50000,153.36,47.59
12,Tarik Skubal (42557238),Cristopher Sanchez (42557240),Moises Ballesteros (42557494),Ben Rice (42557297),Jazz Chisholm Jr. (42557341),Isaac Paredes (42557643),Jeremy Pena (42557279),Daylen Lile (42557358),Eli White (42557598),Otto Kemp (42557628),49800,151.36,49.88
13,Tarik Skubal (42557238),Garrett Crochet (42557239),Yainer Diaz (42557346),Ben Rice (42557297),Jose Altuve (42557272),Amed Rosario (42557592),CJ Abrams (42557309),Daylen Lile (42557358),Eli White (42557598),Otto Kemp (42557628),49600,148.29,45.16
14,Tarik Skubal (42557238),Garrett Crochet (42557239),Yainer Diaz (42557346),Ben Rice (42557297),Jose Altuve (42557272),Curtis Mead (42557574),CJ Abrams (42557309),Cody Bellinger (42557328),Jared Oliva (42557639),Otto Kemp (42557628),49900,150.23,40.96
15,Cristopher Sanchez (42557240),Nathan Eovaldi (42557249),Miguel Amaya (42557362),Christian Walker (42557289),Jazz Chisholm Jr. (42557341),Brady House (42557405),Jeremy Pena (42557279),Cody Bellinger (42557328),Daylen Lile (42557358),Eli White (42557598),49600,153.85,58.01
