Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Eury Perez (42565970),Bailey Ober (42565972),Shea Langeliers (42565979),Ben Rice (42565983),Jazz Chisholm Jr. (42565999),Ryan McMahon (42566072),Kevin McGonigle (42565996),Aaron Judge (42565975),Giancarlo Stanton (42566003),Carlos Cortes (42566032),50000,128.31,39.68
2,Framber Valdez (42565967),Bailey Ober (42565972),Shea Langeliers (42565979),Ben Rice (42565983),Jazz Chisholm Jr. (42565999),Ryan McMahon (42566072),Kevin McGonigle (42565996),Cody Bellinger (42565988),Giancarlo Stanton (42566003),Lawrence Butler (42566013),49600,125.48,30.78
3,Bailey Ober (42565972),Colin Rea (42565974),Shea Langeliers (42565979),Ben Rice (42565983),Jazz Chisholm Jr. (42565999),Ryan McMahon (42566072),Kevin McGonigle (42565996),Aaron Judge (42565975),Cody Bellinger (42565988),Jakob Marsee (42565994),49800,129.82,42.28
4,Eury Perez (42565970),Bailey Ober (42565972),Shea Langeliers (42565979),Ben Rice (42565983),Jazz Chisholm Jr. (42565999),Ryan McMahon (42566072),Kevin McGonigle (42565996),Brent Rooker (42565984),Cody Bellinger (42565988),Giancarlo Stanton (42566003),49600,124.81,34.54
5,Eury Perez (42565970),Bailey Ober (42565972),Shea Langeliers (42565979),Ben Rice (42565983),Jazz Chisholm Jr. (42565999),Ryan McMahon (42566072),Kevin McGonigle (42565996),Cody Bellinger (42565988),Giancarlo Stanton (42566003),Lawrence Butler (42566013),48400,124.23,35.07
6,Eury Perez (42565970),Bailey Ober (42565972),Shea Langeliers (42565979),Ben Rice (42565983),Jazz Chisholm Jr. (42565999),Ryan McMahon (42566072),Kevin McGonigle (42565996),Cody Bellinger (42565988),Tyler Soderstrom (42565990),Giancarlo Stanton (42566003),49200,124.61,33.67
7,Brady Singer (42565971),Bailey Ober (42565972),Shea Langeliers (42565979),Ben Rice (42565983),Jazz Chisholm Jr. (42565999),Ryan McMahon (42566072),Kevin McGonigle (42565996),Aaron Judge (42565975),Giancarlo Stanton (42566003),Carlos Cortes (42566032),49700,124.02,39.08
8,Framber Valdez (42565967),Bailey Ober (42565972),Shea Langeliers (42565979),Ben Rice (42565983),Jazz Chisholm Jr. (42565999),Ryan McMahon (42566072),Kevin McGonigle (42565996),Cody Bellinger (42565988),Trent Grisham (42566008),Carlos Cortes (42566032),49000,123.09,32.46
9,Bailey Ober (42565972),Colin Rea (42565974),Shea Langeliers (42565979),Ben Rice (42565983),Jazz Chisholm Jr. (42565999),Ryan McMahon (42566072),Kevin McGonigle (42565996),Aaron Judge (42565975),Cody Bellinger (42565988),Jakob Marsee (42565994),49800,129.82,42.28
10,Eury Perez (42565970),Bailey Ober (42565972),Shea Langeliers (42565979),Ben Rice (42565983),Jazz Chisholm Jr. (42565999),Ryan McMahon (42566072),Kevin McGonigle (42565996),Aaron Judge (42565975),Giancarlo Stanton (42566003),Carlos Cortes (42566032),50000,128.31,39.68
11,Eury Perez (42565970),Bailey Ober (42565972),Shea Langeliers (42565979),Ben Rice (42565983),Jazz Chisholm Jr. (42565999),Ryan McMahon (42566072),Kevin McGonigle (42565996),Brent Rooker (42565984),Cody Bellinger (42565988),Giancarlo Stanton (42566003),49600,124.81,34.54
12,Eury Perez (42565970),Bailey Ober (42565972),Shea Langeliers (42565979),Ben Rice (42565983),Jazz Chisholm Jr. (42565999),Ryan McMahon (42566072),Kevin McGonigle (42565996),Cody Bellinger (42565988),Giancarlo Stanton (42566003),Lawrence Butler (42566013),48400,124.23,35.07
