Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Brandon Woodruff (42614725),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Vaughn Grissom (42615150),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Ian Happ (42614825),Garrett Mitchell (42614866),Tyrone Taylor (42615063),50000,159.85,72.16
2,Brandon Woodruff (42614725),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Michael Massey (42615037),Alex Bregman (42614799),Joey Ortiz (42614941),Kyle Schwarber (42614747),Ian Happ (42614825),Tyrone Taylor (42615063),49600,153.62,69.17
3,Brandon Woodruff (42614725),Freddy Peralta (42614727),Moises Ballesteros (42614901),Vinnie Pasquantino (42614808),Vaughn Grissom (42615150),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Christian Yelich (42614753),Garrett Mitchell (42614866),Bryce Teodosio (42615075),49600,153.05,73.61
4,Brandon Woodruff (42614725),Andrew Abbott (42614741),William Contreras (42614769),Vinnie Pasquantino (42614808),Gleyber Torres (42614856),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Ian Happ (42614825),Garrett Mitchell (42614866),Bryce Teodosio (42615075),49300,157.03,73.19
5,Freddy Peralta (42614727),Cam Schlittler (42614728),William Contreras (42614769),Vinnie Pasquantino (42614808),Vaughn Grissom (42615150),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Jarren Duran (42614783),Ian Happ (42614825),Bryce Teodosio (42615075),50000,153.63,61.21
6,Freddy Peralta (42614727),Max Scherzer (42614732),William Contreras (42614769),Vinnie Pasquantino (42614808),Matt McLain (42614839),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Ian Happ (42614825),Garrett Mitchell (42614866),Bryce Teodosio (42615075),49700,152.34,67.48
7,Brandon Woodruff (42614725),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Vaughn Grissom (42615150),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Ian Happ (42614825),Garrett Mitchell (42614866),Tyrone Taylor (42615063),50000,159.85,72.16
8,Brandon Woodruff (42614725),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Michael Massey (42615037),Alex Bregman (42614799),Joey Ortiz (42614941),Kyle Schwarber (42614747),Ian Happ (42614825),Tyrone Taylor (42615063),49600,153.62,69.17
9,Brandon Woodruff (42614725),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Michael Massey (42615037),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Ian Happ (42614825),Kyle Isbel (42614905),Tanner Murray (42615053),49800,153.78,69.90
10,Brandon Woodruff (42614725),Andrew Abbott (42614741),William Contreras (42614769),Vinnie Pasquantino (42614808),Gleyber Torres (42614856),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Ian Happ (42614825),Garrett Mitchell (42614866),Bryce Teodosio (42615075),49300,157.03,73.19
11,Freddy Peralta (42614727),Noah Cameron (42614733),William Contreras (42614769),Vinnie Pasquantino (42614808),Brice Turang (42614761),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Ian Happ (42614825),Tyrone Taylor (42615063),Bryce Teodosio (42615075),49700,154.63,63.04
12,Tarik Skubal (42614724),Cam Schlittler (42614728),William Contreras (42614769),Vinnie Pasquantino (42614808),Vaughn Grissom (42615150),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Ian Happ (42614825),Tyrone Taylor (42615063),Bryce Teodosio (42615075),49200,147.54,57.27
13,Brandon Woodruff (42614725),Freddy Peralta (42614727),William Contreras (42614769),Jorge Polanco (42614838),Gleyber Torres (42614856),Maikel Garcia (42614776),Bobby Witt Jr. (42614748),Garrett Mitchell (42614866),Tyrone Taylor (42615063),Bryce Teodosio (42615075),49700,149.21,61.85
14,Brandon Woodruff (42614725),Freddy Peralta (42614727),Moises Ballesteros (42614901),Jorge Polanco (42614838),Brice Turang (42614761),Colt Keith (42614817),Bobby Witt Jr. (42614748),Ian Happ (42614825),Isaac Collins (42614949),Tyrone Taylor (42615063),49900,145.00,55.52
15,Tarik Skubal (42614724),Freddy Peralta (42614727),Moises Ballesteros (42614901),Jorge Polanco (42614838),Brice Turang (42614761),Maikel Garcia (42614776),Joey Ortiz (42614941),Seiya Suzuki (42614796),Kyle Isbel (42614905),Tyrone Taylor (42615063),49200,137.46,46.35
16,Tarik Skubal (42614724),Brandon Woodruff (42614725),Moises Ballesteros (42614901),Jorge Polanco (42614838),Brice Turang (42614761),Maikel Garcia (42614776),Joey Ortiz (42614941),Seiya Suzuki (42614796),Isaac Collins (42614949),Bryce Teodosio (42615075),49500,131.76,50.03
17,Brandon Woodruff (42614725),Andrew Abbott (42614741),Moises Ballesteros (42614901),Jorge Polanco (42614838),Brice Turang (42614761),Maikel Garcia (42614776),Joey Ortiz (42614941),Kyle Schwarber (42614747),Seiya Suzuki (42614796),Tyrone Taylor (42615063),49100,138.54,54.78
18,Tarik Skubal (42614724),Max Scherzer (42614732),Moises Ballesteros (42614901),Jorge Polanco (42614838),Brice Turang (42614761),Maikel Garcia (42614776),Joey Ortiz (42614941),Kyle Schwarber (42614747),Isaac Collins (42614949),Matt Shaw (42614955),50000,137.69,50.59
19,Tarik Skubal (42614724),Adrian Houser (42614744),Moises Ballesteros (42614901),Jorge Polanco (42614838),Brice Turang (42614761),Maikel Garcia (42614776),Joey Ortiz (42614941),Kyle Schwarber (42614747),Seiya Suzuki (42614796),Tanner Murray (42615053),49800,131.80,50.82
20,Cam Schlittler (42614728),Andrew Abbott (42614741),Salvador Perez (42614854),Jorge Polanco (42614838),Brice Turang (42614761),Maikel Garcia (42614776),Joey Ortiz (42614941),Kyle Schwarber (42614747),Seiya Suzuki (42614796),Matt Shaw (42614955),49000,143.92,48.29
