Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Brandon Woodruff (42614725),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Vaughn Grissom (42615150),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Ian Happ (42614825),Garrett Mitchell (42614866),Bryce Teodosio (42615075),49900,157.46,73.16
2,Brandon Woodruff (42614725),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Michael Massey (42615037),Alex Bregman (42614799),Joey Ortiz (42614941),Kyle Schwarber (42614747),Ian Happ (42614825),Bryce Teodosio (42615075),49500,151.23,70.17
3,Brandon Woodruff (42614725),Freddy Peralta (42614727),Moises Ballesteros (42614901),Vinnie Pasquantino (42614808),Vaughn Grissom (42615150),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Christian Yelich (42614753),Garrett Mitchell (42614866),Tyrone Taylor (42615063),49700,155.44,72.60
4,Brandon Woodruff (42614725),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Gleyber Torres (42614856),Alex Bregman (42614799),Joey Ortiz (42614941),Christian Yelich (42614753),Garrett Mitchell (42614866),Robert Hassell III (42615193),49800,155.94,70.78
5,Tarik Skubal (42614724),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Michael Massey (42615037),Alex Bregman (42614799),Joey Ortiz (42614941),Kyle Schwarber (42614747),Garrett Mitchell (42614866),Robert Hassell III (42615193),50000,146.42,63.70
6,Tarik Skubal (42614724),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Michael Massey (42615037),Alex Bregman (42614799),Joey Ortiz (42614941),Pete Crow-Armstrong (42614752),Ian Happ (42614825),Tyler Callihan (42615207),50000,142.57,60.98
7,Brandon Woodruff (42614725),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Vaughn Grissom (42615150),Alex Bregman (42614799),Bobby Witt Jr. (42614748),Ian Happ (42614825),Garrett Mitchell (42614866),Bryce Teodosio (42615075),49900,157.46,73.16
8,Brandon Woodruff (42614725),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Michael Massey (42615037),Alex Bregman (42614799),Joey Ortiz (42614941),Kyle Schwarber (42614747),Ian Happ (42614825),Bryce Teodosio (42615075),49500,151.23,70.17
9,Tarik Skubal (42614724),Brandon Woodruff (42614725),William Contreras (42614769),Vinnie Pasquantino (42614808),Gleyber Torres (42614856),Alex Bregman (42614799),Joey Ortiz (42614941),Ian Happ (42614825),Kyle Isbel (42614905),Bryce Teodosio (42615075),49600,148.70,62.56
10,Tarik Skubal (42614724),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Gleyber Torres (42614856),Alex Bregman (42614799),Joey Ortiz (42614941),Christian Yelich (42614753),Isaac Collins (42614949),Robert Hassell III (42615193),50000,150.59,67.13
11,Tarik Skubal (42614724),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Michael Massey (42615037),Alex Bregman (42614799),Joey Ortiz (42614941),Kyle Schwarber (42614747),Garrett Mitchell (42614866),Robert Hassell III (42615193),50000,146.42,63.70
12,Tarik Skubal (42614724),Freddy Peralta (42614727),William Contreras (42614769),Vinnie Pasquantino (42614808),Michael Massey (42615037),Alex Bregman (42614799),Joey Ortiz (42614941),Pete Crow-Armstrong (42614752),Ian Happ (42614825),Tyler Callihan (42615207),50000,142.57,60.98
13,Brandon Woodruff (42614725),Freddy Peralta (42614727),Moises Ballesteros (42614901),Jorge Polanco (42614838),Brice Turang (42614761),Bo Bichette (42614831),Bobby Witt Jr. (42614748),Ian Happ (42614825),Kyle Isbel (42614905),Bryce Teodosio (42615075),50000,147.80,57.93
14,Tarik Skubal (42614724),Brandon Woodruff (42614725),William Contreras (42614769),Jorge Polanco (42614838),Vaughn Grissom (42615150),Maikel Garcia (42614776),Bobby Witt Jr. (42614748),Garrett Mitchell (42614866),Tyrone Taylor (42615063),Bryce Teodosio (42615075),49900,143.02,59.24
15,Tarik Skubal (42614724),Brandon Woodruff (42614725),Salvador Perez (42614854),Jorge Polanco (42614838),Brice Turang (42614761),Matt Shaw (42614955),Bobby Witt Jr. (42614748),Ian Happ (42614825),Tyrone Taylor (42615063),Bryce Teodosio (42615075),50000,141.78,56.39
16,Tarik Skubal (42614724),Brandon Woodruff (42614725),Moises Ballesteros (42614901),Jorge Polanco (42614838),Brice Turang (42614761),Maikel Garcia (42614776),Joey Ortiz (42614941),Ian Happ (42614825),Kyle Isbel (42614905),Bryce Teodosio (42615075),49500,138.01,47.60
17,Tarik Skubal (42614724),Brandon Woodruff (42614725),Salvador Perez (42614854),Jorge Polanco (42614838),Brice Turang (42614761),Colt Keith (42614817),Joey Ortiz (42614941),Ian Happ (42614825),Garrett Mitchell (42614866),Robert Hassell III (42615193),49500,135.96,47.75
18,Tarik Skubal (42614724),Andrew Abbott (42614741),Moises Ballesteros (42614901),Jorge Polanco (42614838),Brice Turang (42614761),Bo Bichette (42614831),Bobby Witt Jr. (42614748),Ian Happ (42614825),Garrett Mitchell (42614866),Isaac Collins (42614949),49900,150.34,58.19
