Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Ryan O'Hearn (42625109),Brandon Lowe (42625116),Blaze Alexander (42625257),Jose Caballero (42625280),Cody Bellinger (42625127),Adolis Garcia (42625205),Dylan Beavers (42625288),50000,156.18,50.13
2,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Pete Alonso (42625115),Brandon Lowe (42625116),Austin Riley (42625165),Jose Caballero (42625280),Giancarlo Stanton (42625139),Adolis Garcia (42625205),Michael Helman (42625407),50000,148.80,50.63
3,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Matt Olson (42625124),Brandon Lowe (42625116),Blaze Alexander (42625257),Konnor Griffin (42625216),Cody Bellinger (42625127),Colton Cowser (42625200),Randal Grichuk (42625320),49900,148.81,48.43
4,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Ryan O'Hearn (42625109),Brandon Lowe (42625116),Austin Riley (42625165),Miguel Rojas (42625278),Giancarlo Stanton (42625139),Dylan Beavers (42625288),Randal Grichuk (42625320),49800,149.98,48.10
5,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Ryan O'Hearn (42625109),Brandon Lowe (42625116),Caleb Durbin (42625317),Mauricio Dubon (42625195),Taylor Ward (42625134),Adolis Garcia (42625205),Michael Helman (42625407),49500,150.99,47.31
6,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Ryan O'Hearn (42625109),Brandon Lowe (42625116),Blaze Alexander (42625257),Mauricio Dubon (42625195),Giancarlo Stanton (42625139),Colton Cowser (42625200),Alejandro Osuna (42625408),50000,147.06,45.08
7,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Ryan O'Hearn (42625109),Brandon Lowe (42625116),Blaze Alexander (42625257),Jose Caballero (42625280),Cody Bellinger (42625127),Adolis Garcia (42625205),Dylan Beavers (42625288),50000,156.18,50.13
8,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Bryce Harper (42625103),Brandon Lowe (42625116),Austin Riley (42625165),Jose Caballero (42625280),Taylor Ward (42625134),Dylan Beavers (42625288),Michael Helman (42625407),49800,147.08,44.56
9,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Pete Alonso (42625115),Brandon Lowe (42625116),Austin Riley (42625165),Konnor Griffin (42625216),Cody Bellinger (42625127),Randal Grichuk (42625320),Michael Helman (42625407),49800,142.56,49.03
10,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Ryan O'Hearn (42625109),Brandon Lowe (42625116),Austin Riley (42625165),Miguel Rojas (42625278),Giancarlo Stanton (42625139),Dylan Beavers (42625288),Randal Grichuk (42625320),49800,149.98,48.10
11,Garrett Crochet (42625066),Nathan Eovaldi (42625073),Drake Baldwin (42625117),Ryan O'Hearn (42625109),Brandon Lowe (42625116),Austin Riley (42625165),Jose Caballero (42625280),Cody Bellinger (42625127),Taylor Ward (42625134),Alejandro Osuna (42625408),49400,150.89,56.19
12,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Ryan O'Hearn (42625109),Brandon Lowe (42625116),Blaze Alexander (42625257),Mauricio Dubon (42625195),Taylor Ward (42625134),Michael Helman (42625407),Alejandro Osuna (42625408),48800,141.24,42.46
