Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Matt Olson (42625124),Brandon Lowe (42625116),Blaze Alexander (42625257),Jose Caballero (42625280),Taylor Ward (42625134),Adolis Garcia (42625205),Randal Grichuk (42625320),49200,152.11,48.80
2,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Matt Olson (42625124),Brandon Lowe (42625116),Blaze Alexander (42625257),Miguel Rojas (42625278),Cody Bellinger (42625127),Giancarlo Stanton (42625139),Michael Helman (42625407),50000,151.04,49.01
3,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Pete Alonso (42625115),Brandon Lowe (42625116),Caleb Durbin (42625317),Mauricio Dubon (42625195),Cody Bellinger (42625127),Adolis Garcia (42625205),Randal Grichuk (42625320),49800,150.60,49.53
4,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Pete Alonso (42625115),Brandon Lowe (42625116),Austin Riley (42625165),Jose Caballero (42625280),Giancarlo Stanton (42625139),Adolis Garcia (42625205),Michael Helman (42625407),50000,148.80,50.63
5,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Ryan O'Hearn (42625109),Brandon Lowe (42625116),Blaze Alexander (42625257),Mauricio Dubon (42625195),Giancarlo Stanton (42625139),Adolis Garcia (42625205),Alejandro Osuna (42625408),49900,150.43,46.82
6,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Bryce Harper (42625103),Brandon Lowe (42625116),Blaze Alexander (42625257),Mauricio Dubon (42625195),Taylor Ward (42625134),Jake Mangum (42625230),Michael Helman (42625407),50000,144.66,42.25
7,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Matt Olson (42625124),Brandon Lowe (42625116),Blaze Alexander (42625257),Jose Caballero (42625280),Taylor Ward (42625134),Adolis Garcia (42625205),Randal Grichuk (42625320),49200,152.11,48.80
8,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Matt Olson (42625124),Brandon Lowe (42625116),Blaze Alexander (42625257),Miguel Rojas (42625278),Cody Bellinger (42625127),Giancarlo Stanton (42625139),Michael Helman (42625407),50000,151.04,49.01
9,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Bryce Harper (42625103),Brandon Lowe (42625116),Blaze Alexander (42625257),Jose Caballero (42625280),Cody Bellinger (42625127),Brandon Marsh (42625188),Alejandro Osuna (42625408),49800,142.67,41.26
10,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Pete Alonso (42625115),Brandon Lowe (42625116),Blaze Alexander (42625257),Jose Caballero (42625280),Giancarlo Stanton (42625139),Angel Martinez (42625199),David Fry (42625272),49900,142.41,41.65
11,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Pete Alonso (42625115),Brandon Lowe (42625116),Blaze Alexander (42625257),Mauricio Dubon (42625195),Cody Bellinger (42625127),Adolis Garcia (42625205),Ryan Kreidler (42625353),50000,147.11,42.16
12,Garrett Crochet (42625066),Cristopher Sanchez (42625067),Drake Baldwin (42625117),Bryce Harper (42625103),Brandon Lowe (42625116),Blaze Alexander (42625257),Mauricio Dubon (42625195),Taylor Ward (42625134),Jake Mangum (42625230),Michael Helman (42625407),50000,144.66,42.25
13,Paul Skenes (42625068),Nathan Eovaldi (42625073),Will Smith (42625141),Pete Alonso (42625115),Blaze Alexander (42625257),Austin Riley (42625165),Trea Turner (42625101),Aaron Judge (42625086),Adolis Garcia (42625205),Randal Grichuk (42625320),49900,133.71,59.10
14,Paul Skenes (42625068),Nathan Eovaldi (42625073),Will Smith (42625141),Matt Olson (42625124),Bryson Stott (42625193),Blaze Alexander (42625257),Trea Turner (42625101),Aaron Judge (42625086),Giancarlo Stanton (42625139),Michael Helman (42625407),49900,135.12,56.66
15,Paul Skenes (42625068),Nathan Eovaldi (42625073),Will Smith (42625141),Bryce Harper (42625103),Bryson Stott (42625193),Austin Riley (42625165),Mauricio Dubon (42625195),Aaron Judge (42625086),Taylor Ward (42625134),Randal Grichuk (42625320),49900,138.25,55.60
