Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Bubba Chandler (42926492),Brandon Williamson (42926496),William Contreras (42926544),Sal Stewart (42926512),Brandon Lowe (42926515),Kyle Karros (42926646),Elly De La Cruz (42926502),Bryan Reynolds (42926529),JJ Bleday (42926562),Lourdes Gurriel Jr. (42926589),49100,121.40,27.19
2,Bubba Chandler (42926492),Brandon Williamson (42926496),William Contreras (42926544),Sal Stewart (42926512),Matt McLain (42926595),Nolan Arenado (42926583),Elly De La Cruz (42926502),Juan Soto (42926506),Mickey Moniak (42926551),JJ Bleday (42926562),50000,122.37,22.69
3,Bubba Chandler (42926492),Brandon Williamson (42926496),Joey Bart (42926634),Sal Stewart (42926512),Brandon Lowe (42926515),Nolan Arenado (42926583),Elly De La Cruz (42926502),Corbin Carroll (42926504),JJ Bleday (42926562),Jordan Beck (42926612),49800,120.52,25.82
4,Tarik Skubal (42926486),Brandon Williamson (42926496),William Contreras (42926544),Sal Stewart (42926512),Brandon Lowe (42926515),Ke'Bryan Hayes (42926691),Elly De La Cruz (42926502),JJ Bleday (42926562),Jordan Beck (42926612),Spencer Steer (42926624),50000,122.77,21.69
5,Tarik Skubal (42926486),Brandon Williamson (42926496),Gary Sanchez (42926585),Sal Stewart (42926512),Matt McLain (42926595),Nolan Arenado (42926583),Elly De La Cruz (42926502),Bryan Reynolds (42926529),JJ Bleday (42926562),Jordan Beck (42926612),50000,125.69,20.38
6,Tarik Skubal (42926486),Bubba Chandler (42926492),William Contreras (42926544),Sal Stewart (42926512),Matt McLain (42926595),Ronny Mauricio (42926699),Elly De La Cruz (42926502),JJ Bleday (42926562),Lourdes Gurriel Jr. (42926589),Jordan Beck (42926612),49100,119.44,20.62
7,JR Ritchie (42926489),Brandon Williamson (42926496),Gary Sanchez (42926585),Sal Stewart (42926512),Brandon Lowe (42926515),Nolan Arenado (42926583),Elly De La Cruz (42926502),Mickey Moniak (42926551),JJ Bleday (42926562),Lourdes Gurriel Jr. (42926589),49600,120.23,7.35
8,Bubba Chandler (42926492),Brandon Williamson (42926496),William Contreras (42926544),Sal Stewart (42926512),Brandon Lowe (42926515),Ronny Mauricio (42926699),Elly De La Cruz (42926502),Bryan Reynolds (42926529),Mickey Moniak (42926551),JJ Bleday (42926562),49300,120.69,21.65
9,Bubba Chandler (42926492),Brandon Williamson (42926496),Joey Bart (42926634),Sal Stewart (42926512),Brandon Lowe (42926515),Nolan Arenado (42926583),Elly De La Cruz (42926502),Juan Soto (42926506),JJ Bleday (42926562),Jordan Beck (42926612),49600,118.16,26.03
10,Tarik Skubal (42926486),Brandon Williamson (42926496),William Contreras (42926544),Sal Stewart (42926512),Brandon Lowe (42926515),Kyle Karros (42926646),Elly De La Cruz (42926502),JJ Bleday (42926562),Spencer Steer (42926624),MJ Melendez (42926647),49900,122.49,18.22
11,Tarik Skubal (42926486),Bubba Chandler (42926492),Joey Bart (42926634),Sal Stewart (42926512),Matt McLain (42926595),Nolan Arenado (42926583),Elly De La Cruz (42926502),Mickey Moniak (42926551),JJ Bleday (42926562),Spencer Steer (42926624),49700,122.31,16.36
12,Tarik Skubal (42926486),Brandon Williamson (42926496),William Contreras (42926544),Sal Stewart (42926512),Matt McLain (42926595),Nolan Arenado (42926583),Elly De La Cruz (42926502),JJ Bleday (42926562),Lourdes Gurriel Jr. (42926589),Jordan Beck (42926612),49700,122.81,23.02
