Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
1,Zack Wheeler (42944644),Grant Holmes (42944656),Will Smith (42944768),Willson Contreras (42944748),Ozzie Albies (42944696),Yoan Moncada (42944820),Mauricio Dubon (42944775),Aaron Judge (42944666),Roman Anthony (42944698),Yohendrick Pinango (42944968),49900,163.04,71.89
2,Zack Wheeler (42944644),Grant Holmes (42944656),Will Smith (42944768),Willson Contreras (42944748),Ozzie Albies (42944696),Austin Riley (42944703),Trevor Story (42944807),Aaron Judge (42944666),Julio Rodriguez (42944744),Petey Halpin (42945113),50000,159.65,68.99
3,Zack Wheeler (42944644),Grant Holmes (42944656),Will Smith (42944768),Willson Contreras (42944748),Ozzie Albies (42944696),Max Muncy (42944726),Jose Caballero (42944805),Aaron Judge (42944666),Wilyer Abreu (42944734),Jerar Encarnacion (42944975),49900,157.11,60.72
4,Zack Wheeler (42944644),Grant Holmes (42944656),Cal Raleigh (42944688),Willson Contreras (42944748),Ozzie Albies (42944696),Austin Riley (42944703),Jose Caballero (42944805),Aaron Judge (42944666),James Outman (42944963),Yohendrick Pinango (42944968),49800,152.24,61.57
5,Zack Wheeler (42944644),Grant Holmes (42944656),Will Smith (42944768),Ben Rice (42944679),Ozzie Albies (42944696),Max Muncy (42944726),Mauricio Dubon (42944775),Aaron Judge (42944666),James Outman (42944963),Petey Halpin (42945113),49700,149.60,59.43
6,Zack Wheeler (42944644),Will Warren (42944647),Will Smith (42944768),Willson Contreras (42944748),Ozzie Albies (42944696),Max Muncy (42944726),Mauricio Dubon (42944775),Roman Anthony (42944698),Trent Grisham (42944779),Petey Halpin (42945113),49600,152.18,59.78
7,Zack Wheeler (42944644),Grant Holmes (42944656),Will Smith (42944768),Willson Contreras (42944748),Ozzie Albies (42944696),Yoan Moncada (42944820),Mauricio Dubon (42944775),Aaron Judge (42944666),Andy Pages (42944710),Yohendrick Pinango (42944968),49600,162.43,68.56
8,Zack Wheeler (42944644),Will Warren (42944647),Cal Raleigh (42944688),Willson Contreras (42944748),Ozzie Albies (42944696),Yoan Moncada (42944820),Mauricio Dubon (42944775),Aaron Judge (42944666),Petey Halpin (42945113),Jerar Encarnacion (42944975),50000,143.19,52.64
9,Will Warren (42944647),Grant Holmes (42944656),Will Smith (42944768),Willson Contreras (42944748),Ozzie Albies (42944696),Max Muncy (42944726),Mauricio Dubon (42944775),Aaron Judge (42944666),Wilyer Abreu (42944734),Jerar Encarnacion (42944975),49600,159.30,60.70
10,Zack Wheeler (42944644),Grant Holmes (42944656),Will Smith (42944768),Willson Contreras (42944748),Ozzie Albies (42944696),Austin Riley (42944703),Jose Caballero (42944805),Aaron Judge (42944666),Randy Arozarena (42944754),Petey Halpin (42945113),50000,158.61,64.97
11,Will Warren (42944647),Grant Holmes (42944656),Will Smith (42944768),Ben Rice (42944679),Ozzie Albies (42944696),Yoan Moncada (42944820),Mauricio Dubon (42944775),Aaron Judge (42944666),Julio Rodriguez (42944744),Petey Halpin (42945113),49900,153.47,59.24
12,Zack Wheeler (42944644),Will Warren (42944647),Will Smith (42944768),Ben Rice (42944679),Ozzie Albies (42944696),Max Muncy (42944726),Mauricio Dubon (42944775),Roman Anthony (42944698),James Outman (42944963),Yohendrick Pinango (42944968),50000,150.16,57.20
13,Zack Wheeler (42944644),Grant Holmes (42944656),Will Smith (42944768),Willson Contreras (42944748),Jazz Chisholm Jr. (42944742),Austin Riley (42944703),Mauricio Dubon (42944775),Aaron Judge (42944666),Teoscar Hernandez (42944729),Yohendrick Pinango (42944968),50000,157.40,68.23
14,Zack Wheeler (42944644),Grant Holmes (42944656),Will Smith (42944768),Matt Olson (42944677),Jazz Chisholm Jr. (42944742),Max Muncy (42944726),Mauricio Dubon (42944775),Aaron Judge (42944666),Ceddanne Rafaela (42944831),Petey Halpin (42945113),49900,157.90,67.64
15,Will Warren (42944647),Grant Holmes (42944656),Drake Baldwin (42944676),Willson Contreras (42944748),Jazz Chisholm Jr. (42944742),Max Muncy (42944726),Mauricio Dubon (42944775),Mike Trout (42944672),Jorge Soler (42944774),Yohendrick Pinango (42944968),49900,156.82,54.30
16,Will Warren (42944647),Cole Ragans (42944650),Cal Raleigh (42944688),Willson Contreras (42944748),Jazz Chisholm Jr. (42944742),Austin Riley (42944703),Mauricio Dubon (42944775),Andy Pages (42944710),Teoscar Hernandez (42944729),Yohendrick Pinango (42944968),50000,146.93,56.98
17,Will Warren (42944647),Cole Ragans (42944650),Cal Raleigh (42944688),Matt Olson (42944677),Jazz Chisholm Jr. (42944742),Austin Riley (42944703),Jose Caballero (42944805),Roman Anthony (42944698),James Outman (42944963),Yohendrick Pinango (42944968),49600,142.27,56.13
18,Will Warren (42944647),Cole Ragans (42944650),Drake Baldwin (42944676),Freddie Freeman (42944690),Jazz Chisholm Jr. (42944742),Austin Riley (42944703),Jose Caballero (42944805),Andy Pages (42944710),Yohendrick Pinango (42944968),Petey Halpin (42945113),49100,143.29,54.68
19,Will Warren (42944647),Cole Ragans (42944650),Cal Raleigh (42944688),Ben Rice (42944679),Marcelo Mayer (42944903),Austin Riley (42944703),Jose Caballero (42944805),Ronald Acuna Jr. (42944674),Josh Lowe (42944861),Yohendrick Pinango (42944968),49800,139.89,51.23
20,Will Warren (42944647),Cole Ragans (42944650),Cal Raleigh (42944688),Ben Rice (42944679),Jazz Chisholm Jr. (42944742),Austin Riley (42944703),Trevor Story (42944807),Roman Anthony (42944698),Josh Lowe (42944861),Petey Halpin (42945113),49900,135.50,52.36
