Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
5102627321,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Tre Jones (42481689),Collin Sexton (42481749),Matas Buzelis (42481571),Jayson Tatum (42481518),Bam Adebayo (42481516),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899)
5102627322,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Josh Giddey (42481492),Kam Jones (42482083),Josh Hart (42481598),Nikola Jovic (42482129),Bam Adebayo (42481516),Collin Sexton (42481749),Scottie Barnes (42481503),Sandro Mamukelashvili (42481899)
5102627323,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Jamal Shead (42481767),Tyler Herro (42481539),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899),Collin Sexton (42481749),Jayson Tatum (42481518),Scottie Barnes (42481503)
5102627324,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Tre Jones (42481689),Collin Sexton (42481749),Matas Buzelis (42481571),Jayson Tatum (42481518),Bam Adebayo (42481516),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899)
5102627325,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Josh Giddey (42481492),Kam Jones (42482083),Josh Hart (42481598),Nikola Jovic (42482129),Bam Adebayo (42481516),Collin Sexton (42481749),Scottie Barnes (42481503),Sandro Mamukelashvili (42481899)
5102627326,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Jamal Shead (42481767),Tyler Herro (42481539),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899),Collin Sexton (42481749),Jayson Tatum (42481518),Scottie Barnes (42481503)
5102627327,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Tre Jones (42481689),Collin Sexton (42481749),Matas Buzelis (42481571),Jayson Tatum (42481518),Bam Adebayo (42481516),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899)
5102627328,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Josh Giddey (42481492),Kam Jones (42482083),Josh Hart (42481598),Nikola Jovic (42482129),Bam Adebayo (42481516),Collin Sexton (42481749),Scottie Barnes (42481503),Sandro Mamukelashvili (42481899)
5102627329,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Jamal Shead (42481767),Tyler Herro (42481539),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899),Collin Sexton (42481749),Jayson Tatum (42481518),Scottie Barnes (42481503)
5102627330,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Tre Jones (42481689),Collin Sexton (42481749),Matas Buzelis (42481571),Jayson Tatum (42481518),Bam Adebayo (42481516),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899)
5102627331,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Josh Giddey (42481492),Kam Jones (42482083),Josh Hart (42481598),Nikola Jovic (42482129),Bam Adebayo (42481516),Collin Sexton (42481749),Scottie Barnes (42481503),Sandro Mamukelashvili (42481899)
5102627332,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Jamal Shead (42481767),Tyler Herro (42481539),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899),Collin Sexton (42481749),Jayson Tatum (42481518),Scottie Barnes (42481503)
5102627333,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Tre Jones (42481689),Collin Sexton (42481749),Matas Buzelis (42481571),Jayson Tatum (42481518),Bam Adebayo (42481516),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899)
5102627334,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Josh Giddey (42481492),Kam Jones (42482083),Josh Hart (42481598),Nikola Jovic (42482129),Bam Adebayo (42481516),Collin Sexton (42481749),Scottie Barnes (42481503),Sandro Mamukelashvili (42481899)
5102627335,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Jamal Shead (42481767),Tyler Herro (42481539),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899),Collin Sexton (42481749),Jayson Tatum (42481518),Scottie Barnes (42481503)
5102627336,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Tre Jones (42481689),Collin Sexton (42481749),Matas Buzelis (42481571),Jayson Tatum (42481518),Bam Adebayo (42481516),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899)
5102627337,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Josh Giddey (42481492),Kam Jones (42482083),Josh Hart (42481598),Nikola Jovic (42482129),Bam Adebayo (42481516),Collin Sexton (42481749),Scottie Barnes (42481503),Sandro Mamukelashvili (42481899)
5102627338,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Jamal Shead (42481767),Tyler Herro (42481539),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899),Collin Sexton (42481749),Jayson Tatum (42481518),Scottie Barnes (42481503)
5102627339,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Tre Jones (42481689),Collin Sexton (42481749),Matas Buzelis (42481571),Jayson Tatum (42481518),Bam Adebayo (42481516),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899)
