Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Jeremiah Fears (42526907),Ayo Dosunmu (42526829),Tristan da Silva (42526941),LeBron James (42526777),Jaxson Hayes (42526948),Brice Sensabaugh (42526848),Paolo Banchero (42526780),Jamal Cain (42527043),49300,254.26,46.31
2,Jalen Suggs (42526845),Desmond Bane (42526820),Ayo Dosunmu (42526829),Zion Williamson (42526799),Jaxson Hayes (42526948),Cody Williams (42526879),Kyle Filipowski (42526825),Jamal Cain (42527043),49100,245.49,46.02
3,Jevon Carter (42527027),Luke Kennard (42526937),Saddiq Bey (42526837),LeBron James (42526777),Kyle Filipowski (42526825),Cody Williams (42526879),Paolo Banchero (42526780),Jamal Cain (42527043),49000,243.81,42.61
4,Jalen Suggs (42526845),Desmond Bane (42526820),Saddiq Bey (42526837),Ace Bailey (42526841),Jaxson Hayes (42526948),Brice Sensabaugh (42526848),Tristan da Silva (42526941),Cody Williams (42526879),49000,239.20,41.02
5,Cooper Flagg (42526770),Jeremiah Fears (42526907),John Konchar (42526950),Paolo Banchero (42526780),Kyle Filipowski (42526825),Jevon Carter (42527027),Brice Sensabaugh (42526848),Jamal Cain (42527043),49000,237.24,38.26
6,Jalen Suggs (42526845),Desmond Bane (42526820),Ace Bailey (42526841),Zion Williamson (42526799),Daniel Gafford (42526911),Luke Kennard (42526937),Tristan da Silva (42526941),Ayo Dosunmu (42526829),49700,244.73,30.34
7,Jeremiah Fears (42526907),Ayo Dosunmu (42526829),Tristan da Silva (42526941),LeBron James (42526777),Jaxson Hayes (42526948),Brice Sensabaugh (42526848),Paolo Banchero (42526780),Jamal Cain (42527043),49300,254.26,46.31
8,Jalen Suggs (42526845),Desmond Bane (42526820),Ayo Dosunmu (42526829),Zion Williamson (42526799),Jaxson Hayes (42526948),Cody Williams (42526879),Kyle Filipowski (42526825),Jamal Cain (42527043),49100,245.49,46.02
9,Jevon Carter (42527027),Luke Kennard (42526937),Saddiq Bey (42526837),LeBron James (42526777),Kyle Filipowski (42526825),Cody Williams (42526879),Paolo Banchero (42526780),Jamal Cain (42527043),49000,243.81,42.61
10,Jalen Suggs (42526845),Desmond Bane (42526820),Saddiq Bey (42526837),Ace Bailey (42526841),Jaxson Hayes (42526948),Brice Sensabaugh (42526848),Tristan da Silva (42526941),Cody Williams (42526879),49000,239.20,41.02
11,Cooper Flagg (42526770),Jeremiah Fears (42526907),John Konchar (42526950),Paolo Banchero (42526780),Kyle Filipowski (42526825),Jevon Carter (42527027),Brice Sensabaugh (42526848),Jamal Cain (42527043),49000,237.24,38.26
12,Jalen Suggs (42526845),Desmond Bane (42526820),Ace Bailey (42526841),Zion Williamson (42526799),Daniel Gafford (42526911),Luke Kennard (42526937),Tristan da Silva (42526941),Ayo Dosunmu (42526829),49700,244.73,30.34
13,Jeremiah Fears (42526907),Ayo Dosunmu (42526829),Tristan da Silva (42526941),LeBron James (42526777),Jaxson Hayes (42526948),Brice Sensabaugh (42526848),Paolo Banchero (42526780),Jamal Cain (42527043),49300,254.26,46.31
14,Jalen Suggs (42526845),Desmond Bane (42526820),Ayo Dosunmu (42526829),Zion Williamson (42526799),Jaxson Hayes (42526948),Cody Williams (42526879),Kyle Filipowski (42526825),Jamal Cain (42527043),49100,245.49,46.02
15,Jevon Carter (42527027),Luke Kennard (42526937),Saddiq Bey (42526837),LeBron James (42526777),Kyle Filipowski (42526825),Cody Williams (42526879),Paolo Banchero (42526780),Jamal Cain (42527043),49000,243.81,42.61
16,Jalen Suggs (42526845),Desmond Bane (42526820),Saddiq Bey (42526837),Ace Bailey (42526841),Jaxson Hayes (42526948),Brice Sensabaugh (42526848),Tristan da Silva (42526941),Cody Williams (42526879),49000,239.20,41.02
17,Cooper Flagg (42526770),Jeremiah Fears (42526907),John Konchar (42526950),Paolo Banchero (42526780),Kyle Filipowski (42526825),Jevon Carter (42527027),Brice Sensabaugh (42526848),Jamal Cain (42527043),49000,237.24,38.26
18,LaMelo Ball (42526789),Desmond Bane (42526820),Tristan da Silva (42526941),Zion Williamson (42526799),Daniel Gafford (42526911),Jevon Carter (42527027),Ayo Dosunmu (42526829),Cody Williams (42526879),49000,242.85,31.72
19,Alex Morales (42527220),Jeremiah Fears (42526907),Ace Bailey (42526841),LeBron James (42526777),Jaxson Hayes (42526948),Ayo Dosunmu (42526829),Paolo Banchero (42526780),Tristan da Silva (42526941),49000,244.01,34.08
20,Jalen Suggs (42526845),Desmond Bane (42526820),Franz Wagner (42526834),Zion Williamson (42526799),Jaxson Hayes (42526948),Bones Hyland (42526923),Brice Sensabaugh (42526848),Luke Kennard (42526937),49200,238.90,28.93
