Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Tyrese Maxey (42606133),VJ Edgecombe (42606198),Paul George (42606167),Tobias Harris (42606332),Bam Adebayo (42606146),Max Shulga (42606875),Ron Harper Jr. (42606660),Ariel Hukporti (42606735),49500,301.10,97.85
2,LaMelo Ball (42606158),Tyler Herro (42606187),Paul George (42606167),Nae'Qwan Tomlin (42606603),Bam Adebayo (42606146),Max Shulga (42606875),Ron Harper Jr. (42606660),Max Strus (42606392),49300,295.40,92.75
3,Daniss Jenkins (42606232),Tyler Herro (42606187),Paul George (42606167),Scottie Barnes (42606164),Bam Adebayo (42606146),Max Shulga (42606875),Ron Harper Jr. (42606660),Ariel Hukporti (42606735),50000,295.52,104.11
4,Tyrese Maxey (42606133),VJ Edgecombe (42606198),Ron Harper Jr. (42606660),Scottie Barnes (42606164),Bam Adebayo (42606146),Max Shulga (42606875),Andrew Wiggins (42606303),Olivier Sarr (42606918),50000,296.12,82.10
5,Tyrese Maxey (42606133),Tyrese Proctor (42606631),Brandon Miller (42606214),Tobias Harris (42606332),Ariel Hukporti (42606735),LaMelo Ball (42606158),Paul George (42606167),Max Shulga (42606875),49000,288.39,83.38
6,Tyrese Maxey (42606133),VJ Edgecombe (42606198),Paul George (42606167),Paolo Banchero (42606161),Olivier Sarr (42606918),Daniss Jenkins (42606232),Asa Newell (42606784),Max Shulga (42606875),49900,285.55,88.18
7,Tyrese Maxey (42606133),VJ Edgecombe (42606198),Paul George (42606167),Tobias Harris (42606332),Bam Adebayo (42606146),Max Shulga (42606875),Ron Harper Jr. (42606660),Ariel Hukporti (42606735),49500,301.10,97.85
8,LaMelo Ball (42606158),Tyler Herro (42606187),Paul George (42606167),Nae'Qwan Tomlin (42606603),Bam Adebayo (42606146),Max Shulga (42606875),Ron Harper Jr. (42606660),Max Strus (42606392),49300,295.40,92.75
9,Tyrese Maxey (42606133),Quentin Grimes (42606324),Paul George (42606167),Nae'Qwan Tomlin (42606603),Bam Adebayo (42606146),Daniss Jenkins (42606232),Ron Harper Jr. (42606660),Ariel Hukporti (42606735),49500,290.50,88.60
10,LaMelo Ball (42606158),Tyler Herro (42606187),Ron Harper Jr. (42606660),Scottie Barnes (42606164),Bam Adebayo (42606146),Max Shulga (42606875),Andrew Wiggins (42606303),Olivier Sarr (42606918),49400,291.57,83.35
11,LaMelo Ball (42606158),Tyrese Proctor (42606631),Paul George (42606167),Scottie Barnes (42606164),Bam Adebayo (42606146),Max Shulga (42606875),Jaime Jaquez Jr. (42606345),Ariel Hukporti (42606735),49800,291.89,82.22
12,Tyrese Maxey (42606133),VJ Edgecombe (42606198),Paul George (42606167),Paolo Banchero (42606161),Olivier Sarr (42606918),Daniss Jenkins (42606232),Asa Newell (42606784),Max Shulga (42606875),49900,285.55,88.18
13,Tyrese Maxey (42606133),VJ Edgecombe (42606198),Paul George (42606167),Tobias Harris (42606332),Bam Adebayo (42606146),Max Shulga (42606875),Ron Harper Jr. (42606660),Ariel Hukporti (42606735),49500,301.10,97.85
14,Tyrese Maxey (42606133),VJ Edgecombe (42606198),Ron Harper Jr. (42606660),Scottie Barnes (42606164),Bam Adebayo (42606146),Max Strus (42606392),Nae'Qwan Tomlin (42606603),Ariel Hukporti (42606735),50000,295.54,75.22
15,Tyrese Maxey (42606133),Tyler Herro (42606187),Paul George (42606167),Nae'Qwan Tomlin (42606603),Ariel Hukporti (42606735),Daniss Jenkins (42606232),Ron Harper Jr. (42606660),VJ Edgecombe (42606198),50000,291.00,88.40
16,LaMelo Ball (42606158),Tyler Herro (42606187),Ron Harper Jr. (42606660),Scottie Barnes (42606164),Bam Adebayo (42606146),Tyrese Proctor (42606631),Tobias Harris (42606332),Olivier Sarr (42606918),49500,286.84,73.74
17,LaMelo Ball (42606158),Tyler Herro (42606187),Brandon Miller (42606214),Scottie Barnes (42606164),Paul Reed (42606513),Daniss Jenkins (42606232),Nae'Qwan Tomlin (42606603),Ariel Hukporti (42606735),49900,277.17,65.06
18,Tyrese Maxey (42606133),Tyrese Proctor (42606631),RJ Barrett (42606191),Paolo Banchero (42606161),Olivier Sarr (42606918),LaMelo Ball (42606158),Andrew Wiggins (42606303),Trendon Watford (42606742),50000,267.06,38.87
19,Cade Cunningham (42606120),VJ Edgecombe (42606198),Max Strus (42606392),Paolo Banchero (42606161),Ariel Hukporti (42606735),Tyrese Maxey (42606133),Trendon Watford (42606742),Olivier Sarr (42606918),50000,271.72,45.76
20,LaMelo Ball (42606158),Max Strus (42606392),RJ Barrett (42606191),Scottie Barnes (42606164),Jakob Poeltl (42606369),Daniss Jenkins (42606232),Tobias Harris (42606332),Ariel Hukporti (42606735),50000,273.64,58.94
