Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Tyrese Maxey (42606133),Max Strus (42606392),Paul George (42606167),Scottie Barnes (42606164),Paul Reed (42606513),Daniss Jenkins (42606232),Ron Harper Jr. (42606660),Max Shulga (42606875),49100,287.35,92.51
2,Tyrese Maxey (42606133),Tyler Herro (42606187),Paul George (42606167),Ron Harper Jr. (42606660),Bam Adebayo (42606146),Max Shulga (42606875),Max Strus (42606392),Olivier Sarr (42606918),49500,297.99,96.76
3,Cade Cunningham (42606120),VJ Edgecombe (42606198),Paul George (42606167),Nae'Qwan Tomlin (42606603),Bam Adebayo (42606146),Max Shulga (42606875),Ron Harper Jr. (42606660),Paul Reed (42606513),49700,290.03,84.82
4,LaMelo Ball (42606158),Tyrese Proctor (42606631),Paul George (42606167),Tobias Harris (42606332),Bam Adebayo (42606146),Daniss Jenkins (42606232),Kevin Huerter (42606477),Ariel Hukporti (42606735),49400,279.19,76.52
5,Tyrese Maxey (42606133),Tyrese Proctor (42606631),Paul George (42606167),Scottie Barnes (42606164),Bam Adebayo (42606146),Max Shulga (42606875),Nae'Qwan Tomlin (42606603),Olivier Sarr (42606918),49200,294.70,92.68
6,Daniss Jenkins (42606232),Tyler Herro (42606187),Paul George (42606167),Paolo Banchero (42606161),Paul Reed (42606513),VJ Edgecombe (42606198),Ron Harper Jr. (42606660),Ariel Hukporti (42606735),49600,281.70,82.82
7,Tyrese Maxey (42606133),Max Strus (42606392),Paul George (42606167),Scottie Barnes (42606164),Paul Reed (42606513),Daniss Jenkins (42606232),Ron Harper Jr. (42606660),Max Shulga (42606875),49100,287.35,92.51
8,Tyrese Maxey (42606133),Tyler Herro (42606187),Paul George (42606167),Ron Harper Jr. (42606660),Bam Adebayo (42606146),Max Shulga (42606875),Max Strus (42606392),Olivier Sarr (42606918),49500,297.99,96.76
9,Cade Cunningham (42606120),VJ Edgecombe (42606198),Paul George (42606167),Nae'Qwan Tomlin (42606603),Bam Adebayo (42606146),Max Shulga (42606875),Ron Harper Jr. (42606660),Paul Reed (42606513),49700,290.03,84.82
10,LaMelo Ball (42606158),Tyrese Proctor (42606631),Paul George (42606167),Tobias Harris (42606332),Bam Adebayo (42606146),Daniss Jenkins (42606232),Kevin Huerter (42606477),Ariel Hukporti (42606735),49400,279.19,76.52
11,Tyrese Maxey (42606133),Tyrese Proctor (42606631),Paul George (42606167),Scottie Barnes (42606164),Bam Adebayo (42606146),Max Shulga (42606875),Nae'Qwan Tomlin (42606603),Olivier Sarr (42606918),49200,294.70,92.68
12,Daniss Jenkins (42606232),Tyler Herro (42606187),Paul George (42606167),Paolo Banchero (42606161),Paul Reed (42606513),VJ Edgecombe (42606198),Ron Harper Jr. (42606660),Ariel Hukporti (42606735),49600,281.70,82.82
13,Tyrese Maxey (42606133),Tyler Herro (42606187),Ron Harper Jr. (42606660),Scottie Barnes (42606164),Paul Reed (42606513),Daniss Jenkins (42606232),Andrew Wiggins (42606303),Max Shulga (42606875),49000,283.71,80.26
14,Tyrese Maxey (42606133),Tyler Herro (42606187),Ron Harper Jr. (42606660),Scottie Barnes (42606164),Bam Adebayo (42606146),Max Shulga (42606875),Max Strus (42606392),Olivier Sarr (42606918),49600,295.75,87.61
15,Cade Cunningham (42606120),VJ Edgecombe (42606198),Ron Harper Jr. (42606660),Paolo Banchero (42606161),Bam Adebayo (42606146),Max Shulga (42606875),Nae'Qwan Tomlin (42606603),Paul Reed (42606513),49900,286.21,72.73
16,LaMelo Ball (42606158),VJ Edgecombe (42606198),Max Strus (42606392),Tobias Harris (42606332),Bam Adebayo (42606146),Daniss Jenkins (42606232),Kevin Huerter (42606477),Ariel Hukporti (42606735),49800,278.12,64.94
17,Tyrese Maxey (42606133),Tyrese Proctor (42606631),Ron Harper Jr. (42606660),Scottie Barnes (42606164),Bam Adebayo (42606146),LaMelo Ball (42606158),Nae'Qwan Tomlin (42606603),Olivier Sarr (42606918),49900,292.61,76.53
18,Tyrese Maxey (42606133),Tyler Herro (42606187),Ausar Thompson (42606306),Paolo Banchero (42606161),Ariel Hukporti (42606735),Daniss Jenkins (42606232),Tobias Harris (42606332),Max Shulga (42606875),49600,279.95,72.58
19,Tyrese Maxey (42606133),VJ Edgecombe (42606198),Brandon Miller (42606214),Scottie Barnes (42606164),Paul Reed (42606513),Daniss Jenkins (42606232),Asa Newell (42606784),Ariel Hukporti (42606735),49800,276.90,63.64
20,Tyrese Maxey (42606133),Tyler Herro (42606187),Max Strus (42606392),Scottie Barnes (42606164),Ariel Hukporti (42606735),LaMelo Ball (42606158),Nae'Qwan Tomlin (42606603),Olivier Sarr (42606918),49500,287.87,70.77
