Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Amen Thompson (42932723),Donovan Mitchell (42932717),Ausar Thompson (42932768),Scottie Barnes (42932714),Jarrett Allen (42932778),Duncan Robinson (42932811),Tari Eason (42932794),Sandro Mamukelashvili (42932829),50000,252.80,-0.80
2,Reed Sheppard (42932784),Donovan Mitchell (42932717),RJ Barrett (42932742),Evan Mobley (42932733),Alperen Sengun (42932712),Sam Merrill (42932843),Rui Hachimura (42932790),Ja'Kobe Walter (42932816),49900,248.78,2.07
3,Amen Thompson (42932723),Desmond Bane (42932745),Ausar Thompson (42932768),LeBron James (42932706),Jalen Duren (42932737),Duncan Robinson (42932811),Isaiah Stewart (42932820),Sandro Mamukelashvili (42932829),50000,239.41,-6.22
4,James Harden (42932726),Donovan Mitchell (42932717),Max Strus (42932806),LeBron James (42932706),Deandre Ayton (42932788),Jake LaRavia (42932838),Jabari Smith Jr. (42932754),Jakob Poeltl (42932814),50000,240.54,-13.16
5,Cade Cunningham (42932703),Brandon Ingram (42932748),Ausar Thompson (42932768),Paolo Banchero (42932709),Deandre Ayton (42932788),Sam Merrill (42932843),Rui Hachimura (42932790),Ja'Kobe Walter (42932816),49900,233.10,-4.33
6,Jalen Suggs (42932739),Desmond Bane (42932745),Tari Eason (42932794),Scottie Barnes (42932714),Alperen Sengun (42932712),Luke Kennard (42932771),Jake LaRavia (42932838),Ja'Kobe Walter (42932816),49900,235.01,6.80
7,Amen Thompson (42932723),Donovan Mitchell (42932717),Tari Eason (42932794),Tobias Harris (42932758),Jarrett Allen (42932778),Duncan Robinson (42932811),Evan Mobley (42932733),Sandro Mamukelashvili (42932829),49500,251.08,-1.04
8,Luke Kennard (42932771),Donovan Mitchell (42932717),RJ Barrett (42932742),Evan Mobley (42932733),Jarrett Allen (42932778),Sam Merrill (42932843),Jabari Smith Jr. (42932754),Reed Sheppard (42932784),49900,246.69,-1.05
9,Amen Thompson (42932723),Duncan Robinson (42932811),Ausar Thompson (42932768),LeBron James (42932706),Alperen Sengun (42932712),Anthony Black (42932802),Rui Hachimura (42932790),Sandro Mamukelashvili (42932829),50000,243.75,1.00
10,James Harden (42932726),Donovan Mitchell (42932717),Max Strus (42932806),Scottie Barnes (42932714),Jalen Duren (42932737),Reed Sheppard (42932784),Jake LaRavia (42932838),Jakob Poeltl (42932814),49900,243.94,-17.28
11,Cade Cunningham (42932703),Brandon Ingram (42932748),Ausar Thompson (42932768),LeBron James (42932706),Deandre Ayton (42932788),Sam Merrill (42932843),Isaiah Stewart (42932820),Ja'Kobe Walter (42932816),49600,235.55,-2.65
12,Jalen Suggs (42932739),Desmond Bane (42932745),Tari Eason (42932794),Paolo Banchero (42932709),Alperen Sengun (42932712),Ja'Kobe Walter (42932816),Jake LaRavia (42932838),Deandre Ayton (42932788),49800,235.09,-3.37
13,Amen Thompson (42932723),Donovan Mitchell (42932717),Max Strus (42932806),Scottie Barnes (42932714),Jarrett Allen (42932778),Duncan Robinson (42932811),Tobias Harris (42932758),Sandro Mamukelashvili (42932829),49800,247.37,-3.07
14,Luke Kennard (42932771),Donovan Mitchell (42932717),Ausar Thompson (42932768),Evan Mobley (42932733),Jalen Duren (42932737),Sam Merrill (42932843),Jabari Smith Jr. (42932754),Rui Hachimura (42932790),50000,235.28,-2.99
15,Amen Thompson (42932723),Reed Sheppard (42932784),RJ Barrett (42932742),Evan Mobley (42932733),Alperen Sengun (42932712),Ja'Kobe Walter (42932816),Rui Hachimura (42932790),Sandro Mamukelashvili (42932829),49800,250.75,7.41
16,James Harden (42932726),Donovan Mitchell (42932717),RJ Barrett (42932742),Scottie Barnes (42932714),Jarrett Allen (42932778),Duncan Robinson (42932811),Jake LaRavia (42932838),Jakob Poeltl (42932814),49800,243.62,-16.48
17,Cade Cunningham (42932703),Brandon Ingram (42932748),Ausar Thompson (42932768),LeBron James (42932706),Deandre Ayton (42932788),Duncan Robinson (42932811),Isaiah Stewart (42932820),Sam Merrill (42932843),49900,236.14,-7.96
18,Jalen Suggs (42932739),Desmond Bane (42932745),Ausar Thompson (42932768),LeBron James (42932706),Jalen Duren (42932737),Ja'Kobe Walter (42932816),Jake LaRavia (42932838),Deandre Ayton (42932788),49700,234.07,1.38
19,Amen Thompson (42932723),Donovan Mitchell (42932717),Tari Eason (42932794),Scottie Barnes (42932714),Jarrett Allen (42932778),Luke Kennard (42932771),Max Strus (42932806),Sandro Mamukelashvili (42932829),49800,245.87,1.69
20,James Harden (42932726),Donovan Mitchell (42932717),Rui Hachimura (42932790),Jabari Smith Jr. (42932754),Alperen Sengun (42932712),Sam Merrill (42932843),Collin Murray-Boyles (42932780),Ja'Kobe Walter (42932816),49900,240.82,-1.81
