Lineup,PG,SG,SF,PF,C,G,F,UTIL,Salary,Projection,Leverage
1,Amen Thompson (42948965),Donovan Mitchell (42948959),RJ Barrett (42948979),Jabari Smith Jr. (42948990),Deandre Ayton (42949031),Duncan Robinson (42949057),Tari Eason (42949017),Jakob Poeltl (42949060),50000,245.36,-2.46
2,James Harden (42948962),Desmond Bane (42948982),Rui Hachimura (42949037),Paolo Banchero (42948951),Jakob Poeltl (42949060),Ja'Kobe Walter (42949053),Evan Mobley (42948971),Max Strus (42949048),50000,234.05,-10.01
3,Jamal Shead (42949045),Austin Reaves (42948975),Ausar Thompson (42949003),Tobias Harris (42948997),Alperen Sengun (42948954),Reed Sheppard (42949006),Tari Eason (42949017),Ja'Kobe Walter (42949053),50000,246.27,18.45
4,Amen Thompson (42948965),Donovan Mitchell (42948959),Rui Hachimura (42949037),Jabari Smith Jr. (42948990),Wendell Carter Jr. (42949015),Jamal Shead (42949045),Tari Eason (42949017),Deandre Ayton (42949031),49900,243.00,8.63
5,Cade Cunningham (42948945),Duncan Robinson (42949057),Jamal Cain (42949062),Paolo Banchero (42948951),Jalen Duren (42948985),Luke Kennard (42949033),Collin Murray-Boyles (42949022),Ja'Kobe Walter (42949053),50000,225.31,8.06
6,James Harden (42948962),Desmond Bane (42948982),Max Strus (42949048),Scottie Barnes (42948956),Jarrett Allen (42949026),Duncan Robinson (42949057),Evan Mobley (42948971),Jakob Poeltl (42949060),50000,234.01,-25.79
7,Austin Reaves (42948975),Donovan Mitchell (42948959),RJ Barrett (42948979),Evan Mobley (42948971),Jarrett Allen (42949026),Duncan Robinson (42949057),Jamal Cain (42949062),Deandre Ayton (42949031),50000,234.05,-14.26
8,Reed Sheppard (42949006),Desmond Bane (42948982),RJ Barrett (42948979),Jabari Smith Jr. (42948990),Alperen Sengun (42948954),Anthony Black (42949041),Rui Hachimura (42949037),Jakob Poeltl (42949060),49800,246.48,2.18
9,Jalen Suggs (42948987),Austin Reaves (42948975),Ausar Thompson (42949003),Tobias Harris (42948997),Jalen Duren (42948985),Ja'Kobe Walter (42949053),Tari Eason (42949017),Wendell Carter Jr. (42949015),50000,232.51,1.19
10,Amen Thompson (42948965),Donovan Mitchell (42948959),Tari Eason (42949017),Evan Mobley (42948971),Jakob Poeltl (42949060),Jamal Shead (42949045),Jabari Smith Jr. (42948990),Max Strus (42949048),49900,239.60,-6.43
11,Reed Sheppard (42949006),Luke Kennard (42949033),Rui Hachimura (42949037),Paolo Banchero (42948951),Alperen Sengun (42948954),Ja'Kobe Walter (42949053),Tari Eason (42949017),Deandre Ayton (42949031),49800,240.24,20.20
12,James Harden (42948962),Desmond Bane (42948982),Max Strus (42949048),Paolo Banchero (42948951),Jarrett Allen (42949026),Jamal Shead (42949045),Jabari Smith Jr. (42948990),Duncan Robinson (42949057),50000,236.69,-11.40
13,Cade Cunningham (42948945),Duncan Robinson (42949057),RJ Barrett (42948979),Tobias Harris (42948997),Deandre Ayton (42949031),Ja'Kobe Walter (42949053),Evan Mobley (42948971),Jamal Cain (42949062),49800,236.68,10.51
14,Reed Sheppard (42949006),Donovan Mitchell (42948959),Rui Hachimura (42949037),Scottie Barnes (42948956),Jakob Poeltl (42949060),Luke Kennard (42949033),Jabari Smith Jr. (42948990),Tari Eason (42949017),50000,240.26,7.82
15,Austin Reaves (42948975),Desmond Bane (42948982),RJ Barrett (42948979),Tobias Harris (42948997),Jalen Duren (42948985),Duncan Robinson (42949057),Ausar Thompson (42949003),Ja'Kobe Walter (42949053),50000,238.09,-0.89
16,Amen Thompson (42948965),Donovan Mitchell (42948959),Ausar Thompson (42949003),Jabari Smith Jr. (42948990),Wendell Carter Jr. (42949015),Jamal Shead (42949045),Tari Eason (42949017),Jakob Poeltl (42949060),49900,241.84,2.37
17,Amen Thompson (42948965),Austin Reaves (42948975),Rui Hachimura (42949037),Collin Murray-Boyles (42949022),Alperen Sengun (42948954),Anthony Black (42949041),Tari Eason (42949017),Jakob Poeltl (42949060),50000,240.08,-1.92
18,James Harden (42948962),Desmond Bane (42948982),Rui Hachimura (42949037),Paolo Banchero (42948951),Wendell Carter Jr. (42949015),Jamal Shead (42949045),Max Strus (42949048),Deandre Ayton (42949031),49800,236.57,-1.19
19,Jalen Suggs (42948987),Duncan Robinson (42949057),RJ Barrett (42948979),Paolo Banchero (42948951),Jarrett Allen (42949026),Jamal Cain (42949062),Evan Mobley (42948971),Deandre Ayton (42949031),50000,232.45,-5.95
20,Reed Sheppard (42949006),Donovan Mitchell (42948959),Rui Hachimura (42949037),Scottie Barnes (42948956),Evan Mobley (42948971),Luke Kennard (42949033),Max Strus (42949048),Ja'Kobe Walter (42949053),49800,235.03,5.62
