Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
QB,Josh Hoover (44252456),Josh Hoover,44252456,QB/S-FLEX,8900,NW@IU 09/25/2026 08:00PM ET,IU,22.7,
RB,Adam Mohammed (44252564),Adam Mohammed,44252564,RB/FLEX/S-FLEX,8400,CLEM@CAL 09/25/2026 10:30PM ET,CAL,27.8,
QB,Braxton Woodson (44252460),Braxton Woodson,44252460,QB/S-FLEX,8200,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,29.2,Q
QB,Jackson Gutierrez (44252462),Jackson Gutierrez,44252462,QB/S-FLEX,8000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,21.3,
QB,Jaron-Keawe Sagapolutele (44252465),Jaron-Keawe Sagapolutele,44252465,QB/S-FLEX,7700,CLEM@CAL 09/25/2026 10:30PM ET,CAL,20.2,
QB,Grant Wilson (44252468),Grant Wilson,44252468,QB/S-FLEX,7400,NW@IU 09/25/2026 08:00PM ET,IU,7,
RB,Turbo Richard (44252568),Turbo Richard,44252568,RB/FLEX/S-FLEX,7300,NW@IU 09/25/2026 08:00PM ET,IU,22.6,
WR,Charlie Becker (44252838),Charlie Becker,44252838,WR/FLEX/S-FLEX,7100,NW@IU 09/25/2026 08:00PM ET,IU,26.1,
QB,Tait Reynolds (44252472),Tait Reynolds,44252472,QB/S-FLEX,6900,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,8,
RB,Gideon Davidson (44252572),Gideon Davidson,44252572,RB/FLEX/S-FLEX,6900,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,10,
QB,Jackson Brousseau (44252475),Jackson Brousseau,44252475,QB/S-FLEX,6800,CLEM@CAL 09/25/2026 10:30PM ET,CAL,2,
WR,Nick Marsh (44252843),Nick Marsh,44252843,WR/FLEX/S-FLEX,6800,NW@IU 09/25/2026 08:00PM ET,IU,13.3,
QB,Christopher Vizzina (44252482),Christopher Vizzina,44252482,QB/S-FLEX,6500,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,3.2,P
WR,Ian Strong (44252847),Ian Strong,44252847,WR/FLEX/S-FLEX,6200,CLEM@CAL 09/25/2026 10:30PM ET,CAL,11.5,
RB,Vic Listorti (44252576),Vic Listorti,44252576,RB/FLEX/S-FLEX,6100,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,11.1,
QB,Aidan Chiles (44252487),Aidan Chiles,44252487,QB/S-FLEX,6000,NW@IU 09/25/2026 08:00PM ET,NW,28.3,
WR,Chase Hendricks (44252851),Chase Hendricks,44252851,WR/FLEX/S-FLEX,6000,CLEM@CAL 09/25/2026 10:30PM ET,CAL,17.1,
WR,T.J. Moore (44252855),T.J. Moore,44252855,WR/FLEX/S-FLEX,5700,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,14.7,
QB,Nicco Marchiol (44252490),Nicco Marchiol,44252490,QB/S-FLEX,5600,NW@IU 09/25/2026 08:00PM ET,NW,1.9,
RB,Caleb Komolafe (44252581),Caleb Komolafe,44252581,RB/FLEX/S-FLEX,5600,NW@IU 09/25/2026 08:00PM ET,NW,13,
WR,Griffin Wilde (44252859),Griffin Wilde,44252859,WR/FLEX/S-FLEX,5600,NW@IU 09/25/2026 08:00PM ET,NW,15,
